Date AD,,Variables,Values
13-Feb,Putalisadak,Head Number,7
13-Feb,Putalisadak,Filter Number,P117 
13-Feb,Putalisadak,PM10(æg/m?),224
13-Feb,Machhe Gaun,Head Number,1
13-Feb,Machhe Gaun,Filter Number,M117 
13-Feb,Machhe Gaun,PM10(æg/m?),48
13-Feb,Bhaktapur,Head Number,8
13-Feb,Bhaktapur,Filter Number,B104 
13-Feb,Bhaktapur,PM10(æg/m?),109
14-Feb,Putalisadak,Head Number,8
14-Feb,Putalisadak,Filter Number,P118 
14-Feb,Putalisadak,PM10(æg/m?),276
14-Feb,Machhe Gaun,Head Number,2
14-Feb,Machhe Gaun,Filter Number,M118 
14-Feb,Machhe Gaun,PM10(æg/m?),40
14-Feb,Bhaktapur,Head Number,1
14-Feb,Bhaktapur,Filter Number,B105 
14-Feb,Bhaktapur,PM10(æg/m?),102
14-Feb,Bhaktapur,Remark,rainfall 
15-Feb,Putalisadak,Head Number,1
15-Feb,Putalisadak,Filter Number,P119 
15-Feb,Putalisadak,PM10(æg/m?),112
15-Feb,Machhe Gaun,Head Number,3
15-Feb,Machhe Gaun,Filter Number,M119 
15-Feb,Machhe Gaun,PM10(æg/m?),54
15-Feb,Bhaktapur,Head Number,2
15-Feb,Bhaktapur,Filter Number,B106 
15-Feb,Bhaktapur,PM10(æg/m?),99
15-Feb,Bhaktapur,Remark,rainfall 
16-Feb,Putalisadak,Head Number,2
16-Feb,Putalisadak,Filter Number,P120 
16-Feb,Putalisadak,PM10(æg/m?),382
16-Feb,Machhe Gaun,Head Number,4
16-Feb,Machhe Gaun,Filter Number,M120 
16-Feb,Machhe Gaun,PM10(æg/m?),38
16-Feb,Bhaktapur,Head Number,3
16-Feb,Bhaktapur,Filter Number,B107 
16-Feb,Bhaktapur,PM10(æg/m?),80
17-Feb,Putalisadak,Head Number,3
17-Feb,Putalisadak,Filter Number,P121 
17-Feb,Putalisadak,PM10(æg/m?),127
17-Feb,Machhe Gaun,Head Number,5
17-Feb,Machhe Gaun,Filter Number,M121 
17-Feb,Machhe Gaun,PM10(æg/m?),49
17-Feb,Bhaktapur,Head Number,4
17-Feb,Bhaktapur,Filter Number,B108 
17-Feb,Bhaktapur,PM10(æg/m?),86
18-Feb,Putalisadak,Head Number,4
18-Feb,Putalisadak,Filter Number,P122 
18-Feb,Putalisadak,PM10(æg/m?),262
18-Feb,Machhe Gaun,Head Number,6
18-Feb,Machhe Gaun,Filter Number,M122 
18-Feb,Machhe Gaun,PM10(æg/m?),53
18-Feb,Bhaktapur,Head Number,5
18-Feb,Bhaktapur,Filter Number,B109 
18-Feb,Bhaktapur,PM10(æg/m?),106
19-Feb,Putalisadak,Head Number,5
19-Feb,Putalisadak,Filter Number,P123 
19-Feb,Putalisadak,PM10(æg/m?),311
19-Feb,Machhe Gaun,Head Number,7
19-Feb,Machhe Gaun,Filter Number,M123 
19-Feb,Machhe Gaun,PM10(æg/m?),35
19-Feb,Bhaktapur,Head Number,6
19-Feb,Bhaktapur,Filter Number,B110 
19-Feb,Bhaktapur,PM10(æg/m?),117
20-Feb,Putalisadak,Head Number,6
20-Feb,Putalisadak,Filter Number,P124 
20-Feb,Putalisadak,PM10(æg/m?),187
20-Feb,Machhe Gaun,Head Number,8
20-Feb,Machhe Gaun,Filter Number,M124 
20-Feb,Machhe Gaun,PM10(æg/m?),46
20-Feb,Bhaktapur,Head Number,7
20-Feb,Bhaktapur,Filter Number,B111 
20-Feb,Bhaktapur,PM10(æg/m?),120
21-Feb,Putalisadak,Head Number,7
21-Feb,Putalisadak,Filter Number,P125 
21-Feb,Putalisadak,PM10(æg/m?),213
21-Feb,Machhe Gaun,Head Number,1
21-Feb,Machhe Gaun,Filter Number,M125 
21-Feb,Machhe Gaun,PM10(æg/m?),58
21-Feb,Bhaktapur,Head Number,8
21-Feb,Bhaktapur,Filter Number,B112 
21-Feb,Bhaktapur,PM10(æg/m?),123
22-Feb,Putalisadak,Head Number,8
22-Feb,Putalisadak,Filter Number,P126 
22-Feb,Putalisadak,PM10(æg/m?),269
22-Feb,Machhe Gaun,Head Number,2
22-Feb,Machhe Gaun,Filter Number,M126 
22-Feb,Machhe Gaun,PM10(æg/m?),42
22-Feb,Bhaktapur,Head Number,1
22-Feb,Bhaktapur,Filter Number,B113 
22-Feb,Bhaktapur,PM10(æg/m?),135
23-Feb,Putalisadak,Head Number,1
23-Feb,Putalisadak,Filter Number,P127 
23-Feb,Putalisadak,PM10(æg/m?),324
23-Feb,Machhe Gaun,Head Number,3
23-Feb,Machhe Gaun,Filter Number,M127 
23-Feb,Machhe Gaun,PM10(æg/m?),35
23-Feb,Bhaktapur,Head Number,2
23-Feb,Bhaktapur,Filter Number,B114 
23-Feb,Bhaktapur,PM10(æg/m?),132
24-Feb,Putalisadak,Head Number,2
24-Feb,Putalisadak,Filter Number,P128 
24-Feb,Putalisadak,PM10(æg/m?),64
24-Feb,Machhe Gaun,Head Number,4
24-Feb,Machhe Gaun,Filter Number,M128 
24-Feb,Machhe Gaun,PM10(æg/m?),47
24-Feb,Bhaktapur,Head Number,3
24-Feb,Bhaktapur,Filter Number,B115 
24-Feb,Bhaktapur,PM10(æg/m?),145
25-Feb,Putalisadak,Head Number,3
25-Feb,Putalisadak,Filter Number,P129 
25-Feb,Putalisadak,PM10(æg/m?),339
25-Feb,Machhe Gaun,Head Number,5
25-Feb,Machhe Gaun,Filter Number,M129 
25-Feb,Machhe Gaun,PM10(æg/m?),32
25-Feb,Bhaktapur,Head Number,4
25-Feb,Bhaktapur,Filter Number,B116 
25-Feb,Bhaktapur,PM10(æg/m?),138
26-Feb,Putalisadak,Head Number,4
26-Feb,Putalisadak,Filter Number,P130 
26-Feb,Putalisadak,PM10(æg/m?),226
26-Feb,Machhe Gaun,Head Number,6
26-Feb,Machhe Gaun,Filter Number,M130 
26-Feb,Machhe Gaun,PM10(æg/m?),26
26-Feb,Bhaktapur,Head Number,5
26-Feb,Bhaktapur,Filter Number,B117 
26-Feb,Bhaktapur,PM10(æg/m?),133
27-Feb,Putalisadak,Head Number,5
27-Feb,Putalisadak,Filter Number,P131 
27-Feb,Putalisadak,PM10(æg/m?),236
27-Feb,Machhe Gaun,Head Number,7
27-Feb,Machhe Gaun,Filter Number,M131 
27-Feb,Machhe Gaun,PM10(æg/m?),45
27-Feb,Bhaktapur,Head Number,6
27-Feb,Bhaktapur,Filter Number,B118 
27-Feb,Bhaktapur,PM10(æg/m?),127
