District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,"% of new OPD Visits 
of Total Population",,86.04
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Proportion by sex among total OPD Visit,Female,52.76
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Proportion by sex among total OPD Visit,Male,47.24
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,"Communicable, Immunizable",0.59
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,"Communicable, Vector Borne",0.04
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,"Communicable, Water/Food Borne",17.86
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Other Communicable Diseases,0.16
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Other Infected Diseases,15.89
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Nutritional and Metabolic Disorder,1.44
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Skin Diseases,11.78
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,"Ear, Nose and Throat Infection",11
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Oral Health related Problems,3.53
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,"% of new OPD Visits 
of Total Population",,82.1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Proportion by sex among total OPD Visit,Female,35.35
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Proportion by sex among total OPD Visit,Male,64.65
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,"Communicable, Immunizable",0.33
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,"Communicable, Vector Borne",0.05
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,"Communicable, Water/Food Borne",44.03
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Other Communicable Diseases,0.05
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Other Infected Diseases,12.07
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Nutritional and Metabolic Disorder,1.16
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Skin Diseases,8.66
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,"Ear, Nose and Throat Infection",8.39
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Oral Health related Problems,1.75
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,"% of new OPD Visits 
of Total Population",,44.11
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Proportion by sex among total OPD Visit,Female,56.3
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Proportion by sex among total OPD Visit,Male,43.7
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,"Communicable, Immunizable",0.62
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,"Communicable, Vector Borne",0.08
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,"Communicable, Water/Food Borne",11.07
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Other Communicable Diseases,0.09
