District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of pregnant woman receiving Antihelmenthis,,67.45
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of pregnant woman receiving Iron Tabs,New,64.74
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of pregnant woman receiving Iron Tabs,Repeated,48.69
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of postpartum mothers receiving ,Iron Tabs,49.92
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of postpartum mothers receiving ,Vitamin A,53.23
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Iron Compliance,Vitamin A,38.74
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of pregnant woman receiving Antihelmenthis,,63.91
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of pregnant woman receiving Iron Tabs,New,64.38
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of pregnant woman receiving Iron Tabs,Repeated,94.71
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of postpartum mothers receiving ,Iron Tabs,38.37
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of postpartum mothers receiving ,Vitamin A,38.71
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Iron Compliance,Vitamin A,32.54
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of pregnant woman receiving Antihelmenthis,,45.21
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of pregnant woman receiving Iron Tabs,New,49.63
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of pregnant woman receiving Iron Tabs,Repeated,61.82
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of postpartum mothers receiving ,Iron Tabs,36.03
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of postpartum mothers receiving ,Vitamin A,41.52
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Iron Compliance,Vitamin A,29.15
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% of pregnant woman receiving Antihelmenthis,,57.65
