District,zone,belt,region,Tube wells by arsenic concentration levels,Number,Zone,Belt,Region
Banke,Bheri,Terai,Mid-Western,0-10ppb Number,23796.0,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,Percent,97.01,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,11-50ppb Number,568.0,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,Percent,2.32,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,>50ppb  Number,166.0,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,Percent,0.68,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,Total Number,24530.0,Bheri,Terai,Mid-Western
Banke,Bheri,Terai,Mid-Western,Percent,2.26,Bheri,Terai,Mid-Western
Bara,Narayani,Terai,Central,0-10ppb Number,34444.0,Narayani,Terai,Central
Bara,Narayani,Terai,Central,Percent,89.26,Narayani,Terai,Central
Bara,Narayani,Terai,Central,11-50ppb Number,2689.0,Narayani,Terai,Central
Bara,Narayani,Terai,Central,Percent,6.97,Narayani,Terai,Central
Bara,Narayani,Terai,Central,>50ppb  Number,1456.0,Narayani,Terai,Central
Bara,Narayani,Terai,Central,Percent,3.77,Narayani,Terai,Central
Bara,Narayani,Terai,Central,Total Number,38589.0,Narayani,Terai,Central
Bara,Narayani,Terai,Central,Percent,3.56,Narayani,Terai,Central
Bardiya,Bheri,Terai,Mid-Western,0-10ppb Number,38243.0,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,Percent,89.15,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,11-50ppb Number,2484.0,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,Percent,5.79,Bheri,Terai,Mid-Western
Bardiya,Bheri,Terai,Mid-Western,>50ppb  Number,2170.0,Bheri,Terai,Mid-Western
