District,zone,belt,region,Year AD,Year BS,Communicable Diseases,No of people,Zone,Belt,Region
Achham,Seti,Hill,Far-Western,2009/10,2066/67,Confirmed Meningitis,5,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2009/10,2066/67,HIV/AIDS,319,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2009/10,2066/67,Leprosy,38,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2009/10,2066/67,STD/STI,1333,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2010/11,2067/68,Confirmed Meningitis 2,6,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2010/11,2067/68,HIV/AIDS2,551,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2010/11,2067/68,Leprosy2,19,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2010/11,2067/68,STD/STI2,1357,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2011/12,2068/69,Confirmed Meningitis 3,4,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2011/12,2068/69,HIV/AIDS3,865,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2011/12,2068/69,Leprosy3,14,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2011/12,2068/69,STD/STI3,708,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2012/13,2069/70,Confirmed Meningitis 4,2,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2012/13,2069/70,HIV/AIDS4,1197,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2012/13,2069/70,Leprosy4,73,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2012/13,2069/70,STD/STI4,1378,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2013/14,2070/71,Confirmed Meningitis 5,25,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2013/14,2070/71,HIV/AIDS5,97,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2013/14,2070/71,Leprosy5,0,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2013/14,2070/71,STD/STI5,97,Seti,Hill,Far-Western
Arghakhanchi,Lumbini,Hill,Western,2009/10,2066/67,Confirmed Meningitis,10,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2009/10,2066/67,HIV/AIDS,0,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2009/10,2066/67,Leprosy,12,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2009/10,2066/67,STD/STI,208,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2010/11,2067/68,Confirmed Meningitis 2,0,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2010/11,2067/68,HIV/AIDS2,0,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2010/11,2067/68,Leprosy2,1,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2010/11,2067/68,STD/STI2,129,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2011/12,2068/69,Confirmed Meningitis 3,1,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2011/12,2068/69,HIV/AIDS3,0,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2011/12,2068/69,Leprosy3,4,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2011/12,2068/69,STD/STI3,659,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2012/13,2069/70,Confirmed Meningitis 4,0,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2012/13,2069/70,HIV/AIDS4,0,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2012/13,2069/70,Leprosy4,1,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2012/13,2069/70,STD/STI4,1065,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2013/14,2070/71,Confirmed Meningitis 5,0,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2013/14,2070/71,HIV/AIDS5,160,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2013/14,2070/71,Leprosy5,0,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2013/14,2070/71,STD/STI5,160,Lumbini,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2009/10,2066/67,Confirmed Meningitis,0,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2009/10,2066/67,HIV/AIDS,58,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2009/10,2066/67,Leprosy,4,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2009/10,2066/67,STD/STI,514,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2010/11,2067/68,Confirmed Meningitis 2,4,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2010/11,2067/68,HIV/AIDS2,26,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2010/11,2067/68,Leprosy2,0,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2010/11,2067/68,STD/STI2,493,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2011/12,2068/69,Confirmed Meningitis 3,1,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2011/12,2068/69,HIV/AIDS3,7,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2011/12,2068/69,Leprosy3,3,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2011/12,2068/69,STD/STI3,459,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2012/13,2069/70,Confirmed Meningitis 4,194,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2012/13,2069/70,HIV/AIDS4,9,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2012/13,2069/70,Leprosy4,7,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2012/13,2069/70,STD/STI4,342,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2013/14,2070/71,Confirmed Meningitis 5,28,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2013/14,2070/71,HIV/AIDS5,87,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2013/14,2070/71,Leprosy5,3,Dhawalagiri,Hill,Western
Baglung,Dhawalagiri,Hill,Western,2013/14,2070/71,STD/STI5,87,Dhawalagiri,Hill,Western
Baitadi,Mahakali,Hill,Far-Western,2009/10,2066/67,Confirmed Meningitis,71,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2009/10,2066/67,HIV/AIDS,0,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2009/10,2066/67,Leprosy,8,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2009/10,2066/67,STD/STI,572,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2010/11,2067/68,Confirmed Meningitis 2,12,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2010/11,2067/68,HIV/AIDS2,1,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2010/11,2067/68,Leprosy2,5,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2010/11,2067/68,STD/STI2,627,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2011/12,2068/69,Confirmed Meningitis 3,6,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2011/12,2068/69,HIV/AIDS3,0,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2011/12,2068/69,Leprosy3,8,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2011/12,2068/69,STD/STI3,518,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2012/13,2069/70,Confirmed Meningitis 4,5,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2012/13,2069/70,HIV/AIDS4,9,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2012/13,2069/70,Leprosy4,18,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2012/13,2069/70,STD/STI4,512,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2013/14,2070/71,Confirmed Meningitis 5,1,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2013/14,2070/71,HIV/AIDS5,3143,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2013/14,2070/71,Leprosy5,194,Mahakali,Hill,Far-Western
Baitadi,Mahakali,Hill,Far-Western,2013/14,2070/71,STD/STI5,3143,Mahakali,Hill,Far-Western
Bajhang,Seti,Mountain,Far-Western,2009/10,2066/67,Confirmed Meningitis,1,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2009/10,2066/67,HIV/AIDS,1,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2009/10,2066/67,Leprosy,5,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2009/10,2066/67,STD/STI,323,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2010/11,2067/68,Confirmed Meningitis 2,0,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2010/11,2067/68,HIV/AIDS2,1,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2010/11,2067/68,Leprosy2,12,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2010/11,2067/68,STD/STI2,210,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2011/12,2068/69,Confirmed Meningitis 3,13,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2011/12,2068/69,HIV/AIDS3,3,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2011/12,2068/69,Leprosy3,5,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2011/12,2068/69,STD/STI3,193,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2012/13,2069/70,Confirmed Meningitis 4,10,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2012/13,2069/70,HIV/AIDS4,2,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2012/13,2069/70,Leprosy4,7,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2012/13,2069/70,STD/STI4,91,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2013/14,2070/71,Confirmed Meningitis 5,98,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2013/14,2070/71,HIV/AIDS5,902,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2013/14,2070/71,Leprosy5,61,Seti,Mountain,Far-Western
Bajhang,Seti,Mountain,Far-Western,2013/14,2070/71,STD/STI5,902,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2009/10,2066/67,Confirmed Meningitis,0,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2009/10,2066/67,HIV/AIDS,7,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2009/10,2066/67,Leprosy,9,Seti,Mountain,Far-Western
Bajura,Seti,Mountain,Far-Western,2009/10,2066/67,STD/STI,132,Seti,Mountain,Far-Western
