District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Value
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Incidence of Kalaazar /10000*,,0.22
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% of Patients by age,Under 5 yrs,10.53
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% of Patients by age,Above 5 yrs,89.47
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% of Patients by sex,Female,63.16
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% of Patients by age,Male,36.84
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% Treated by,SAG,78.95
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% Treated by,Fungizone,21.05
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Deaths (%),Female,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Deaths (%),Male,14.29
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Case Fatality,,5.26
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Incidence of Kalaazar /10000*,,0.01
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% of Patients by age,Under 5 yrs,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% of Patients by age,Above 5 yrs,100
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% of Patients by sex,Female,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% of Patients by age,Male,100
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% Treated by,SAG,100
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% Treated by,Fungizone,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Deaths (%),Male,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Case Fatality,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Incidence of Kalaazar /10000*,,0.21
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% of Patients by age,Under 5 yrs,6.25
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% of Patients by age,Above 5 yrs,93.75
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% of Patients by sex,Female,31.25
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% of Patients by age,Male,68.75
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% Treated by,SAG,12.5
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% Treated by,Fungizone,87.5
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Deaths (%),Female,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Deaths (%),Male,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Case Fatality,,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of Patients by age,Under 5 yrs,33.33
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of Patients by age,Above 5 yrs,66.67
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of Patients by sex,Female,33.33
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of Patients by age,Male,66.67
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% Treated by,SAG,44.44
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,% Treated by,Fungizone,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Deaths (%),Female,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Deaths (%),Male,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Case Fatality,,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Incidence of Kalaazar /10000*,,0.03
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of Patients by age,Under 5 yrs,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of Patients by age,Above 5 yrs,100
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of Patients by sex,Female,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% of Patients by age,Male,100
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% Treated by,SAG,100
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,% Treated by,Fungizone,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Deaths (%),Male,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Case Fatality,,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Incidence of Kalaazar /10000*,,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Incidence of Kalaazar /10000*,,0.16
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of Patients by age,Under 5 yrs,27.27
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of Patients by age,Above 5 yrs,72.73
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of Patients by sex,Female,45.45
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% of Patients by age,Male,54.55
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% Treated by,SAG,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,% Treated by,Fungizone,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Deaths (%),Female,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Deaths (%),Male,0
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Case Fatality,,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Incidence of Kalaazar /10000*,,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Incidence of Kalaazar /10000*,,0.12
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% of Patients by age,Under 5 yrs,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% of Patients by age,Above 5 yrs,100
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% of Patients by sex,Female,25
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% of Patients by age,Male,75
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% Treated by,SAG,100
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,% Treated by,Fungizone,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Deaths (%),Female,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Deaths (%),Male,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Case Fatality,,0
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Incidence of Kalaazar /10000*,,0.57
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% of Patients by age,Under 5 yrs,0
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% of Patients by age,Above 5 yrs,100
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% of Patients by sex,Female,40
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% of Patients by age,Male,60
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% Treated by,SAG,68.89
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,% Treated by,Fungizone,31.11
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Deaths (%),Female,0
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Deaths (%),Male,0
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Case Fatality,,0
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Incidence of Kalaazar /10000*,,0.03
Rautahat,Narayani,Terai,Central,2068/69,2011/12,% of Patients by age,Under 5 yrs,50
Rautahat,Narayani,Terai,Central,2068/69,2011/12,% of Patients by age,Above 5 yrs,50
Rautahat,Narayani,Terai,Central,2068/69,2011/12,% of Patients by sex,Female,0
Rautahat,Narayani,Terai,Central,2068/69,2011/12,% of Patients by age,Male,100
Rautahat,Narayani,Terai,Central,2068/69,2011/12,% Treated by,SAG,100
Rautahat,Narayani,Terai,Central,2068/69,2011/12,% Treated by,Fungizone,0
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Deaths (%),Male,100
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Case Fatality,,100
Bara,Narayani,Terai,Central,2068/69,2011/12,Incidence of Kalaazar /10000*,,0.03
Bara,Narayani,Terai,Central,2068/69,2011/12,% of Patients by age,Under 5 yrs,0
Bara,Narayani,Terai,Central,2068/69,2011/12,% of Patients by age,Above 5 yrs,100
Bara,Narayani,Terai,Central,2068/69,2011/12,% of Patients by sex,Female,50
Bara,Narayani,Terai,Central,2068/69,2011/12,% of Patients by age,Male,50
Bara,Narayani,Terai,Central,2068/69,2011/12,% Treated by,SAG,50
Bara,Narayani,Terai,Central,2068/69,2011/12,% Treated by,Fungizone,50
Bara,Narayani,Terai,Central,2068/69,2011/12,Deaths (%),Female,0
Bara,Narayani,Terai,Central,2068/69,2011/12,Deaths (%),Male,0
Bara,Narayani,Terai,Central,2068/69,2011/12,Case Fatality,,0
Parsa,Narayani,Terai,Central,2068/69,2011/12,Incidence of Kalaazar /10000*,,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,% of Patients by age,Under 5 yrs,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,% of Patients by age,Above 5 yrs,100
Palpa,Lumbini,Hill,Western,2068/69,2011/12,% of Patients by sex,Female,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,% of Patients by age,Male,100
Palpa,Lumbini,Hill,Western,2068/69,2011/12,% Treated by,SAG,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,% Treated by,Fungizone,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Deaths (%),Male,0
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Case Fatality,,0
