District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Gyne Problems,Prolapsed uterus,58
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Gyne Problems,Pelvic Inflamatory Disease (PID),292
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Gyne Problems,Leukerrhoea (Veginal discharge syndrom),205
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Gyne Problems,Menstrual disorder,249
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Gyne Problems,Disfunctional uterine bleeding,165
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Gyne Problems,Breast lumps / Breast Abscess,84
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Gyne Problems,Mastitis (Ingorged breast),70
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Mental Health related problems,Dipression,33
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Mental Health related problems,Psychosis,3
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Mental Health related problems,Anxiety (Neurosis),197
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Mental Health related problems,Mental retardation,5
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Mental Health related problems,Conversive disorder (Hysteria),72
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Mental Health related problems,Alcoholism,137
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Mental Health related problems,Epilesy,16
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Gyne Problems,Prolapsed uterus,102
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Gyne Problems,Pelvic Inflamatory Disease (PID),502
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Gyne Problems,Leukerrhoea (Veginal discharge syndrom),111
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Gyne Problems,Menstrual disorder,282
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Gyne Problems,Disfunctional uterine bleeding,246
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Gyne Problems,Breast lumps / Breast Abscess,136
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Gyne Problems,Mastitis (Ingorged breast),32
