District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Total ARI Treated,,10765
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Cotrim Treatment,Treatment by Cotrim,4063
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Cotrim Treatment,Followup,3732
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Reffer: Infection/Pnumonia,< 2 months,15
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Reffer: Infection/Pnumonia,>2 M. & <5 Yrs.,362
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Follow up,,1127
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,No Pneumonia,,6560
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Death reported,,1
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Diahhorea total,,5286
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,ORS & Jinc Treatment,,5196
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Diahhorea Cases Treatment,,3383
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,ORS Expenditure,,9490
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Zinc Expenditure,,48242
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Total ARI Treated,,17062
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Cotrim Treatment,Treatment by Cotrim,2820
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Cotrim Treatment,Followup,2749
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Reffer: Infection/Pnumonia,< 2 months,7
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Reffer: Infection/Pnumonia,>2 M. & <5 Yrs.,188
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Follow up,,207
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,No Pneumonia,,14244
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Death reported,,3
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Diahhorea total,,8722
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,ORS & Jinc Treatment,,8737
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Diahhorea Cases Treatment,,29
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,ORS Expenditure,,10941
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Zinc Expenditure,,85689
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Total ARI Treated,,19125
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Cotrim Treatment,Treatment by Cotrim,3493
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Cotrim Treatment,Followup,2668
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Reffer: Infection/Pnumonia,< 2 months,68
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Reffer: Infection/Pnumonia,>2 M. & <5 Yrs.,759
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Follow up,,752
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,No Pneumonia,,15517
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Death reported,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Diahhorea total,,11680
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,ORS & Jinc Treatment,,9485
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Diahhorea Cases Treatment,,426
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,ORS Expenditure,,16991
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Zinc Expenditure,,68470
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Total ARI Treated,,54725
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Cotrim Treatment,Treatment by Cotrim,13549
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Cotrim Treatment,Followup,12948
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Reffer: Infection/Pnumonia,< 2 months,500
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Reffer: Infection/Pnumonia,>2 M. & <5 Yrs.,2007
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Follow up,,3211
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,No Pneumonia,,39004
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Death reported,,1
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Diahhorea total,,32951
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,ORS & Jinc Treatment,,31037
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Diahhorea Cases Treatment,,2174
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,ORS Expenditure,,47674
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Zinc Expenditure,,301052
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Total ARI Treated,,54286
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Cotrim Treatment,Treatment by Cotrim,14920
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Cotrim Treatment,Followup,14672
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Reffer: Infection/Pnumonia,< 2 months,260
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Reffer: Infection/Pnumonia,>2 M. & <5 Yrs.,401
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Follow up,,1292
Morang,Kosi,Terai,Eastern,2068/69,2011/12,No Pneumonia,,38762
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Death reported,,14
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Diahhorea total,,29008
Morang,Kosi,Terai,Eastern,2068/69,2011/12,ORS & Jinc Treatment,,27876
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Diahhorea Cases Treatment,,1743
Morang,Kosi,Terai,Eastern,2068/69,2011/12,ORS Expenditure,,67008
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Zinc Expenditure,,286250
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Total ARI Treated,,42187
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Cotrim Treatment,Treatment by Cotrim,11317
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Cotrim Treatment,Followup,10922
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Reffer: Infection/Pnumonia,< 2 months,794
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Reffer: Infection/Pnumonia,>2 M. & <5 Yrs.,2147
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Follow up,,1948
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,No Pneumonia,,28554
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Death reported,,1
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Diahhorea total,,33009
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,ORS & Jinc Treatment,,28926
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Diahhorea Cases Treatment,,3307
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,ORS Expenditure,,40179
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Zinc Expenditure,,258585
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Total ARI Treated,,14851
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Cotrim Treatment,Treatment by Cotrim,3683
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Cotrim Treatment,Followup,3618
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Reffer: Infection/Pnumonia,< 2 months,16
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Reffer: Infection/Pnumonia,>2 M. & <5 Yrs.,75
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Follow up,,410
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,No Pneumonia,,11077
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Death reported,,4
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Diahhorea total,,7530
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,ORS & Jinc Treatment,,7502
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Diahhorea Cases Treatment,,34
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,ORS Expenditure,,8654
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Zinc Expenditure,,71410
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Total ARI Treated,,7846
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Cotrim Treatment,Treatment by Cotrim,1149
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Cotrim Treatment,Followup,884
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Reffer: Infection/Pnumonia,< 2 months,5
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Reffer: Infection/Pnumonia,>2 M. & <5 Yrs.,267
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Follow up,,303
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,No Pneumonia,,6195
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Death reported,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Diahhorea total,,3995
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,ORS & Jinc Treatment,,3867
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Diahhorea Cases Treatment,,15
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,ORS Expenditure,,5687
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Zinc Expenditure,,32508
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Total ARI Treated,,8431
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Cotrim Treatment,Treatment by Cotrim,2049
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Cotrim Treatment,Followup,1696
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Reffer: Infection/Pnumonia,< 2 months,36
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Reffer: Infection/Pnumonia,>2 M. & <5 Yrs.,79
