District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Total ARI Treated,,5741
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Cotrim Treatment,Treatment by Cotrim,2567
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Cotrim Treatment,Followup,2292
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Reffer: Infection/Pnumonia,< 2 months,17
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Reffer: Infection/Pnumonia,>2 M. & <5 Yrs.,194
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Follow up,,853
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,No Pneumonia,,3137
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Death reported,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Diahhorea total,,3409
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,ORS & Jinc Treatment,,3222
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Diahhorea Cases Treatment,,2342
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,ORS Expenditure,,6339
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Zinc Expenditure,,31027
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Total ARI Treated,,3592
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Cotrim Treatment,Treatment by Cotrim,1078
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Cotrim Treatment,Followup,1034
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Reffer: Infection/Pnumonia,< 2 months,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Reffer: Infection/Pnumonia,>2 M. & <5 Yrs.,27
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Follow up,,130
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,No Pneumonia,,2514
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Death reported,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Diahhorea total,,2040
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,ORS & Jinc Treatment,,2057
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Diahhorea Cases Treatment,,23
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,ORS Expenditure,,3401
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Zinc Expenditure,,19710
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Total ARI Treated,,5041
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Cotrim Treatment,Treatment by Cotrim,2435
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Cotrim Treatment,Followup,1909
