District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator 1,Indicator 2,Indicator 3,Indicator 4,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Affected,No of VDCs,,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Affected,No of Village/Tole,,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Female,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Male,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Female,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Male,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients,Total,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,RK 39,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,BM,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Sp,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Other,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Total,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,SAG/ Miltefosine,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Fungizone,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Others,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Total,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Female,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Male,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Affected,No of VDCs,,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Affected,No of Village/Tole,,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Female,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,<5 Yrs,Male,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Female,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,>=5 Yrs,Male,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients,Total,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,RK 39,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,BM,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Sp,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Other,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,Diagnosis Method,Total,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,SAG/ Miltefosine,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Fungizone,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Others,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Patients Treated,Total,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Female,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Native Cases,No of Deaths,Male,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Affected,No of VDCs,,,0
