District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Patients at end previous year,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Patients,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Total,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,RFT,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Defaulter,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Total deduction,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Patients at the End of this Fiscal Year,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Total child,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female among new,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Patients at end previous year,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,New Patients,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Total,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,RFT,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Total deduction,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Patients at the End of this Fiscal Year,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Smear Tested,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female among new,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Patients at end previous year,1
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,New Patients,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Total,1
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,RFT,1
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Total deduction,1
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Patients at the End of this Fiscal Year,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Total child,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Smear Tested,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Disability Grade 2,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female among new,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Patients at end previous year,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,New Patients,1
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Total,1
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Total deduction,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Patients at the End of this Fiscal Year,1
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Patients at end previous year,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,New Patients,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Total,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,RFT,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Total deduction,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Patients at the End of this Fiscal Year,0
