District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Case Detection Rate,0.68
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Prevalence Rate,0.68
Achham,Seti,Hill,Far-Western,2068/69,2011/12,MB  proportions among New,100
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Child proportions among new,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,G II proportion among new,26.32
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Defaulter proportions,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Female proportion among new,21.05
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,New Case Detection Rate,0.4
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Prevalence Rate,0.4
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,MB  proportions among New,100
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Child proportions among new,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,G II proportion among new,10
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Defaulter proportions,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Female proportion among new,50
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,New Case Detection Rate,0.28
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Prevalence Rate,0.19
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,MB  proportions among New,100
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Child proportions among new,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,G II proportion among new,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Defaulter proportions,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Female proportion among new,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,New Case Detection Rate,0.53
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Prevalence Rate,0.53
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,MB  proportions among New,93.33
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Child proportions among new,0
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,G II proportion among new,26.67
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Defaulter proportions,3.7
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Female proportion among new,20
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,New Case Detection Rate,0.54
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Prevalence Rate,0.54
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,MB  proportions among New,100
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Child proportions among new,9.09
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,G II proportion among new,36.36
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Defaulter proportions,0
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Female proportion among new,18.18
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,New Case Detection Rate,0.38
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Prevalence Rate,0.38
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,MB  proportions among New,60
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Child proportions among new,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,G II proportion among new,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Defaulter proportions,0
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Female proportion among new,100
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,New Case Detection Rate,2.96
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Prevalence Rate,2.3
