District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Meeting (CDP Committee),,3
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Program Implemented Health Facilities,,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Total patients full exempted this month,,96247
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Total patients partially exempted this month,,277
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Income of this month,Registration Fee,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Income of this month,Medicine Sale,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Income of this month,Others,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Income of this month,Total Collection of this month,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Meeting (CDP Committee),,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Program Implemented Health Facilities,,2
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Total patients full exempted this month,,873
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Total patients partially exempted this month,,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Income of this month,Registration Fee,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Income of this month,Medicine Sale,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Income of this month,Others,11198
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Income of this month,Total Collection of this month,11198
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,Meeting (CDP Committee),,0
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,Program Implemented Health Facilities,,0
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,Total patients full exempted this month,,2805
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,Total patients partially exempted this month,,1187
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,Income of this month,Registration Fee,0
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,Income of this month,Medicine Sale,0
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,Income of this month,Others,0
Ilam,Mechi,Hill,Eastern,2069/70,2012/13,Income of this month,Total Collection of this month,0
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,Meeting (CDP Committee),,2
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,Program Implemented Health Facilities,,0
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,Total patients full exempted this month,,7931
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,Total patients partially exempted this month,,521
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,Income of this month,Registration Fee,0
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,Income of this month,Medicine Sale,0
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,Income of this month,Others,0
Jhapa,Mechi,Terai,Eastern,2069/70,2012/13,Income of this month,Total Collection of this month,0
Morang,Kosi,Terai,Eastern,2069/70,2012/13,Meeting (CDP Committee),,0
Morang,Kosi,Terai,Eastern,2069/70,2012/13,Program Implemented Health Facilities,,0
Morang,Kosi,Terai,Eastern,2069/70,2012/13,Total patients full exempted this month,,0
Morang,Kosi,Terai,Eastern,2069/70,2012/13,Total patients partially exempted this month,,0
Morang,Kosi,Terai,Eastern,2069/70,2012/13,Income of this month,Registration Fee,0
Morang,Kosi,Terai,Eastern,2069/70,2012/13,Income of this month,Medicine Sale,0
Morang,Kosi,Terai,Eastern,2069/70,2012/13,Income of this month,Others,0
Morang,Kosi,Terai,Eastern,2069/70,2012/13,Income of this month,Total Collection of this month,0
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,Meeting (CDP Committee),,17
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,Program Implemented Health Facilities,,0
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,Total patients full exempted this month,,1998
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,Total patients partially exempted this month,,0
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,Income of this month,Registration Fee,0
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,Income of this month,Medicine Sale,0
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,Income of this month,Others,0
Sunsari,Kosi,Terai,Eastern,2069/70,2012/13,Income of this month,Total Collection of this month,0
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,Meeting (CDP Committee),,0
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,Program Implemented Health Facilities,,0
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,Total patients full exempted this month,,1564
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,Total patients partially exempted this month,,381
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,Income of this month,Registration Fee,10000
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,Income of this month,Medicine Sale,0
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,Income of this month,Others,47200
Dhankuta,Kosi,Hill,Eastern,2069/70,2012/13,Income of this month,Total Collection of this month,57200
Teharthum,Kosi,Hill,Eastern,2069/70,2012/13,Meeting (CDP Committee),,0
Teharthum,Kosi,Hill,Eastern,2069/70,2012/13,Program Implemented Health Facilities,,0
Teharthum,Kosi,Hill,Eastern,2069/70,2012/13,Total patients full exempted this month,,0
Teharthum,Kosi,Hill,Eastern,2069/70,2012/13,Total patients partially exempted this month,,0
Teharthum,Kosi,Hill,Eastern,2069/70,2012/13,Income of this month,Registration Fee,0
Teharthum,Kosi,Hill,Eastern,2069/70,2012/13,Income of this month,Medicine Sale,0
Teharthum,Kosi,Hill,Eastern,2069/70,2012/13,Income of this month,Others,0
Teharthum,Kosi,Hill,Eastern,2069/70,2012/13,Income of this month,Total Collection of this month,0
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,Meeting (CDP Committee),,5
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,Program Implemented Health Facilities,,0
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,Total patients full exempted this month,,10939
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,Total patients partially exempted this month,,1729
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,Income of this month,Registration Fee,147054
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,Income of this month,Medicine Sale,7473
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,Income of this month,Others,1891880
Sankhuwasabha,Kosi,Mountain,Eastern,2069/70,2012/13,Income of this month,Total Collection of this month,2046407
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,Meeting (CDP Committee),,12
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,Program Implemented Health Facilities,,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,Total patients full exempted this month,,6271
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,Total patients partially exempted this month,,0
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,Income of this month,Registration Fee,12430
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,Income of this month,Medicine Sale,156503
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,Income of this month,Others,50841
Bhojpur,Kosi,Hill,Eastern,2069/70,2012/13,Income of this month,Total Collection of this month,219774
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,Meeting (CDP Committee),,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2069/70,2012/13,Program Implemented Health Facilities,,0
