District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Condom,821800
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Pills,146083
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Depo,140451
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,ORS,112172
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Cortim (120 mg),602906
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Vitamin A,158819
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Iron,875149
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Albendazole,531396
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Cetamol,3263571
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Tetracyclin (250 mg),263925
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,IUCD,736
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Implant,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Condom,1456852
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Pills,117378
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Depo,135569
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,ORS,134097
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Cortim (120 mg),509740
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Vitamin A,173230
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Iron,1278005
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Albendazole,320724
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Cetamol,3679460
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Tetracyclin (250 mg),261686
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,IUCD,584
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Implant,559
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Condom,1551438
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Pills,157270
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Depo,154281
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,ORS,167472
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Cortim (120 mg),689702
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Vitamin A,244216
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Iron,900610
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Albendazole,408401
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Cetamol,3099832
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Tetracyclin (250 mg),268064
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,IUCD,407
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Implant,40
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Condom,1227000
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Pills,382275
