District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Male,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Female,1
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,3
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Clinical Malaria,Total,Female,1
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Clinical Malaria,Total,Male,3
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Male,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Female,1
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,1
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Total Treatment,Total,Female,1
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Total Treatment,Total,Male,1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Male,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Female,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Total,Female,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Total,Male,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Male,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Female,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Total Treatment,Total,Female,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Total Treatment,Total,Male,1
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Male,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Female,1
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,1
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Total,Female,1
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Total,Male,1
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Male,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Female,1
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,3
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Total Treatment,Total,Female,1
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Total Treatment,Total,Male,3
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,62
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Male,67
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Female,210
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,294
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,Total,Female,272
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,Total,Male,361
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,27
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Male,28
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Female,49
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,81
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Total Treatment,Total,Female,76
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Total Treatment,Total,Male,109
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,112
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Male,90
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Female,982
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,975
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,Total,Female,1094
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,Total,Male,1065
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,91
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Male,72
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Female,817
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,803
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Total Treatment,Total,Female,908
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Total Treatment,Total,Male,875
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,5
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Male,4
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Female,547
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,625
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,Total,Female,552
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Clinical Malaria,Total,Male,629
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Female,5
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Total Treatment,Under 5 Years,Male,5
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Female,524
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Total Treatment,5 Years & Above,Male,605
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Total Treatment,Total,Female,529
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Total Treatment,Total,Male,610
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Female,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,Under 5 Years,Male,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Female,26
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Clinical Malaria,5 Years & Above,Male,37
