District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PF Indigenous,Under 5 Years,Female,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PF Indigenous,Under 5 Years,Male,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PF Indigenous,5 Years & Above,Female,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PF Indigenous,5 Years & Above,Male,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PF Indigenous,Total,Female,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PF Indigenous,Total,Male,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PF Imported,Under 5 Years,Female,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PF Imported,Under 5 Years,Male,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PF Imported,5 Years & Above,Female,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PF Imported,5 Years & Above,Male,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PF Imported,5 to 14 Years,Female,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PF Imported,5 to 14 Years,Male,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PF Imported,Total,Female,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PF Imported,Total,Male,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PM Indigenous,Under 5 Years,Female,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PM Indigenous,Under 5 Years,Male,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PM Indigenous,5 Years & Above,Female,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PM Indigenous,5 Years & Above,Male,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PM Indigenous,Total,Female,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PM Indigenous,Total,Male,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PM Imported,Under 5 Years,Female,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PM Imported,Under 5 Years,Male,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PM Imported,5 Years & Above,Female,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,PM Imported,5 Years & Above,Male,0
