District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Slide Collection,ACD,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Slide Collection,PCDH,,173
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Slide Collection,Total,,173
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Examined,RDTs,,66
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Examined,Microscope,,118
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Examined,Total,,184
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Positive Cases,RDTs,,1
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Positive Cases,Microscope,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Positive Cases,Total,,1
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Treatment Total,,,1
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Pregnant Women Treatment,,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PV Indigenous,Under 5 Years,Female,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PV Indigenous,Under 5 Years,Male,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PV Indigenous,5 Years & Above,Female,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PV Indigenous,5 Years & Above,Male,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PV Indigenous,Total,Female,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PV Indigenous,Total,Male,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PV Imported,Under 5 Years,Female,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PV Imported,Under 5 Years,Male,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PV Imported,5 Years & Above,Female,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PV Imported,5 Years & Above,Male,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PV Imported,Total,Female,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PV Imported,Total,Male,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Slide Collection,ACD,,9
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Slide Collection,PCDH,,1004
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Slide Collection,Total,,1013
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Examined,RDTs,,147
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Examined,Microscope,,807
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Examined,Total,,954
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Positive Cases,RDTs,,8
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Positive Cases,Microscope,,2
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Positive Cases,Total,,10
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Treatment Total,,,8
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Pregnant Women Treatment,,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PV Indigenous,Under 5 Years,Female,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PV Indigenous,Under 5 Years,Male,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PV Indigenous,5 Years & Above,Female,1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PV Indigenous,5 Years & Above,Male,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PV Indigenous,Total,Female,1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PV Indigenous,Total,Male,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PV Imported,Under 5 Years,Female,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PV Imported,Under 5 Years,Male,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PV Imported,5 Years & Above,Female,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PV Imported,5 Years & Above,Male,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PV Imported,Total,Female,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PV Imported,Total,Male,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Slide Collection,ACD,,417
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Slide Collection,PCDH,,2511
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Slide Collection,Total,,2928
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Examined,RDTs,,447
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Examined,Microscope,,2540
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Examined,Total,,2987
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Positive Cases,RDTs,,19
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Positive Cases,Microscope,,14
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Positive Cases,Total,,33
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Treatment Total,,,15
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Pregnant Women Treatment,,,1
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PV Indigenous,Under 5 Years,Female,1
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PV Indigenous,Under 5 Years,Male,1
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PV Indigenous,5 Years & Above,Female,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PV Indigenous,5 Years & Above,Male,3
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PV Indigenous,Total,Female,1
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PV Indigenous,Total,Male,4
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PV Imported,Under 5 Years,Female,0
