District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Measles,32
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Diptheria,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Whooping Cough,2
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Neonatal Tetanus,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Tetanus,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Tuberculosis,28
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Acute Flacid Paralysis (AFP),8
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Rubella,9
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Mumps,463
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Chicken pox,218
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Hepatitis B,56
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Measles,10
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Diptheria,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Whooping Cough,11
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Neonatal Tetanus,1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Tetanus,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Tuberculosis,24
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Acute Flacid Paralysis (AFP),0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Rubella,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Mumps,492
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Chicken pox,113
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Hepatitis B,8
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Measles,41
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Diptheria,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Whooping Cough,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Neonatal Tetanus,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Tetanus,2
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Tuberculosis,51
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Acute Flacid Paralysis (AFP),0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Rubella,17
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Mumps,677
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Chicken pox,162
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Hepatitis B,2
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Measles,32
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Diptheria,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Whooping Cough,3
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Neonatal Tetanus,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Tetanus,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Tuberculosis,1207
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Acute Flacid Paralysis (AFP),138
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Rubella,20
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Mumps,1546
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Chicken pox,626
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Hepatitis B,18
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Measles,96
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Diptheria,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Whooping Cough,4
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Neonatal Tetanus,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Tetanus,2
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Tuberculosis,849
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Acute Flacid Paralysis (AFP),89
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Rubella,36
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Mumps,1205
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Chicken pox,706
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Hepatitis B,134
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Measles,12
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Diptheria,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Whooping Cough,10
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Neonatal Tetanus,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Tetanus,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Tuberculosis,202
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Acute Flacid Paralysis (AFP),3
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Rubella,2
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Mumps,940
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Chicken pox,156
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Hepatitis B,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Measles,20
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Diptheria,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Whooping Cough,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Neonatal Tetanus,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Tetanus,1
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Tuberculosis,52
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Acute Flacid Paralysis (AFP),0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Rubella,4
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Mumps,347
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Chicken pox,165
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Hepatitis B,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Measles,19
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Diptheria,1
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Whooping Cough,8
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Neonatal Tetanus,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Tetanus,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Tuberculosis,30
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Acute Flacid Paralysis (AFP),18
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Rubella,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Mumps,297
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Chicken pox,364
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Hepatitis B,5
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Measles,48
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Diptheria,1
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Whooping Cough,3
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Neonatal Tetanus,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Tetanus,2
