District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub- Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Eye Problem,3.29
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.14
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Gyne Problems,0.81
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.33
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Malignancy,0.02
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.58
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,21.61
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of OPD Visits for,Surgical Problems,9.93
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Not Mentioned Others,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Eye Problem,2.37
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.07
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Gyne Problems,0.7
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.06
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,1.03
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,14.16
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Surgical Problems,5.09
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Not Mentioned Others,,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Eye Problem,2.7
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.14
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Gyne Problems,1.17
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.5
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Malignancy,0.02
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,2.12
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,22.06
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of OPD Visits for,Surgical Problems,13.89
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Not Mentioned Others,,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Eye Problem,5.53
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.03
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Gyne Problems,1.59
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,0.39
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Malignancy,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,2.1
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,17.68
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Surgical Problems,4.5
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Not Mentioned Others,,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Eye Problem,5.15
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Obstetrics Complications,0.12
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Gyne Problems,1.84
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Mental Health related problems,1.68
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Malignancy,0.01
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Cardiovascular related problem,2.43
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Other Diseases and Injuries,18.36
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Surgical Problems,9.5
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Not Mentioned Others,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% of OPD Visits for,Eye Problem,1.92
