District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Skin Diseases,Impegtigo/ Boils/ Furunculosis,4793
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Skin Diseases,Abscess,3339
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Skin Diseases,Eczema/ Dermatatis,1733
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Skin Diseases,Fungal Infection,3181
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Skin Diseases,Scabies,2720
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Skin Diseases,Leukoderma,76
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Skin Diseases,Psoriasis,175
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Skin Diseases,Lymphadenitis,356
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Acute/ Chronic  Suppurative Otitis Media (ASOM),2928
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Sinusitis,1227
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Tonsilitis,8484
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Pharyngities/ Sore throat,2550
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Foreign body in respiratory tract,101
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Skin Diseases,Impegtigo/ Boils/ Furunculosis,5748
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Skin Diseases,Abscess,2399
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Skin Diseases,Eczema/ Dermatatis,3992
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Skin Diseases,Fungal Infection,2798
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Skin Diseases,Scabies,1976
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Skin Diseases,Leukoderma,54
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Skin Diseases,Psoriasis,51
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Skin Diseases,Lymphadenitis,321
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Acute/ Chronic  Suppurative Otitis Media (ASOM),2051
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Sinusitis,1004
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Tonsilitis,10377
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Pharyngities/ Sore throat,3317
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Foreign body in respiratory tract,48
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Skin Diseases,Impegtigo/ Boils/ Furunculosis,4998
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Skin Diseases,Abscess,2493
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Skin Diseases,Eczema/ Dermatatis,2703
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Skin Diseases,Fungal Infection,3487
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Skin Diseases,Scabies,2035
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Skin Diseases,Leukoderma,84
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Skin Diseases,Psoriasis,111
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Skin Diseases,Lymphadenitis,324
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Acute/ Chronic  Suppurative Otitis Media (ASOM),2415
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Sinusitis,1106
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Tonsilitis,9327
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Pharyngities/ Sore throat,3552
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Foreign body in respiratory tract,59
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Impegtigo/ Boils/ Furunculosis,18114
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Abscess,9390
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Eczema/ Dermatatis,11214
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Fungal Infection,16597
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Scabies,8606
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Leukoderma,259
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Psoriasis,331
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Lymphadenitis,1968
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Acute/ Chronic  Suppurative Otitis Media (ASOM),9321
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Sinusitis,6601
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Tonsilitis,15057
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Pharyngities/ Sore throat,10046
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Foreign body in respiratory tract,115
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Impegtigo/ Boils/ Furunculosis,28120
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Abscess,11206
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Eczema/ Dermatatis,10030
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Fungal Infection,15716
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Scabies,8557
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Leukoderma,112
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Psoriasis,150
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Lymphadenitis,1785
Morang,Kosi,Terai,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Acute/ Chronic  Suppurative Otitis Media (ASOM),14565
Morang,Kosi,Terai,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Sinusitis,4287
Morang,Kosi,Terai,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Tonsilitis,11869
Morang,Kosi,Terai,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Pharyngities/ Sore throat,7350
Morang,Kosi,Terai,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Foreign body in respiratory tract,166
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Impegtigo/ Boils/ Furunculosis,28695
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Abscess,8994
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Eczema/ Dermatatis,10298
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Fungal Infection,12577
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Scabies,12325
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Leukoderma,26
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Psoriasis,39
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Skin Diseases,Lymphadenitis,446
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Acute/ Chronic  Suppurative Otitis Media (ASOM),15732
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Sinusitis,1821
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Tonsilitis,7595
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Pharyngities/ Sore throat,2779
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,"Ear, Nose and Throat Infection and Oral Health related problems",Foreign body in respiratory tract,48
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Skin Diseases,Impegtigo/ Boils/ Furunculosis,5612
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Skin Diseases,Abscess,3265
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Skin Diseases,Eczema/ Dermatatis,4131
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Skin Diseases,Fungal Infection,3166
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Skin Diseases,Scabies,2030
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Skin Diseases,Leukoderma,33
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Skin Diseases,Psoriasis,8
