District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Weighing Status according to age group (New Visit),0-11 Months,Low,29
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Weighing Status according to age group (New Visit),0-11 Months,Normal,4288
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Weighing Status according to age group (New Visit),12-23 Months,Low,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Weighing Status according to age group (New Visit),12-23 Months,Normal,450
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Weighing Status according to age group (New Visit),24-35 Months,Low,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Weighing Status according to age group (New Visit),24-35 Months,Normal,358
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Weighing Status according to age group (New Visit),36-59 Months,Low,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Weighing Status according to age group (New Visit),36-59 Months,Normal,310
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Weighing Status according to age group (Repeated Visit),0-11 Months,Low,1228
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Weighing Status according to age group (Repeated Visit),0-11 Months,Normal,10321
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Weighing Status according to age group (Repeated Visit),12-23 Months,Low,523
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Weighing Status according to age group (Repeated Visit),12-23 Months,Normal,3944
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Weighing Status according to age group (Repeated Visit),24-35 Months,Low,383
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Weighing Status according to age group (Repeated Visit),24-35 Months,Normal,3111
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Weighing Status according to age group (Repeated Visit),36-59 Months,Low,321
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Weighing Status according to age group (Repeated Visit),36-59 Months,Normal,3271
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Weighing Status according to age group (New Visit),0-11 Months,Low,31
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Weighing Status according to age group (New Visit),0-11 Months,Normal,4939
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Weighing Status according to age group (New Visit),12-23 Months,Low,12
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Weighing Status according to age group (New Visit),12-23 Months,Normal,1336
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Weighing Status according to age group (New Visit),24-35 Months,Low,1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Weighing Status according to age group (New Visit),24-35 Months,Normal,809
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Weighing Status according to age group (New Visit),36-59 Months,Low,3
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Weighing Status according to age group (New Visit),36-59 Months,Normal,959
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Weighing Status according to age group (Repeated Visit),0-11 Months,Low,47
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Weighing Status according to age group (Repeated Visit),0-11 Months,Normal,6972
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Weighing Status according to age group (Repeated Visit),12-23 Months,Low,36
