District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Oral Health,Dental Carries/ Toothache,2968
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Oral Health,Periodontal diseases (gum diseases),511
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Oral Health,Other disorder of teeth,550
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Oral Health,"Oral ulcer, mucosa and other related diseases",881
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Eye Problem,Conjuntivitis,4480
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Eye Problem,Trachoma,69
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Eye Problem,Cataract,13
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Eye Problem,Blindness,12
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Oral Health,Dental Carries/ Toothache,2302
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Oral Health,Periodontal diseases (gum diseases),513
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Oral Health,Other disorder of teeth,91
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Oral Health,"Oral ulcer, mucosa and other related diseases",604
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Eye Problem,Conjuntivitis,4684
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Eye Problem,Trachoma,44
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Eye Problem,Cataract,2
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Eye Problem,Blindness,24
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Oral Health,Dental Carries/ Toothache,2965
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Oral Health,Periodontal diseases (gum diseases),569
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Oral Health,Other disorder of teeth,376
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Oral Health,"Oral ulcer, mucosa and other related diseases",1435
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Eye Problem,Conjuntivitis,4085
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Eye Problem,Trachoma,8
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Eye Problem,Cataract,7
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Eye Problem,Blindness,28
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Oral Health,Dental Carries/ Toothache,10371
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Oral Health,Periodontal diseases (gum diseases),4050
