District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,RTA (Road Traffic Accident),153
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Headache (Migrain),12013
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Pyrexia of Unknown Origin,1600
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Falls/Injuries/Fractures,4004
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Gastritis (APD),6809
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Insect/Wasp Bite,393
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Abdominal Pain,3154
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,"Arthritis, Rheumatism and Gout",996
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Cirrhosis of liver,67
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Burns and Scalds,407
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Dog Bite,305
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Other Rabies susceptibile animal bites,8
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Snake Bite: Poisonous,33
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Snake Bite: Non Poisonous,63
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Physical Disability (Disable Person),34
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,RTA (Road Traffic Accident),293
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Headache (Migrain),8968
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Pyrexia of Unknown Origin,4850
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Falls/Injuries/Fractures,4300
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Gastritis (APD),5696
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Insect/Wasp Bite,126
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Abdominal Pain,2005
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,"Arthritis, Rheumatism and Gout",1453
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Cirrhosis of liver,20
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Burns and Scalds,250
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Dog Bite,351
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Other Rabies susceptibile animal bites,15
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Snake Bite: Poisonous,0
