District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PHC-ORC Conduction (Times),1963
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Primary Treatment (Persons),17027
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Depo Service Provide (Persons),2837
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,ANC Checkup,1931
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PNC Serice (Persons),1270
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Growth Monitoring <5 yrs,13131
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PHC-ORC Conduction (Times),1696
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Primary Treatment (Persons),13706
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Depo Service Provide (Persons),6755
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,ANC Checkup,2347
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PNC Serice (Persons),682
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Growth Monitoring <5 yrs,10856
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PHC-ORC Conduction (Times),2142
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Primary Treatment (Persons),18253
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Depo Service Provide (Persons),12966
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,ANC Checkup,3185
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PNC Serice (Persons),1733
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Growth Monitoring <5 yrs,18393
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PHC-ORC Conduction (Times),1711
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Primary Treatment (Persons),19684
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Depo Service Provide (Persons),7343
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,ANC Checkup,5260
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PNC Serice (Persons),1536
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Growth Monitoring <5 yrs,25342
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PHC-ORC Conduction (Times),3040
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Primary Treatment (Persons),30912
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Depo Service Provide (Persons),14302
Morang,Kosi,Terai,Eastern,2068/69,2011/12,ANC Checkup,11224
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PNC Serice (Persons),3656
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Growth Monitoring <5 yrs,49533
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PHC-ORC Conduction (Times),1816
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Primary Treatment (Persons),10335
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Depo Service Provide (Persons),4514
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,ANC Checkup,10035
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PNC Serice (Persons),1070
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Growth Monitoring <5 yrs,9168
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PHC-ORC Conduction (Times),874
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Primary Treatment (Persons),8510
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Depo Service Provide (Persons),2818
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,ANC Checkup,959
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PNC Serice (Persons),524
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Growth Monitoring <5 yrs,6782
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PHC-ORC Conduction (Times),717
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Primary Treatment (Persons),4902
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Depo Service Provide (Persons),816
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,ANC Checkup,548
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PNC Serice (Persons),246
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Growth Monitoring <5 yrs,3185
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PHC-ORC Conduction (Times),993
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Primary Treatment (Persons),6145
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Depo Service Provide (Persons),2322
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,ANC Checkup,983
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PNC Serice (Persons),277
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Growth Monitoring <5 yrs,7862
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PHC-ORC Conduction (Times),2341
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Primary Treatment (Persons),13735
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Depo Service Provide (Persons),3581
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,ANC Checkup,1202
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PNC Serice (Persons),684
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Growth Monitoring <5 yrs,11140
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PHC-ORC Conduction (Times),604
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Primary Treatment (Persons),3940
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Depo Service Provide (Persons),789
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,ANC Checkup,521
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PNC Serice (Persons),284
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Growth Monitoring <5 yrs,3173
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,PHC-ORC Conduction (Times),1853
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Primary Treatment (Persons),15683
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Depo Service Provide (Persons),3064
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,ANC Checkup,1321
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,PNC Serice (Persons),359
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Growth Monitoring <5 yrs,7339
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,PHC-ORC Conduction (Times),1821
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Primary Treatment (Persons),11968
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Depo Service Provide (Persons),2441
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,ANC Checkup,1711
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,PNC Serice (Persons),892
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Growth Monitoring <5 yrs,8208
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,PHC-ORC Conduction (Times),1735
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Primary Treatment (Persons),13065
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Depo Service Provide (Persons),4495
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,ANC Checkup,3340
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,PNC Serice (Persons),1306
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Growth Monitoring <5 yrs,14007
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,PHC-ORC Conduction (Times),4448
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Primary Treatment (Persons),19359
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Depo Service Provide (Persons),7761
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,ANC Checkup,18397
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,PNC Serice (Persons),3790
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Growth Monitoring <5 yrs,34918
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,PHC-ORC Conduction (Times),2946
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Primary Treatment (Persons),19426
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Depo Service Provide (Persons),3741
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,ANC Checkup,8727
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,PNC Serice (Persons),2443
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Growth Monitoring <5 yrs,51585
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,PHC-ORC Conduction (Times),3212
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Primary Treatment (Persons),29104
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Depo Service Provide (Persons),2332
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,ANC Checkup,15116
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,PNC Serice (Persons),5140
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Growth Monitoring <5 yrs,30394
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,PHC-ORC Conduction (Times),3254
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Primary Treatment (Persons),24120
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Depo Service Provide (Persons),8297
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,ANC Checkup,19480
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,PNC Serice (Persons),6593
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Growth Monitoring <5 yrs,53304
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,PHC-ORC Conduction (Times),2222
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Primary Treatment (Persons),25572
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Depo Service Provide (Persons),1490
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,ANC Checkup,6994
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,PNC Serice (Persons),3048
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Growth Monitoring <5 yrs,25256
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,PHC-ORC Conduction (Times),1376
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Primary Treatment (Persons),15130
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Depo Service Provide (Persons),2925
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,ANC Checkup,1972
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,PNC Serice (Persons),680
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Growth Monitoring <5 yrs,7788
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,PHC-ORC Conduction (Times),1592
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Primary Treatment (Persons),14806
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Depo Service Provide (Persons),4370
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,ANC Checkup,1829
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,PNC Serice (Persons),348
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Growth Monitoring <5 yrs,7751
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,PHC-ORC Conduction (Times),1617
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,Primary Treatment (Persons),13365
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,Depo Service Provide (Persons),2561
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,ANC Checkup,1795
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,PNC Serice (Persons),625
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,Growth Monitoring <5 yrs,4887
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,PHC-ORC Conduction (Times),2305
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,Primary Treatment (Persons),15044
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,Depo Service Provide (Persons),12929
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,ANC Checkup,2011
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,PNC Serice (Persons),993
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,Growth Monitoring <5 yrs,10129
Kavre,Bagmati,Hill,Central,2068/69,2011/12,PHC-ORC Conduction (Times),3558
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Primary Treatment (Persons),28736
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Depo Service Provide (Persons),11014
Kavre,Bagmati,Hill,Central,2068/69,2011/12,ANC Checkup,3449
Kavre,Bagmati,Hill,Central,2068/69,2011/12,PNC Serice (Persons),1059
