District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,1st ANC Visit as % of Expected Pregnancy,<20 Yrs,,21.83
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,1st ANC Visit as % of Expected Pregnancy,Both (<20 and >20) Yrs,,85.97
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,4th ANC Visit as % of Expected Pregnancy,,,51.66
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Delivery Conducted as % of Expected Pregnancy,by SBA at,HF,19.16
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Delivery Conducted as % of Expected Pregnancy,by SBA at,Home,2.29
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Delivery Conducted as % of Expected Pregnancy,by SBA at,Total,21.45
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Delivery Conducted as % of Expected Pregnancy,by other than SBA at,HF,3.34
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Delivery Conducted as % of Expected Pregnancy,by other than SBA at,Home,15.7
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Delivery Conducted as % of Expected Pregnancy,by other than SBA at,Total,19.04
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Delivery Conducted as % of Expected Pregnancy,Delivery Conducted at B/CEOC among total HF delivery,,42.84
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Delivery Conducted as % of Expected Pregnancy,% of obstetric complication among total delivery,,6.15
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Delivery Conducted as % of Expected Pregnancy,% of C/S among total Institutional deliveries,,3.13
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,PNC first Visits,% of C/S among total Institutional deliveries,,46.21
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,% of FP acceptors after abortion care,% of C/S among total Institutional deliveries,,1.89
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,% of neonatal first time checkup,% of C/S among total Institutional deliveries,,55.48
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Maternal death as % of expected Pregnancy,% of C/S among total Institutional deliveries,,0.18
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,% of Institutional delivery among Live birth,% of C/S among total Institutional deliveries,,25.02
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,% SBA delivery among Live birth,% of C/S among total Institutional deliveries,,23.85
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,PNC 1st visit among Live Birth,% of C/S among total Institutional deliveries,,51.38
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,4th ANC Visit as % of 1st ANC (total),% of C/S among total Institutional deliveries,,60.09
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,1st ANC Visit as % of Expected Pregnancy,<20 Yrs,,18.17
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,1st ANC Visit as % of Expected Pregnancy,Both (<20 and >20) Yrs,,81.23
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,4th ANC Visit as % of Expected Pregnancy,,,38.84
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Delivery Conducted as % of Expected Pregnancy,by SBA at,HF,31.6
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Delivery Conducted as % of Expected Pregnancy,by SBA at,Home,1.08
