District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Antenatal Services,First Visits,< 20 Year,598
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Antenatal Services,First Visits,Err:510,2338
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Antenatal Services,Total,,2936
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Antenatal Services,Four Time Visits,,1705
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Delivery Services,Conducted by SBA,Health Institution,513
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Delivery Services,Conducted by SBA,Home,92
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Delivery Services,Conducted by SBA,Total,605
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Delivery Services,Conducted by Health worker,Health Institution,147
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Delivery Services,Conducted by Health worker,Home,475
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Delivery Services,Conducted by Health worker,Total,622
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Delivery Services,Total Delivery,,1227
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Delivery Services,Berthing Center (HP/SHP),,303
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Delivery Services,Treatment of Obstetric complications at Berthing centers (HP/SHP),,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Delivery Services,At BEOC/CEOC centers,,300
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Delivery Services,Treatment of Obstetric complications at BEOC/CEOC centers,,20
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Delivery Services,Delivery Types,Spontaneous Delivery,1165
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Delivery Services,Delivery Types,Vacuum Delivery,9
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Delivery Services,Delivery Types,Forcep Delivery,3
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Delivery Services,Delivery Types,C/S Delivery,9
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Postnatal Services,First PNC Visits,,2090
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Postnatal Services,3 Times PNC Visits,,1668
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Safe Abortion Care,Total no.  CAC service received,,362
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Safe Abortion Care,Treatement of Abortion complication,,22
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Safe Abortion Care,pac,,41
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Safe Abortion Care,No. of FP Long lasting method users after Abortion care,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,1st checkup of Neonatal,,,1990
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Maternal & Neonatal death,Maternal death,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Maternal & Neonatal death,Neonatal death,,3
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Maternal & Neonatal death,Still Birth,,12
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Antenatal Services,First Visits,< 20 Year,744
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Antenatal Services,First Visits,Err:510,3476
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Antenatal Services,Total,,4220
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Antenatal Services,Four Time Visits,,2441
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Conducted by SBA,Health Institution,1527
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Conducted by SBA,Home,50
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Conducted by SBA,Total,1577
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Conducted by Health worker,Health Institution,59
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Conducted by Health worker,Home,176
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Conducted by Health worker,Total,235
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Total Delivery,,1812
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Berthing Center (HP/SHP),,684
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Treatment of Obstetric complications at Berthing centers (HP/SHP),,25
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,At BEOC/CEOC centers,,890
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Treatment of Obstetric complications at BEOC/CEOC centers,,363
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Delivery Types,Spontaneous Delivery,1605
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Delivery Types,Vacuum Delivery,59
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Delivery Types,Forcep Delivery,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Delivery Types,C/S Delivery,113
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Postnatal Services,First PNC Visits,,2357
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Postnatal Services,3 Times PNC Visits,,1090
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Safe Abortion Care,Total no.  CAC service received,,564
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Safe Abortion Care,Treatement of Abortion complication,,14
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Safe Abortion Care,pac,,155
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Safe Abortion Care,No. of FP Long lasting method users after Abortion care,,67
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,1st checkup of Neonatal,,,2280
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Maternal & Neonatal death,Maternal death,,5
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Maternal & Neonatal death,Neonatal death,,35
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Maternal & Neonatal death,Still Birth,,32
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Antenatal Services,First Visits,< 20 Year,1426
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Antenatal Services,First Visits,Err:510,3805
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Antenatal Services,Total,,5231
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Antenatal Services,Four Time Visits,,3273
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Conducted by SBA,Health Institution,1294
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Conducted by SBA,Home,98
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Conducted by SBA,Total,1392
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Conducted by Health worker,Health Institution,60
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Conducted by Health worker,Home,388
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Conducted by Health worker,Total,448
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Total Delivery,,1840
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Berthing Center (HP/SHP),,288
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Treatment of Obstetric complications at Berthing centers (HP/SHP),,30
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,At BEOC/CEOC centers,,985
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Treatment of Obstetric complications at BEOC/CEOC centers,,68
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Delivery Types,Spontaneous Delivery,1574
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Delivery Types,Vacuum Delivery,65
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Delivery Types,Forcep Delivery,16
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Delivery Services,Delivery Types,C/S Delivery,185
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Postnatal Services,First PNC Visits,,4042
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Postnatal Services,3 Times PNC Visits,,2609
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Safe Abortion Care,Total no.  CAC service received,,952
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Safe Abortion Care,Treatement of Abortion complication,,10
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Safe Abortion Care,pac,,179
