District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Sub-Indicator,Sub-Indicator,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,By regimen,Treatment regimen,,I,152
Achham,Seti,Hill,Far-Western,2068/69,2011/12,By regimen,Treatment regimen,,II,22
Achham,Seti,Hill,Far-Western,2068/69,2011/12,By regimen,Treatment regimen,,0-8years,11
Achham,Seti,Hill,Far-Western,2068/69,2011/12,By regimen,All treated,,Cases,185
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male and Female together,Smear Positive,New,M + F,96
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male and Female together,Smear Positive,Relapse,M + F,12
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male and Female together,Smear Positive,Failure,M + F,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male and Female together,Smear Positive,RAD,M + F,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male and Female together,Smear Negative,,M + F,23
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male and Female together,Extra Pulmonary,,M + F,29
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male and Female together,Transfer in,,M + F,5
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male and Female together,Other,,M + F,11
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Male and Female together,Total,,M + F,185
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Case detection per  population (100 T),,New S+,M + F,34.3042140583
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Case detection per  population (100 T),,All,M + F,66.1070791748
Achham,Seti,Hill,Far-Western,2068/69,2011/12,ARTI,,,,1.1
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Expected case,,,,153.91695
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Case Finding Rate,,,,62.3712982878
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,By regimen,Treatment regimen,,I,232
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,By regimen,Treatment regimen,,II,23
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,By regimen,Treatment regimen,,0-8years,7
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,By regimen,All treated,,Cases,262
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male and Female together,Smear Positive,New,M + F,85
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male and Female together,Smear Positive,Relapse,M + F,21
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male and Female together,Smear Positive,Failure,M + F,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male and Female together,Smear Positive,RAD,M + F,0
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male and Female together,Smear Negative,,M + F,64
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male and Female together,Extra Pulmonary,,M + F,81
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male and Female together,Transfer in,,M + F,4
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male and Female together,Other,,M + F,7
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Male and Female together,Total,,M + F,262
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Case detection per  population (100 T),,New S+,M + F,33.7835152344
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Case detection per  population (100 T),,All,M + F,104.132717546
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,ARTI,,,,1.1
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Expected case,,,,138.3811
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Case Finding Rate,,,,61.4245731534
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,By regimen,Treatment regimen,,I,184
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,By regimen,Treatment regimen,,II,13
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,By regimen,Treatment regimen,,0-8years,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,By regimen,All treated,,Cases,197
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male and Female together,Smear Positive,New,M + F,92
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male and Female together,Smear Positive,Relapse,M + F,12
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male and Female together,Smear Positive,Failure,M + F,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male and Female together,Smear Positive,RAD,M + F,1
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male and Female together,Smear Negative,,M + F,31
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male and Female together,Extra Pulmonary,,M + F,54
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male and Female together,Transfer in,,M + F,6
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male and Female together,Other,,M + F,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Male and Female together,Total,,M + F,196
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Case detection per  population (100 T),,New S+,M + F,28.3680945274
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Case detection per  population (100 T),,All,M + F,60.4363752976
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,ARTI,,,,1.1
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Expected case,,,,178.3694
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Case Finding Rate,,,,51.5783536862
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,By regimen,Treatment regimen,,I,208
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,By regimen,Treatment regimen,,II,21
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,By regimen,Treatment regimen,,0-8years,5
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,By regimen,All treated,,Cases,234
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male and Female together,Smear Positive,New,M + F,117
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male and Female together,Smear Positive,Relapse,M + F,15
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male and Female together,Smear Positive,Failure,M + F,3
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male and Female together,Smear Positive,RAD,M + F,2
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male and Female together,Smear Negative,,M + F,44
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male and Female together,Extra Pulmonary,,M + F,41
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male and Female together,Transfer in,,M + F,3
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male and Female together,Other,,M + F,9
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Male and Female together,Total,,M + F,234
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Case detection per  population (100 T),,New S+,M + F,41.2548527343
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Case detection per  population (100 T),,All,M + F,82.5097054686
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,ARTI,,,,1.1
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Expected case,,,,155.98165
Baitadi,Mahakali,Hill,Far-Western,2068/69,2011/12,Case Finding Rate,,,,75.0088231532
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,By regimen,Treatment regimen,,I,139
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,By regimen,Treatment regimen,,II,18
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,By regimen,Treatment regimen,,0-8years,1
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,By regimen,All treated,,Cases,158
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male and Female together,Smear Positive,New,M + F,89
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male and Female together,Smear Positive,Relapse,M + F,13
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male and Female together,Smear Positive,Failure,M + F,1
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male and Female together,Smear Positive,RAD,M + F,3
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male and Female together,Smear Negative,,M + F,24
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male and Female together,Extra Pulmonary,,M + F,18
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male and Female together,Transfer in,,M + F,6
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male and Female together,Other,,M + F,7
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Male and Female together,Total,,M + F,161
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Case detection per  population (100 T),,New S+,M + F,43.7395872752
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Case detection per  population (100 T),,All,M + F,79.1244219248
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,ARTI,,,,0.72
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Expected case,,,,73.25172
Bajhang,Seti,Mountain,Far-Western,2068/69,2011/12,Case Finding Rate,,,,121.4988535423
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,By regimen,Treatment regimen,,I,118
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,By regimen,Treatment regimen,,II,8
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,By regimen,Treatment regimen,,0-8years,1
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,By regimen,All treated,,Cases,127
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male and Female together,Smear Positive,New,M + F,56
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male and Female together,Smear Positive,Relapse,M + F,2
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male and Female together,Smear Positive,Failure,M + F,3
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male and Female together,Smear Positive,RAD,M + F,1
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male and Female together,Smear Negative,,M + F,19
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male and Female together,Extra Pulmonary,,M + F,41
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male and Female together,Transfer in,,M + F,3
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male and Female together,Other,,M + F,1
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Male and Female together,Total,,M + F,126
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Case detection per  population (100 T),,New S+,M + F,42.6263948727
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Case detection per  population (100 T),,All,M + F,95.9093884635
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,ARTI,,,,0.72
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Expected case,,,,47.29464
Bajura,Seti,Mountain,Far-Western,2068/69,2011/12,Case Finding Rate,,,,118.406652424
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,By regimen,Treatment regimen,,I,847
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,By regimen,Treatment regimen,,II,86
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,By regimen,Treatment regimen,,0-8years,112
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,By regimen,All treated,,Cases,1045
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Male and Female together,Smear Positive,New,M + F,462
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Male and Female together,Smear Positive,Relapse,M + F,72
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Male and Female together,Smear Positive,Failure,M + F,6
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Male and Female together,Smear Positive,RAD,M + F,11
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Male and Female together,Smear Negative,,M + F,285
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Male and Female together,Extra Pulmonary,,M + F,179
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Male and Female together,Transfer in,,M + F,21
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Male and Female together,Other,,M + F,30
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Male and Female together,Total,,M + F,1066
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Case detection per  population (100 T),,New S+,M + F,95.780674694
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Case detection per  population (100 T),,All,M + F,221.0004312204
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,ARTI,,,,2.1
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Expected case,,,,506.4696
Banke,Bheri,Terai,Mid-Western,2068/69,2011/12,Case Finding Rate,,,,91.2196901848
Bara,Narayani,Terai,Central,2068/69,2011/12,By regimen,Treatment regimen,,I,1029
Bara,Narayani,Terai,Central,2068/69,2011/12,By regimen,Treatment regimen,,II,59
Bara,Narayani,Terai,Central,2068/69,2011/12,By regimen,Treatment regimen,,0-8years,27
Bara,Narayani,Terai,Central,2068/69,2011/12,By regimen,All treated,,Cases,1115
Bara,Narayani,Terai,Central,2068/69,2011/12,Male and Female together,Smear Positive,New,M + F,485
Bara,Narayani,Terai,Central,2068/69,2011/12,Male and Female together,Smear Positive,Relapse,M + F,56
Bara,Narayani,Terai,Central,2068/69,2011/12,Male and Female together,Smear Positive,Failure,M + F,11
Bara,Narayani,Terai,Central,2068/69,2011/12,Male and Female together,Smear Positive,RAD,M + F,2
Bara,Narayani,Terai,Central,2068/69,2011/12,Male and Female together,Smear Negative,,M + F,377
Bara,Narayani,Terai,Central,2068/69,2011/12,Male and Female together,Extra Pulmonary,,M + F,140
Bara,Narayani,Terai,Central,2068/69,2011/12,Male and Female together,Transfer in,,M + F,4
Bara,Narayani,Terai,Central,2068/69,2011/12,Male and Female together,Other,,M + F,6
Bara,Narayani,Terai,Central,2068/69,2011/12,Male and Female together,Total,,M + F,1081
Bara,Narayani,Terai,Central,2068/69,2011/12,Case detection per  population (100 T),,New S+,M + F,69.5029606828
Bara,Narayani,Terai,Central,2068/69,2011/12,Case detection per  population (100 T),,All,M + F,154.9127845322
Bara,Narayani,Terai,Central,2068/69,2011/12,ARTI,,,,2.1
Bara,Narayani,Terai,Central,2068/69,2011/12,Expected case,,,,732.7026
Bara,Narayani,Terai,Central,2068/69,2011/12,Case Finding Rate,,,,66.1932958884
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,By regimen,Treatment regimen,,I,596
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,By regimen,Treatment regimen,,II,57
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,By regimen,Treatment regimen,,0-8years,63
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,By regimen,All treated,,Cases,716
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Male and Female together,Smear Positive,New,M + F,352
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Male and Female together,Smear Positive,Relapse,M + F,46
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Male and Female together,Smear Positive,Failure,M + F,6
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Male and Female together,Smear Positive,RAD,M + F,1
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Male and Female together,Smear Negative,,M + F,156
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Male and Female together,Extra Pulmonary,,M + F,109
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Male and Female together,Transfer in,,M + F,11
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Male and Female together,Other,,M + F,40
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Male and Female together,Total,,M + F,721
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Case detection per  population (100 T),,New S+,M + F,73.9913942964
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Case detection per  population (100 T),,All,M + F,151.5562366127
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,ARTI,,,,2.1
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Expected case,,,,499.51755
Bardiya,Bheri,Terai,Mid-Western,2068/69,2011/12,Case Finding Rate,,,,70.467994568
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,By regimen,Treatment regimen,,I,507
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,By regimen,Treatment regimen,,II,63
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,By regimen,Treatment regimen,,0-8years,15
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,By regimen,All treated,,Cases,585
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,Male and Female together,Smear Positive,New,M + F,199
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,Male and Female together,Smear Positive,Relapse,M + F,39
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,Male and Female together,Smear Positive,Failure,M + F,0
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,Male and Female together,Smear Positive,RAD,M + F,1
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,Male and Female together,Smear Negative,,M + F,100
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,Male and Female together,Extra Pulmonary,,M + F,189
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,Male and Female together,Transfer in,,M + F,28
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,Male and Female together,Other,,M + F,18
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,Male and Female together,Total,,M + F,574
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,Case detection per  population (100 T),,New S+,M + F,71.3829642224
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,Case detection per  population (100 T),,All,M + F,205.89860032
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,ARTI,,,,3.1
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,Expected case,,,,432.1059
Bhaktapur ,Bagmati,Hill,Central,2068/69,2011/12,Case Finding Rate,,,,46.0535253048
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,By regimen,Treatment regimen,,I,92
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,By regimen,Treatment regimen,,II,6
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,By regimen,Treatment regimen,,0-8years,2
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,By regimen,All treated,,Cases,100
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male and Female together,Smear Positive,New,M + F,43
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male and Female together,Smear Positive,Relapse,M + F,5
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male and Female together,Smear Positive,Failure,M + F,2
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male and Female together,Smear Positive,RAD,M + F,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male and Female together,Smear Negative,,M + F,6
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male and Female together,Extra Pulmonary,,M + F,42
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male and Female together,Transfer in,,M + F,12
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male and Female together,Other,,M + F,3
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Male and Female together,Total,,M + F,113
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Case detection per  population (100 T),,New S+,M + F,18.0403937001
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Case detection per  population (100 T),,All,M + F,47.4084764678
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,ARTI,,,,1.1
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Expected case,,,,131.0947
