District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Sub-Indicator,Value
Achham,Seti,Hill,Far-Western,2070/71,2013/14,Relapse,Defaulted,M,0
Achham,Seti,Hill,Far-Western,2070/71,2013/14,Relapse,Transfer Out,F,0
Achham,Seti,Hill,Far-Western,2070/71,2013/14,Relapse,Transfer Out,M,0
Achham,Seti,Hill,Far-Western,2070/71,2013/14,Relapse,No result,F,0
Achham,Seti,Hill,Far-Western,2070/71,2013/14,Relapse,No result,M,0
Achham,Seti,Hill,Far-Western,2070/71,2013/14,Relapse,Total,F,1
Achham,Seti,Hill,Far-Western,2070/71,2013/14,Relapse,Total,M,2
Achham,Seti,Hill,Far-Western,2070/71,2013/14,Bacteriologically Confirmed Total Registered,,,32
Achham,Seti,Hill,Far-Western,2070/71,2013/14,Bacteriologically Confirmed Cure+Complete,,,30
Achham,Seti,Hill,Far-Western,2070/71,2013/14,New and Relapse Registered,,,32
Achham,Seti,Hill,Far-Western,2070/71,2013/14,Number of Treatment Success Cases (New and Relapse),,,30
Achham,Seti,Hill,Far-Western,2070/71,2013/14,Treatment Success Rate (New and Relapse),,,94%
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,Relapse,Defaulted,M,0
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,Relapse,Transfer Out,F,0
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,Relapse,Transfer Out,M,0
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,Relapse,No result,F,0
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,Relapse,No result,M,0
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,Relapse,Total,F,0
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,Relapse,Total,M,4
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,Bacteriologically Confirmed Total Registered,,,40
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,Bacteriologically Confirmed Cure+Complete,,,37
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,New and Relapse Registered,,,40
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,Number of Treatment Success Cases (New and Relapse),,,37
Arghakhanchi,Lumbini,Hill,Western,2070/71,2013/14,Treatment Success Rate (New and Relapse),,,93%
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,Relapse,Defaulted,M,0
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,Relapse,Transfer Out,F,0
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,Relapse,Transfer Out,M,0
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,Relapse,No result,F,0
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,Relapse,No result,M,0
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,Relapse,Total,F,1
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,Relapse,Total,M,6
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,Bacteriologically Confirmed Total Registered,,,27
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,Bacteriologically Confirmed Cure+Complete,,,24
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,New and Relapse Registered,,,27
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,Number of Treatment Success Cases (New and Relapse),,,24
Baglung,Dhawalagiri,Hill,Western,2070/71,2013/14,Treatment Success Rate (New and Relapse),,,89%
Baitadi,Mahakali,Hill,Far-Western,2070/71,2013/14,Relapse,Defaulted,M,0
Baitadi,Mahakali,Hill,Far-Western,2070/71,2013/14,Relapse,Transfer Out,F,0
Baitadi,Mahakali,Hill,Far-Western,2070/71,2013/14,Relapse,Transfer Out,M,0
Baitadi,Mahakali,Hill,Far-Western,2070/71,2013/14,Relapse,No result,F,0
Baitadi,Mahakali,Hill,Far-Western,2070/71,2013/14,Relapse,No result,M,0
Baitadi,Mahakali,Hill,Far-Western,2070/71,2013/14,Relapse,Total,F,1
Baitadi,Mahakali,Hill,Far-Western,2070/71,2013/14,Relapse,Total,M,5
Baitadi,Mahakali,Hill,Far-Western,2070/71,2013/14,Bacteriologically Confirmed Total Registered,,,47
Baitadi,Mahakali,Hill,Far-Western,2070/71,2013/14,Bacteriologically Confirmed Cure+Complete,,,38
Baitadi,Mahakali,Hill,Far-Western,2070/71,2013/14,New and Relapse Registered,,,47
Baitadi,Mahakali,Hill,Far-Western,2070/71,2013/14,Number of Treatment Success Cases (New and Relapse),,,38
Baitadi,Mahakali,Hill,Far-Western,2070/71,2013/14,Treatment Success Rate (New and Relapse),,,81%
Bajhang,Seti,Mountain,Far-Western,2070/71,2013/14,Relapse,Defaulted,M,1
Bajhang,Seti,Mountain,Far-Western,2070/71,2013/14,Relapse,Transfer Out,F,0
Bajhang,Seti,Mountain,Far-Western,2070/71,2013/14,Relapse,Transfer Out,M,0
Bajhang,Seti,Mountain,Far-Western,2070/71,2013/14,Relapse,No result,F,0
Bajhang,Seti,Mountain,Far-Western,2070/71,2013/14,Relapse,No result,M,0
Bajhang,Seti,Mountain,Far-Western,2070/71,2013/14,Relapse,Total,F,5
Bajhang,Seti,Mountain,Far-Western,2070/71,2013/14,Relapse,Total,M,2
Bajhang,Seti,Mountain,Far-Western,2070/71,2013/14,Bacteriologically Confirmed Total Registered,,,35
