District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator 1,Sub-Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,2.4
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,2.12
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,6.47
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.63
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,0.28
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,11.9
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,2.4
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,4.28
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,14.48
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,2.99
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,0.34
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,24.48
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,31
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,CYP,Condom,Total,750.99
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,CYP,Pills,Total,909.08
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,CYP,Depo,Total,2896.75
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,CYP,IUD,Total,1152
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,CYP,Norplant,Total,410
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,2.87
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,1.93
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,4.37
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.69
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,0.35
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,10.21
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,2.87
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,4.05
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Depo,10.45
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,IUD,2.04
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Implant,1.83
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Total,21.24
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,CPR,Current Users as % of MWRA,Total,26
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,CYP,Condom,Total,1360.9
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,CYP,Pills,Total,1636.46
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,CYP,Depo,Total,4530
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,CYP,IUD,Total,2760
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,CYP,Norplant,Total,895
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Condom,2.86
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Pills,2.14
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Depo,4.37
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,IUD,0.8
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Norplant,0.28
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,New Acceptors as % of MWRA,Total,10.44
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Condom,2.86
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Temporay Method,Current Users as % of MWRA,Pills,9.24
