District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,FSH,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,LH,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Prolactin,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Testerone,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,T3,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,T4,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,TSH,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Lipid Profile,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Microalbumin,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Carbamazepin,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Cyclosporine,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Valporic Acid,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Phenytoin,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Digoxine,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Others,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,FSH,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,LH,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Prolactin,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Testerone,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,T3,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,T4,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,TSH,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Lipid Profile,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Microalbumin,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Carbamazepin,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Cyclosporine,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Valporic Acid,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Phenytoin,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Digoxine,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Others,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,FSH,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,LH,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Prolactin,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Testerone,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,T3,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,T4,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,TSH,3
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Lipid Profile,44
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Microalbumin,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Carbamazepin,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Cyclosporine,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Valporic Acid,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Phenytoin,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Digoxine,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Others,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,FSH,3
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,LH,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Prolactin,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Testerone,43
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,T3,613
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,T4,615
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,TSH,736
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Lipid Profile,1798
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Microalbumin,248
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Carbamazepin,8
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Cyclosporine,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Valporic Acid,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Phenytoin,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Digoxine,0
