District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,TC,,3955
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,DC,,3955
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Hb,,3978
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,ESR,,3895
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PCV,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Reticulocyte,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Platelet,,271
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,MCV,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,MCH,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,MCHC,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,RBC,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Aldehyde,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,MP,T,94
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,MP,P,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,MF,T,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,MF,P,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,LE,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,BTCT,,70
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,CSF,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Bone Marrow,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Spleenic Asp.,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PT,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,APTT,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,FDP/ D-dimer,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Factor VIII,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Factor IX,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,ALC,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,HbA1c,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,HB Elec. Phorosis,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Others,,0
