District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Stool Test,2138
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Occult blood,251
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Reducing sugar,2
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Urine test,3466
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Bile salts,2
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Bile Pigments,13
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Urobili nogen,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Porpho bilinogen,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Acetone,7
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Chyle,2
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Semen Analysis,10
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Bence John's Protein,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Specific gravity,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Others,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Stool Test,358
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Occult blood,6
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Reducing sugar,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Urine test,1548
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Bile salts,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Bile Pigments,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Urobili nogen,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Porpho bilinogen,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Acetone,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Chyle,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Semen Analysis,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Bence John's Protein,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Specific gravity,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Others,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Stool Test,613
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Occult blood,76
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Reducing sugar,13
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Urine test,5948
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Bile salts,180
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Bile Pigments,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Urobili nogen,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Porpho bilinogen,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Acetone,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Chyle,1
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Semen Analysis,4
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Bence John's Protein,3
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Specific gravity,8
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Others,5
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Stool Test,12355
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Occult blood,1608
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Reducing sugar,114
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Urine test,43077
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Bile salts,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Bile Pigments,14
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Urobili nogen,18
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Porpho bilinogen,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Acetone,417
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Chyle,0
