District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Sugar,2354
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Urea,473
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Amylase,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,NA K,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Total Protein,125
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Albumin,103
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Bilirubin T+ACY-D,1406
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,GPT,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Alk. Phosphatase,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Uric Acid,903
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Ceatinine,1232
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Cholesterol,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,SGOT,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,LDH,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Acid Phosphatese,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Calcium,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Phosp horus,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,GGT,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,CPK,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,CPK MB,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,24 Hrs Urinary Protein,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Creatinine Clearance,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,S. troponin+AC0-I,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,24 hours urinary Uric Acid,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Others,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Sugar,871
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Urea,150
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Amylase,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,NA K,4
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Total Protein,1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Albumin,1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Bilirubin T+ACY-D,589
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,GPT,2
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Alk. Phosphatase,1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Uric Acid,251
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Ceatinine,191
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Cholesterol,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,SGOT,1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,LDH,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Acid Phosphatese,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Calcium,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Phosp horus,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,GGT,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,CPK,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,CPK MB,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,24 Hrs Urinary Protein,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Creatinine Clearance,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,S. troponin+AC0-I,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,24 hours urinary Uric Acid,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Others,8
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Sugar,4763
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Urea,2233
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Amylase,147
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,NA K,647
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Total Protein,17
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Albumin,32
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Bilirubin T+ACY-D,1309
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,GPT,120
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Alk. Phosphatase,132
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Uric Acid,960
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Ceatinine,2300
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Cholesterol,30
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,SGOT,124
