District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,Rh Factor,,493
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,ASOT,,311
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,CRP,,192
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,Blood Group,,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,TPHA,Total,650
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,TPHA,+ Ve,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,ANA,Total,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,ANA,+ Ve,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,DNA,Total,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,DNA,+ Ve,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,VDRL,Total,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,VDRL,+ Ve,393
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,CEA,+ Ve,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,CA-125,+ Ve,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,CA 19-9,+ Ve,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,"""TORCH IgG",+ Ve,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14," IgM""",+ Ve,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,Measles/ IgG,+ Ve,0
Taplejung,Mechi,Mountain,Eastern,2070/71,2013/14,Rubella IgG,,0
Panchthar,Mechi,Hill,Eastern,2070/71,2013/14,Rh Factor,,387
Panchthar,Mechi,Hill,Eastern,2070/71,2013/14,ASOT,,109
Panchthar,Mechi,Hill,Eastern,2070/71,2013/14,CRP,,0
Panchthar,Mechi,Hill,Eastern,2070/71,2013/14,Blood Group,,3
Panchthar,Mechi,Hill,Eastern,2070/71,2013/14,TPHA,Total,760
Panchthar,Mechi,Hill,Eastern,2070/71,2013/14,TPHA,+ Ve,3
Panchthar,Mechi,Hill,Eastern,2070/71,2013/14,ANA,Total,0
Panchthar,Mechi,Hill,Eastern,2070/71,2013/14,ANA,+ Ve,0
Panchthar,Mechi,Hill,Eastern,2070/71,2013/14,DNA,Total,0
Panchthar,Mechi,Hill,Eastern,2070/71,2013/14,DNA,+ Ve,0
Panchthar,Mechi,Hill,Eastern,2070/71,2013/14,VDRL,Total,0
Panchthar,Mechi,Hill,Eastern,2070/71,2013/14,VDRL,+ Ve,451
Panchthar,Mechi,Hill,Eastern,2070/71,2013/14,CEA,+ Ve,0
Panchthar,Mechi,Hill,Eastern,2070/71,2013/14,CA-125,+ Ve,0
Panchthar,Mechi,Hill,Eastern,2070/71,2013/14,CA 19-9,+ Ve,0
Panchthar,Mechi,Hill,Eastern,2070/71,2013/14,"""TORCH IgG",+ Ve,0
Panchthar,Mechi,Hill,Eastern,2070/71,2013/14," IgM""",+ Ve,0
Panchthar,Mechi,Hill,Eastern,2070/71,2013/14,Measles/ IgG,+ Ve,0
Panchthar,Mechi,Hill,Eastern,2070/71,2013/14,Rubella IgG,,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,Rh Factor,,375
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,ASOT,,394
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,CRP,,27
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,Blood Group,,68
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,TPHA,Total,1359
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,TPHA,+ Ve,4
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,ANA,Total,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,ANA,+ Ve,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,DNA,Total,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,DNA,+ Ve,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,VDRL,Total,62
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,VDRL,+ Ve,1098
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,CEA,+ Ve,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,CA-125,+ Ve,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,CA 19-9,+ Ve,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,"""TORCH IgG",+ Ve,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14," IgM""",+ Ve,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,Measles/ IgG,+ Ve,0
Ilam,Mechi,Hill,Eastern,2070/71,2013/14,Rubella IgG,,0
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,Rh Factor,,8694
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,ASOT,,4283
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,CRP,,1901
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,Blood Group,,3727
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,TPHA,Total,10037
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,TPHA,+ Ve,878
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,ANA,Total,13
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,ANA,+ Ve,127
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,DNA,Total,3
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,DNA,+ Ve,126
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,VDRL,Total,8
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,VDRL,+ Ve,20520
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,CEA,+ Ve,36
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,CA-125,+ Ve,16
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,CA 19-9,+ Ve,0
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,"""TORCH IgG",+ Ve,0
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14," IgM""",+ Ve,60
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,Measles/ IgG,+ Ve,0
Jhapa,Mechi,Terai,Eastern,2070/71,2013/14,Rubella IgG,,0
Morang,Kosi,Terai,Eastern,2070/71,2013/14,Rh Factor,,6053
Morang,Kosi,Terai,Eastern,2070/71,2013/14,ASOT,,11646
Morang,Kosi,Terai,Eastern,2070/71,2013/14,CRP,,5036
Morang,Kosi,Terai,Eastern,2070/71,2013/14,Blood Group,,6394
Morang,Kosi,Terai,Eastern,2070/71,2013/14,TPHA,Total,16654
Morang,Kosi,Terai,Eastern,2070/71,2013/14,TPHA,+ Ve,116
Morang,Kosi,Terai,Eastern,2070/71,2013/14,ANA,Total,183
Morang,Kosi,Terai,Eastern,2070/71,2013/14,ANA,+ Ve,135
Morang,Kosi,Terai,Eastern,2070/71,2013/14,DNA,Total,12
Morang,Kosi,Terai,Eastern,2070/71,2013/14,DNA,+ Ve,69
Morang,Kosi,Terai,Eastern,2070/71,2013/14,VDRL,Total,60
Morang,Kosi,Terai,Eastern,2070/71,2013/14,VDRL,+ Ve,10248
Morang,Kosi,Terai,Eastern,2070/71,2013/14,CEA,+ Ve,101
Morang,Kosi,Terai,Eastern,2070/71,2013/14,CA-125,+ Ve,56
Morang,Kosi,Terai,Eastern,2070/71,2013/14,CA 19-9,+ Ve,83
Morang,Kosi,Terai,Eastern,2070/71,2013/14,"""TORCH IgG",+ Ve,20
Morang,Kosi,Terai,Eastern,2070/71,2013/14," IgM""",+ Ve,341
Morang,Kosi,Terai,Eastern,2070/71,2013/14,Measles/ IgG,+ Ve,17
Morang,Kosi,Terai,Eastern,2070/71,2013/14,Rubella IgG,,103
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,Rh Factor,,118
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,ASOT,,73
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,CRP,,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,Blood Group,,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,TPHA,Total,105
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,TPHA,+ Ve,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,ANA,Total,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,ANA,+ Ve,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,DNA,Total,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,DNA,+ Ve,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,VDRL,Total,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,VDRL,+ Ve,108
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,CEA,+ Ve,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,CA-125,+ Ve,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,CA 19-9,+ Ve,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,"""TORCH IgG",+ Ve,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14," IgM""",+ Ve,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,Measles/ IgG,+ Ve,0
Sunsari,Kosi,Terai,Eastern,2070/71,2013/14,Rubella IgG,,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,Rh Factor,,1286
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,ASOT,,257
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,CRP,,154
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,Blood Group,,223
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,TPHA,Total,1531
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,TPHA,+ Ve,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,ANA,Total,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,ANA,+ Ve,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,DNA,Total,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,DNA,+ Ve,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,VDRL,Total,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,VDRL,+ Ve,1349
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,CEA,+ Ve,2
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,CA-125,+ Ve,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,CA 19-9,+ Ve,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,"""TORCH IgG",+ Ve,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14," IgM""",+ Ve,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,Measles/ IgG,+ Ve,0
Dhankuta,Kosi,Hill,Eastern,2070/71,2013/14,Rubella IgG,,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,Rh Factor,,232
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,ASOT,,105
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,CRP,,61
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,Blood Group,,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,TPHA,Total,410
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,TPHA,+ Ve,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,ANA,Total,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,ANA,+ Ve,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,DNA,Total,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,DNA,+ Ve,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,VDRL,Total,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,VDRL,+ Ve,393
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,CEA,+ Ve,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,CA-125,+ Ve,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,CA 19-9,+ Ve,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,"""TORCH IgG",+ Ve,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14," IgM""",+ Ve,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,Measles/ IgG,+ Ve,0
Teharthum,Kosi,Hill,Eastern,2070/71,2013/14,Rubella IgG,,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,Rh Factor,,1369
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,ASOT,,600
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,CRP,,114
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,Blood Group,,182
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,TPHA,Total,1510
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,TPHA,+ Ve,250
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,ANA,Total,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,ANA,+ Ve,0
Sankhuwasabha,Kosi,Mountain,Eastern,2070/71,2013/14,DNA,Total,0
