District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Rh Factor,,,244
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,ASOT,,,121
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,CRP,,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Blood Group,,,696
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,TPHA,,Total,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,TPHA,,+ Ve,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,ANA,,Total,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,ANA,,+ Ve,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,DNA,,Total,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,DNA,,+ Ve,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,VDRL,,Total,1147
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,VDRL,,+ Ve,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,CEA,,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,CA-125,,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,CA 19-9,,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,"TORCH IgG, IgM",,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Measles/ IgG,,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Rubella IgG,,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Echino cocus,,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Amoe biasis,,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,ÂµF. Protein,,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PSA,,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Ferritine,,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Cysticercosis,,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Brucella,,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Thyroglobulin,,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Electrophoresis,,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,B.HCG,,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,CA 15.3,,,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,K-39,,Total,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,K-38,,+ Ve,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,JE,,Total,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,JE,,+ Ve,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Dengue,,Total,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Dengue,,+ Ve,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Rapid MP Test,Total,,61
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Rapid MP Test,+ve,PV,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Rapid MP Test,+ve,PF,1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Rh Factor,,,56
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,ASOT,,,11
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,CRP,,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Blood Group,,,604
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,TPHA,,Total,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,TPHA,,+ Ve,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,ANA,,Total,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,ANA,,+ Ve,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,DNA,,Total,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,DNA,,+ Ve,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,VDRL,,Total,271
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,VDRL,,+ Ve,1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,CEA,,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,CA-125,,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,CA 19-9,,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,"TORCH IgG, IgM",,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Measles/ IgG,,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Rubella IgG,,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Echino cocus,,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Amoe biasis,,,0
