District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Amoe biasis,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,ÂµF. Protein,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,PSA,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Ferritine,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Cysticercosis,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Brucella,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Thyroglobulin,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Electrophoresis,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,B.HCG,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,CA 15.3,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,K-39|Total,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,K-39.1|+ Ve,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,JE|Total,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,JE.1|+ Ve,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Dengue|Total,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Dengue.1|+ Ve,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Rapid MP Test|Total|+ Ve,8
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Rapid MP Test.1|+ve|PV,0
Taplejung,Mechi,Mountain,Eastern,2069/70,2012/13,Rapid MP Test.2|+ve|PF,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Amoe biasis,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,ÂµF. Protein,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,PSA,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Ferritine,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Cysticercosis,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Brucella,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Thyroglobulin,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Electrophoresis,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,B.HCG,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,CA 15.3,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,K-39|Total,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,K-39.1|+ Ve,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,JE|Total,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,JE.1|+ Ve,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Dengue|Total,0
Panchthar,Mechi,Hill,Eastern,2069/70,2012/13,Dengue.1|+ Ve,0
