District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Heamorrhage:Antepartum,1
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Heamorrhage: Post-partum,28
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Ectopic pregnancy,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Pregnancy included Hypertension (PHI),15
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Hyperemesis Grivaduram,57
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Anteparturm Eclampsia,1
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Postpartum Eclampsia,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Prolonged Labour,15
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Obstructed Labour,6
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Ruptured Uterus,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Postpartum Sepsis,3
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Retained Placenta,27
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Other Complicatiob\ns/ Condition,18
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Abortion Complications,23
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Heamorrhage:Antepartum,12
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Heamorrhage: Post-partum,23
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Ectopic pregnancy,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Pregnancy included Hypertension (PHI),1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Hyperemesis Grivaduram,1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Anteparturm Eclampsia,1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Postpartum Eclampsia,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Prolonged Labour,22
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Obstructed Labour,2
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Ruptured Uterus,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Postpartum Sepsis,1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Retained Placenta,27
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Other Complicatiob\ns/ Condition,30
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Abortion Complications,24
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Heamorrhage:Antepartum,8
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Heamorrhage: Post-partum,13
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Ectopic pregnancy,6
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Pregnancy included Hypertension (PHI),16
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Hyperemesis Grivaduram,31
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Anteparturm Eclampsia,5
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Postpartum Eclampsia,6
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Prolonged Labour,41
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Obstructed Labour,6
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Ruptured Uterus,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Postpartum Sepsis,7
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Retained Placenta,23
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Other Complicatiob\ns/ Condition,21
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Abortion Complications,33
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Heamorrhage:Antepartum,24
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Heamorrhage: Post-partum,23
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Ectopic pregnancy,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Pregnancy included Hypertension (PHI),6
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Hyperemesis Grivaduram,16
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Anteparturm Eclampsia,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Postpartum Eclampsia,10
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Prolonged Labour,14
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Obstructed Labour,3
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Ruptured Uterus,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Postpartum Sepsis,6
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Retained Placenta,26
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Other Complicatiob\ns/ Condition,16
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Abortion Complications,17
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Heamorrhage:Antepartum,17
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Heamorrhage: Post-partum,76
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Ectopic pregnancy,35
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Pregnancy included Hypertension (PHI),93
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Hyperemesis Grivaduram,107
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Anteparturm Eclampsia,3
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Postpartum Eclampsia,14
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Prolonged Labour,29
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Obstructed Labour,47
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Ruptured Uterus,1
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Postpartum Sepsis,2
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Retained Placenta,22
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Other Complicatiob\ns/ Condition,151
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Abortion Complications,60
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Heamorrhage:Antepartum,1
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Heamorrhage: Post-partum,17
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Ectopic pregnancy,3
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Pregnancy included Hypertension (PHI),1
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Hyperemesis Grivaduram,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Anteparturm Eclampsia,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Postpartum Eclampsia,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Prolonged Labour,24
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Obstructed Labour,6
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Ruptured Uterus,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Postpartum Sepsis,1
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Retained Placenta,19
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Other Complicatiob\ns/ Condition,70
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Abortion Complications,11
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Heamorrhage:Antepartum,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Heamorrhage: Post-partum,3
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Ectopic pregnancy,2
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Pregnancy included Hypertension (PHI),6
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Hyperemesis Grivaduram,35
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Anteparturm Eclampsia,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Postpartum Eclampsia,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Prolonged Labour,5
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Obstructed Labour,4
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Ruptured Uterus,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Postpartum Sepsis,2
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Retained Placenta,10
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Other Complicatiob\ns/ Condition,22
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Abortion Complications,7
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Heamorrhage:Antepartum,3
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Heamorrhage: Post-partum,2
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Ectopic pregnancy,2
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Pregnancy included Hypertension (PHI),2
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Hyperemesis Grivaduram,32
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Anteparturm Eclampsia,1
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Postpartum Eclampsia,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Prolonged Labour,14
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Obstructed Labour,46
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Ruptured Uterus,7
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Postpartum Sepsis,32
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Retained Placenta,22
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Other Complicatiob\ns/ Condition,11
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Abortion Complications,12
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Heamorrhage:Antepartum,6
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Heamorrhage: Post-partum,21
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Ectopic pregnancy,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Pregnancy included Hypertension (PHI),10
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Hyperemesis Grivaduram,7
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Anteparturm Eclampsia,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Postpartum Eclampsia,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Prolonged Labour,3
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Obstructed Labour,52
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Ruptured Uterus,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Postpartum Sepsis,3
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Retained Placenta,13
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Other Complicatiob\ns/ Condition,345
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Abortion Complications,11
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Heamorrhage:Antepartum,9
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Heamorrhage: Post-partum,4
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Ectopic pregnancy,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Pregnancy included Hypertension (PHI),4
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Hyperemesis Grivaduram,5
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Anteparturm Eclampsia,0
