District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Other Communicable,STD/STI,184
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Other Communicable,HIV/AIDS,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Other Communicable,Leprosy,1
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Other Communicable,Confirmed Meningitis,39
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Other Infectious Disease,ARI/Lower respiratory tract Infection,6045
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Other Infectious Disease,Upper respiratory tract Infection,6299
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Other Infectious Disease,Pneumonia,3861
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Other Infectious Disease,Sever Pneumonia,137
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Other Infectious Disease,Bronchitis,1090
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Other Infectious Disease,Asthama,1654
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Other Infectious Disease,Urinary Track Infections (UTI),1656
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Other Infectious Disease,Viral Influnenza,1063
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Other Infectious Disease,Reproductive Tract Infection (RTI) male,203
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Other Infectious Disease,Reproductive Tract Infection (RTI) female,72
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Other Communicable,STD/STI,106
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Other Communicable,HIV/AIDS,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Other Communicable,Leprosy,2
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Other Communicable,Confirmed Meningitis,1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Other Infectious Disease,ARI/Lower respiratory tract Infection,7998
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Other Infectious Disease,Upper respiratory tract Infection,7111
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Other Infectious Disease,Pneumonia,4341
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Other Infectious Disease,Sever Pneumonia,170
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Other Infectious Disease,Bronchitis,1238
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Other Infectious Disease,Asthama,1616
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Other Infectious Disease,Urinary Track Infections (UTI),1140
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Other Infectious Disease,Viral Influnenza,501
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Other Infectious Disease,Reproductive Tract Infection (RTI) male,8
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Other Infectious Disease,Reproductive Tract Infection (RTI) female,48
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Other Communicable,STD/STI,106
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Other Communicable,HIV/AIDS,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Other Communicable,Leprosy,3
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Other Communicable,Confirmed Meningitis,36
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Other Infectious Disease,ARI/Lower respiratory tract Infection,8558
