District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Sub-Indicator,Sub-Indicator,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,Registered,F,,42
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,Registered,M,,73
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,Cured,F,,29
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,Cured,M,,61
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,Completed,F,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,Completed,M,,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,Failure,F,,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,Failure,M,,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,Died,F,,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,Died,M,,8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,Defaulted,F,,2
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,Defaulted,M,,4
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,Transferred out,F,,3
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,Transferred out,M,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,No result,F,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,No result,M,,0
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,TB Indicator,Cure,F,0.6904761905
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,TB Indicator,Cure,M,0.8356164384
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,TB Indicator,Cure,Total,0.7826086957
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,,Success,,0.8
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,,Failure,,0.0347826087
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,,Died,,0.0956521739
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,,Default,,0.052173913
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,,T/O,,0.0260869565
Achham,Seti,Hill,Far-Western,2068/69,2011/12,New Smear Positive,,N/D,,0
