District,zone,belt,region,Year BS,Year AD,Vaccines,No of children,Zone,Belt,Region
Achham,Seti,Hill,Far-Western,2066/67,2009/10,BCG,7863,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2066/67,2009/10,DPT-HepB 1,7343,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2066/67,2009/10,DPT-HepB 2,7102,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2066/67,2009/10,DPT-HepB 3,7483,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2066/67,2009/10,Japenese Encephalitis,0,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2066/67,2009/10,Measles 12-23,224,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2066/67,2009/10,Measles 9-11 months,7603,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2066/67,2009/10,Polio1,7418,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2066/67,2009/10,Polio2,7114,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2066/67,2009/10,Polio3,7509,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2066/67,2009/10,TT 1,2440,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2066/67,2009/10,TT 2+,4516,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2066/67,2009/10,TT2,2511,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,BCG2,8036,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,DPT-HepB 1 2,8172,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,DPT-HepB 2 2,8262,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,DPT-HepB 3 2,8183,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,Japenese Encephalitis 2,0,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,Measles 12-23 2,202,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,Measles 9-11 months 2,7634,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,Polio12,8172,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,Polio22,8260,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,Polio32,8181,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,TT 1 2,1986,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,TT 2+ 2,4513,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2067/68,2010/11,TT22,2287,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,BCG3,7676,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,DPT-HepB 1 3,7639,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,DPT-HepB 2 3,7616,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,DPT-HepB 3 3,7581,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Japenese Encephalitis 3,0,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Measles 12-23 3,123,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Measles 9-11 months 3,7581,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Polio13,7639,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Polio23,7616,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,Polio33,7581,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,TT 1 3,1705,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,TT 2+ 3,4374,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2068/69,2011/12,TT23,1908,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2069/70,2012/13,BCG4,7414,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2069/70,2012/13,DPT-Hep B1,7532,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2069/70,2012/13,DPT-Hep B2,7450,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2069/70,2012/13,DPT-Hep B3,7389,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2069/70,2012/13,"Japnese
Encephalitis",0,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2069/70,2012/13,"Measles 12-23
months",82,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2069/70,2012/13,"Measles 9-11
months",7193,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2069/70,2012/13,Polio 1,7493,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2069/70,2012/13,Polio 2,7420,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2069/70,2012/13,Polio 3,7396,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2069/70,2012/13,TT 1 4,1629,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2069/70,2012/13,TT 2,1975,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2069/70,2012/13,TT 2+ 4,4458,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2070/71,2013/14,BCG5,2979,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2070/71,2013/14,DPT-HepB 1 4,2976,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2070/71,2013/14,DPT-HepB 2 4,2991,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2070/71,2013/14,DPT-HepB 3 4,2918,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2070/71,2013/14,Polio14,2977,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2070/71,2013/14,Polio24,2991,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2070/71,2013/14,Polio34,2919,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2070/71,2013/14,Measles 9-11 months 4,2795,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2070/71,2013/14,Measles 12-23 4,28,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2070/71,2013/14,Japenese Encephalitis 4,0,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2070/71,2013/14,TT 1 5,1773,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2070/71,2013/14,TT24,1755,Seti,Hill,Far-Western
Achham,Seti,Hill,Far-Western,2070/71,2013/14,TT 2+ 5,1048,Seti,Hill,Far-Western
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,BCG,4970,Lumbini,Hill,Western
Arghakhanchi,Lumbini,Hill,Western,2066/67,2009/10,DPT-HepB 1,4726,Lumbini,Hill,Western
