District,Year,Antigens,Number of children
Bhojpur,2066/67,BCG,3934
Bhojpur,2066/67,DPT-HepB 1,3803
Bhojpur,2066/67,DPT-HepB 2,3481
Bhojpur,2066/67,DPT-HepB 3,3337
Bhojpur,2066/67,Polio1,3923
Bhojpur,2066/67,Polio2,3598
Bhojpur,2066/67,Polio3,3427
Bhojpur,2066/67,Measles 9-11 months,3860
Bhojpur,2066/67,Measles 12-23,52
Bhojpur,2066/67,Japenese Encephalitis,0
Bhojpur,2066/67,TT 1,951
Bhojpur,2066/67,TT2,1301
Bhojpur,2066/67,TT 2+,2840
Dhankuta,2066/67,BCG,3561
Dhankuta,2066/67,DPT-HepB 1,3359
Dhankuta,2066/67,DPT-HepB 2,3156
Dhankuta,2066/67,DPT-HepB 3,3097
Dhankuta,2066/67,Polio1,3589
Dhankuta,2066/67,Polio2,3413
Dhankuta,2066/67,Polio3,3323
Dhankuta,2066/67,Measles 9-11 months,3425
Dhankuta,2066/67,Measles 12-23,11
Dhankuta,2066/67,Japenese Encephalitis,0
Dhankuta,2066/67,TT 1,1472
Dhankuta,2066/67,TT2,1825
Dhankuta,2066/67,TT 2+,2113
Ilam,2066/67,BCG,6758
Ilam,2066/67,DPT-HepB 1,6367
Ilam,2066/67,DPT-HepB 2,6166
Ilam,2066/67,DPT-HepB 3,6174
Ilam,2066/67,Polio1,6771
Ilam,2066/67,Polio2,6589
Ilam,2066/67,Polio3,6538
Ilam,2066/67,Measles 9-11 months,6640
Ilam,2066/67,Measles 12-23,106
Ilam,2066/67,Japenese Encephalitis,0
Ilam,2066/67,TT 1,1275
Ilam,2066/67,TT2,1859
Ilam,2066/67,TT 2+,4760
Jhapa,2066/67,BCG,20105
Jhapa,2066/67,DPT-HepB 1,20103
Jhapa,2066/67,DPT-HepB 2,20100
Jhapa,2066/67,DPT-HepB 3,20103
Jhapa,2066/67,Polio1,20103
Jhapa,2066/67,Polio2,20103
Jhapa,2066/67,Polio3,20103
Jhapa,2066/67,Measles 9-11 months,20107
Jhapa,2066/67,Measles 12-23,4153
Jhapa,2066/67,Japenese Encephalitis,11839
Jhapa,2066/67,TT 1,8611
Jhapa,2066/67,TT2,9827
Jhapa,2066/67,TT 2+,14144
Khotang,2066/67,BCG,5207
Khotang,2066/67,DPT-HepB 1,4712
Khotang,2066/67,DPT-HepB 2,4349
Khotang,2066/67,DPT-HepB 3,4304
Khotang,2066/67,Polio1,4650
Khotang,2066/67,Polio2,4188
Khotang,2066/67,Polio3,4238
Khotang,2066/67,Measles 9-11 months,4882
Khotang,2066/67,Measles 12-23,94
Khotang,2066/67,Japenese Encephalitis,0
Khotang,2066/67,TT 1,3250
Khotang,2066/67,TT2,2926
Khotang,2066/67,TT 2+,2670
Morang,2066/67,BCG,22117
Morang,2066/67,DPT-HepB 1,19796
Morang,2066/67,DPT-HepB 2,18881
Morang,2066/67,DPT-HepB 3,18988
Morang,2066/67,Polio1,20140
Morang,2066/67,Polio2,19254
Morang,2066/67,Polio3,19339
Morang,2066/67,Measles 9-11 months,19403
Morang,2066/67,Measles 12-23,84
Morang,2066/67,Japenese Encephalitis,13028
Morang,2066/67,TT 1,5567
Morang,2066/67,TT2,7609
Morang,2066/67,TT 2+,12873
Okhaldhunga,2066/67,BCG,3626
Okhaldhunga,2066/67,DPT-HepB 1,3062
Okhaldhunga,2066/67,DPT-HepB 2,2738
Okhaldhunga,2066/67,DPT-HepB 3,2801
Okhaldhunga,2066/67,Polio1,3473
Okhaldhunga,2066/67,Polio2,3126
Okhaldhunga,2066/67,Polio3,3136
Okhaldhunga,2066/67,Measles 9-11 months,3284
Okhaldhunga,2066/67,Measles 12-23,39
Okhaldhunga,2066/67,Japenese Encephalitis,0
Okhaldhunga,2066/67,TT 1,1206
Okhaldhunga,2066/67,TT2,2415
Okhaldhunga,2066/67,TT 2+,1026
Panchthar,2066/67,BCG,4680
Panchthar,2066/67,DPT-HepB 1,4359
Panchthar,2066/67,DPT-HepB 2,4111
Panchthar,2066/67,DPT-HepB 3,4049
Panchthar,2066/67,Polio1,4556
Panchthar,2066/67,Polio2,4354
Panchthar,2066/67,Polio3,4265
Panchthar,2066/67,Measles 9-11 months,4347
Panchthar,2066/67,Measles 12-23,62
Panchthar,2066/67,Japenese Encephalitis,0
Panchthar,2066/67,TT 1,2686
Panchthar,2066/67,TT2,2253
Panchthar,2066/67,TT 2+,1890
Sankhuwasabha,2066/67,BCG,3639
Sankhuwasabha,2066/67,DPT-HepB 1,3348
Sankhuwasabha,2066/67,DPT-HepB 2,3239
Sankhuwasabha,2066/67,DPT-HepB 3,3111
Sankhuwasabha,2066/67,Polio1,3496
Sankhuwasabha,2066/67,Polio2,3473
Sankhuwasabha,2066/67,Polio3,3429
Sankhuwasabha,2066/67,Measles 9-11 months,3216
Sankhuwasabha,2066/67,Measles 12-23,82
Sankhuwasabha,2066/67,Japenese Encephalitis,0
Sankhuwasabha,2066/67,TT 1,289
Sankhuwasabha,2066/67,TT2,431
Sankhuwasabha,2066/67,TT 2+,2884
Saptari,2066/67,BCG,15468
Saptari,2066/67,DPT-HepB 1,14516
Saptari,2066/67,DPT-HepB 2,13774
Saptari,2066/67,DPT-HepB 3,13691
Saptari,2066/67,Polio1,14397
Saptari,2066/67,Polio2,14229
Saptari,2066/67,Polio3,13870
Saptari,2066/67,Measles 9-11 months,13681
Saptari,2066/67,Measles 12-23,391
Saptari,2066/67,Japenese Encephalitis,6911
Saptari,2066/67,TT 1,9421
Saptari,2066/67,TT2,7559
Saptari,2066/67,TT 2+,9632
Siraha,2066/67,BCG,15705
Siraha,2066/67,DPT-HepB 1,14952
Siraha,2066/67,DPT-HepB 2,14367
Siraha,2066/67,DPT-HepB 3,14126
Siraha,2066/67,Polio1,14952
Siraha,2066/67,Polio2,14367
Siraha,2066/67,Polio3,14131
Siraha,2066/67,Measles 9-11 months,14765
Siraha,2066/67,Measles 12-23,154
Siraha,2066/67,Japenese Encephalitis,5616
Siraha,2066/67,TT 1,11770
Siraha,2066/67,TT2,11240
Siraha,2066/67,TT 2+,15522
Solukhumbu,2066/67,BCG,2213
Solukhumbu,2066/67,DPT-HepB 1,1870
Solukhumbu,2066/67,DPT-HepB 2,1752
Solukhumbu,2066/67,DPT-HepB 3,1670
Solukhumbu,2066/67,Polio1,1871
Solukhumbu,2066/67,Polio2,1752
Solukhumbu,2066/67,Polio3,1670
Solukhumbu,2066/67,Measles 9-11 months,2058
Solukhumbu,2066/67,Measles 12-23,24
Solukhumbu,2066/67,Japenese Encephalitis,0
Solukhumbu,2066/67,TT 1,1483
Solukhumbu,2066/67,TT2,1343
Solukhumbu,2066/67,TT 2+,730
Sunsari,2066/67,BCG,17171
Sunsari,2066/67,DPT-HepB 1,15672
Sunsari,2066/67,DPT-HepB 2,15163
Sunsari,2066/67,DPT-HepB 3,14917
Sunsari,2066/67,Polio1,15672
Sunsari,2066/67,Polio2,15163
Sunsari,2066/67,Polio3,14917
Sunsari,2066/67,Measles 9-11 months,15234
Sunsari,2066/67,Measles 12-23,267
Sunsari,2066/67,Japenese Encephalitis,8208
Sunsari,2066/67,TT 1,6328
Sunsari,2066/67,TT2,6021
Sunsari,2066/67,TT 2+,11637
Taplejung,2066/67,BCG,3262
Taplejung,2066/67,DPT-HepB 1,3133
Taplejung,2066/67,DPT-HepB 2,3033
Taplejung,2066/67,DPT-HepB 3,2950
Taplejung,2066/67,Polio1,3189
Taplejung,2066/67,Polio2,3086
Taplejung,2066/67,Polio3,2996
Taplejung,2066/67,Measles 9-11 months,3157
Taplejung,2066/67,Measles 12-23,103
Taplejung,2066/67,Japenese Encephalitis,0
Taplejung,2066/67,TT 1,2469
Taplejung,2066/67,TT2,2228
Taplejung,2066/67,TT 2+,752
Teharthum,2066/67,BCG,2236
Teharthum,2066/67,DPT-HepB 1,2229
Teharthum,2066/67,DPT-HepB 2,2125
Teharthum,2066/67,DPT-HepB 3,2061
Teharthum,2066/67,Polio1,2351
Teharthum,2066/67,Polio2,2256
Teharthum,2066/67,Polio3,2197
Teharthum,2066/67,Measles 9-11 months,2288
Teharthum,2066/67,Measles 12-23,20
Teharthum,2066/67,Japenese Encephalitis,0
Teharthum,2066/67,TT 1,728
Teharthum,2066/67,TT2,882
