District,Year,Vaccine,Dropout Rate
Bhojpur,2066/67,BCG Vs Measles,1.88
Bhojpur,2066/67,DPT1 Vs DPT-3,12.25
Bhojpur,2066/67,Polio1 Vs Polio-3,12.64
Dhankuta,2066/67,BCG Vs Measles,3.82
Dhankuta,2066/67,DPT1 Vs DPT-3,7.8
Dhankuta,2066/67,Polio1 Vs Polio-3,7.41
Ilam,2066/67,BCG Vs Measles,1.75
Ilam,2066/67,DPT1 Vs DPT-3,3.03
Ilam,2066/67,Polio1 Vs Polio-3,3.44
Jhapa,2066/67,BCG Vs Measles,-0.01
Jhapa,2066/67,DPT1 Vs DPT-3,0
Jhapa,2066/67,Polio1 Vs Polio-3,0
Khotang,2066/67,BCG Vs Measles,6.24
Khotang,2066/67,DPT1 Vs DPT-3,8.66
Khotang,2066/67,Polio1 Vs Polio-3,8.86
Morang,2066/67,BCG Vs Measles,12.27
Morang,2066/67,DPT1 Vs DPT-3,4.08
Morang,2066/67,Polio1 Vs Polio-3,3.98
Okhaldhunga,2066/67,BCG Vs Measles,9.43
Okhaldhunga,2066/67,DPT1 Vs DPT-3,8.52
Okhaldhunga,2066/67,Polio1 Vs Polio-3,9.7
Panchthar,2066/67,BCG Vs Measles,7.12
Panchthar,2066/67,DPT1 Vs DPT-3,7.11
Panchthar,2066/67,Polio1 Vs Polio-3,6.39
Sankhuwasabha,2066/67,BCG Vs Measles,11.62
Sankhuwasabha,2066/67,DPT1 Vs DPT-3,7.08
Sankhuwasabha,2066/67,Polio1 Vs Polio-3,1.92
Saptari,2066/67,BCG Vs Measles,11.55
Saptari,2066/67,DPT1 Vs DPT-3,5.68
Saptari,2066/67,Polio1 Vs Polio-3,3.66
Siraha,2066/67,BCG Vs Measles,5.99
Siraha,2066/67,DPT1 Vs DPT-3,5.52
Siraha,2066/67,Polio1 Vs Polio-3,5.49
Solukhumbu,2066/67,BCG Vs Measles,7
Solukhumbu,2066/67,DPT1 Vs DPT-3,10.7
Solukhumbu,2066/67,Polio1 Vs Polio-3,10.74
Sunsari,2066/67,BCG Vs Measles,11.28
Sunsari,2066/67,DPT1 Vs DPT-3,4.82
Sunsari,2066/67,Polio1 Vs Polio-3,4.82
Taplejung,2066/67,BCG Vs Measles,3.22
Taplejung,2066/67,DPT1 Vs DPT-3,5.84
Taplejung,2066/67,Polio1 Vs Polio-3,6.05
Teharthum,2066/67,BCG Vs Measles,-2.33
Teharthum,2066/67,DPT1 Vs DPT-3,7.54
Teharthum,2066/67,Polio1 Vs Polio-3,6.55
Udaypur,2066/67,BCG Vs Measles,8.16
Udaypur,2066/67,DPT1 Vs DPT-3,8.81
Udaypur,2066/67,Polio1 Vs Polio-3,6.38
Bara,2066/67,BCG Vs Measles,8.63
Bara,2066/67,DPT1 Vs DPT-3,3.2
Bara,2066/67,Polio1 Vs Polio-3,8.9
Bhaktapur,2066/67,BCG Vs Measles,-38.84
Bhaktapur,2066/67,DPT1 Vs DPT-3,0.66
Bhaktapur,2066/67,Polio1 Vs Polio-3,5.82
Chitwan,2066/67,BCG Vs Measles,9.35
Chitwan,2066/67,DPT1 Vs DPT-3,2.78
Chitwan,2066/67,Polio1 Vs Polio-3,2.11
Dhading,2066/67,BCG Vs Measles,-1.6
Dhading,2066/67,DPT1 Vs DPT-3,4.3
Dhading,2066/67,Polio1 Vs Polio-3,4.05
Dhanusha,2066/67,BCG Vs Measles,7.09
Dhanusha,2066/67,DPT1 Vs DPT-3,9.31
Dhanusha,2066/67,Polio1 Vs Polio-3,9.17
Dolkha,2066/67,BCG Vs Measles,0.79
Dolkha,2066/67,DPT1 Vs DPT-3,3.3
Dolkha,2066/67,Polio1 Vs Polio-3,2.34
Kathmandu,2066/67,BCG Vs Measles,25.63
Kathmandu,2066/67,DPT1 Vs DPT-3,5.62
Kathmandu,2066/67,Polio1 Vs Polio-3,5.27
Kavre,2066/67,BCG Vs Measles,1.62
Kavre,2066/67,DPT1 Vs DPT-3,5.64
Kavre,2066/67,Polio1 Vs Polio-3,3.92
Lalitpur,2066/67,BCG Vs Measles,27.28
Lalitpur,2066/67,DPT1 Vs DPT-3,-2.85
Lalitpur,2066/67,Polio1 Vs Polio-3,-2.85
Mahottari,2066/67,BCG Vs Measles,8.46
Mahottari,2066/67,DPT1 Vs DPT-3,3.78
Mahottari,2066/67,Polio1 Vs Polio-3,2.94
Makawanpur,2066/67,BCG Vs Measles,5.2
Makawanpur,2066/67,DPT1 Vs DPT-3,8.93
Makawanpur,2066/67,Polio1 Vs Polio-3,8.26
Nuwakot,2066/67,BCG Vs Measles,3.17
Nuwakot,2066/67,DPT1 Vs DPT-3,3.57
Nuwakot,2066/67,Polio1 Vs Polio-3,3.12
Parsa,2066/67,BCG Vs Measles,10.74
Ramechhap,2066/67,BCG Vs Measles,-0.4
Ramechhap,2066/67,DPT1 Vs DPT-3,2.86
Ramechhap,2066/67,Polio1 Vs Polio-3,2.83
Rasuwa,2066/67,BCG Vs Measles,1.65
Rasuwa,2066/67,DPT1 Vs DPT-3,5.16
Rasuwa,2066/67,Polio1 Vs Polio-3,3.09
Rautahat,2066/67,BCG Vs Measles,17.2
Rautahat,2066/67,DPT1 Vs DPT-3,7.51
Rautahat,2066/67,Polio1 Vs Polio-3,15.04
Sarlahi,2066/67,BCG Vs Measles,16.33
