District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicators,Sub-Indicator,Value
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Coverage (%),BCG,123.33
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Coverage (%),DPT3,121.8
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Coverage (%),Polio3,121.8
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Coverage (%),Measles,121.8
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Coverage (%),TT1,23.48
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Coverage (%),TT2,26.28
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Coverage (%),TT2+,60.25
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Drop Out Rate (%),BCG Vs Measles,1.24
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Drop Out Rate (%),DPT1 Vs DPT3,0.76
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Drop Out Rate (%),Polio1 Vs Polio3,0.76
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Wastage Rate(%),BCG,83.97
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Wastage Rate(%),DPT,5.85
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Wastage Rate(%),Polio3,20.87
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Wastage Rate(%),Measles,69.06
Achham,Seti,Hill,Far-Western,2068/69,2011/2012,Wastage Rate(%),TT,47.01
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Coverage (%),BCG,80.06
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Coverage (%),DPT3,80.92
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Coverage (%),Polio3,80.99
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Coverage (%),Measles,79.49
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/2012,Coverage (%),TT1,17.77
