Year BS,Year AD,District,zone,belt,region,"Ear,Nose and Throat related problems",No of people,Zone,Belt,Region
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),5977,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Foreign body in respiratory tract,258,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Pharyngities/ Sore throat,1888,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Sinusitis,1151,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Tonsilitis,1927,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),5734,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Foreign body in respiratory tract,106,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Pharyngities/ Sore throat,1562,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Sinusitis,780,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Tonsilitis,1901,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),5509,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Foreign body in respiratory tract,100,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Pharyngities/ Sore throat,1454,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Sinusitis,664,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Tonsilitis,1932,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Acute/ Chronic Suppurative Otitis Media (ASOM),6157,Seti,Hill,Far-Western
