District,Year,ENT related problems,Number of people
Bhojpur,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),3666
Bhojpur,2066/67,Sinusitis,1193
Bhojpur,2066/67,Tonsilitis,13867
Bhojpur,2066/67,Pharyngities/ Sore throat,4150
Bhojpur,2066/67,Foreign body in respiratory tract,178
Dhankuta,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),2607
Dhankuta,2066/67,Sinusitis,923
Dhankuta,2066/67,Tonsilitis,10039
Dhankuta,2066/67,Pharyngities/ Sore throat,3735
Dhankuta,2066/67,Foreign body in respiratory tract,93
Ilam,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),3312
Ilam,2066/67,Sinusitis,1227
Ilam,2066/67,Tonsilitis,9560
Ilam,2066/67,Pharyngities/ Sore throat,2888
Ilam,2066/67,Foreign body in respiratory tract,71
Jhapa,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),8860
Jhapa,2066/67,Sinusitis,5004
Jhapa,2066/67,Tonsilitis,11983
Jhapa,2066/67,Pharyngities/ Sore throat,8493
Jhapa,2066/67,Foreign body in respiratory tract,98
Khotang,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),4261
Khotang,2066/67,Sinusitis,1389
Khotang,2066/67,Tonsilitis,9464
Khotang,2066/67,Pharyngities/ Sore throat,3893
Khotang,2066/67,Foreign body in respiratory tract,159
Morang,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),15843
Morang,2066/67,Sinusitis,4173
Morang,2066/67,Tonsilitis,10617
Morang,2066/67,Pharyngities/ Sore throat,6069
Morang,2066/67,Foreign body in respiratory tract,252
Okhaldhunga,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),4857
Okhaldhunga,2066/67,Sinusitis,2292
Okhaldhunga,2066/67,Tonsilitis,8407
Okhaldhunga,2066/67,Pharyngities/ Sore throat,4106
Okhaldhunga,2066/67,Foreign body in respiratory tract,142
Panchthar,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),2881
Panchthar,2066/67,Sinusitis,859
Panchthar,2066/67,Tonsilitis,11246
Panchthar,2066/67,Pharyngities/ Sore throat,1912
Panchthar,2066/67,Foreign body in respiratory tract,43
Sankhuwasabha,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),3473
Sankhuwasabha,2066/67,Sinusitis,1087
Sankhuwasabha,2066/67,Tonsilitis,5762
Sankhuwasabha,2066/67,Pharyngities/ Sore throat,3020
Sankhuwasabha,2066/67,Foreign body in respiratory tract,63
Saptari,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),24857
Saptari,2066/67,Sinusitis,2240
Saptari,2066/67,Tonsilitis,5470
Saptari,2066/67,Pharyngities/ Sore throat,3413
Saptari,2066/67,Foreign body in respiratory tract,207
Siraha,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),19738
Siraha,2066/67,Sinusitis,3303
Siraha,2066/67,Tonsilitis,6599
Siraha,2066/67,Pharyngities/ Sore throat,3022
Siraha,2066/67,Foreign body in respiratory tract,207
Solukhumbu,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),2852
Solukhumbu,2066/67,Sinusitis,1864
Solukhumbu,2066/67,Tonsilitis,4466
Solukhumbu,2066/67,Pharyngities/ Sore throat,2507
Solukhumbu,2066/67,Foreign body in respiratory tract,120
Sunsari,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),17573
Sunsari,2066/67,Sinusitis,1967
Sunsari,2066/67,Tonsilitis,8095
Sunsari,2066/67,Pharyngities/ Sore throat,3827
Sunsari,2066/67,Foreign body in respiratory tract,58
Taplejung,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),3183
Taplejung,2066/67,Sinusitis,1305
Taplejung,2066/67,Tonsilitis,8822
Taplejung,2066/67,Pharyngities/ Sore throat,2519
Taplejung,2066/67,Foreign body in respiratory tract,117
Teharthum,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),2326
Teharthum,2066/67,Sinusitis,936
Teharthum,2066/67,Tonsilitis,6456
Teharthum,2066/67,Pharyngities/ Sore throat,2569
Teharthum,2066/67,Foreign body in respiratory tract,83
Udaypur,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),4285
Udaypur,2066/67,Sinusitis,1795
Udaypur,2066/67,Tonsilitis,6057
Udaypur,2066/67,Pharyngities/ Sore throat,3098
Udaypur,2066/67,Foreign body in respiratory tract,267
Bara,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),15148
Bara,2066/67,Sinusitis,1697
Bara,2066/67,Tonsilitis,3616
Bara,2066/67,Pharyngities/ Sore throat,1244
Bara,2066/67,Foreign body in respiratory tract,181
Bhaktapur,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),2254
Bhaktapur,2066/67,Sinusitis,1050
Bhaktapur,2066/67,Tonsilitis,3947
Bhaktapur,2066/67,Pharyngities/ Sore throat,2181
Bhaktapur,2066/67,Foreign body in respiratory tract,61
Chitwan,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),8507
Chitwan,2066/67,Sinusitis,3866
Chitwan,2066/67,Tonsilitis,6881
Chitwan,2066/67,Pharyngities/ Sore throat,3667
Chitwan,2066/67,Foreign body in respiratory tract,582
Dhading,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),6089
Dhading,2066/67,Sinusitis,1905
Dhading,2066/67,Tonsilitis,5239
Dhading,2066/67,Pharyngities/ Sore throat,2579
Dhading,2066/67,Foreign body in respiratory tract,110
Dhanusha,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),22527
Dhanusha,2066/67,Sinusitis,3080
Dhanusha,2066/67,Tonsilitis,6657
Dhanusha,2066/67,Pharyngities/ Sore throat,2624
Dhanusha,2066/67,Foreign body in respiratory tract,419
Dolkha,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),3783
Dolkha,2066/67,Sinusitis,1713
Dolkha,2066/67,Tonsilitis,5369
Dolkha,2066/67,Pharyngities/ Sore throat,2340
Dolkha,2066/67,Foreign body in respiratory tract,289
Kathmandu,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),7188
Kathmandu,2066/67,Sinusitis,4040
Kathmandu,2066/67,Tonsilitis,13126
Kathmandu,2066/67,Pharyngities/ Sore throat,5645
Kathmandu,2066/67,Foreign body in respiratory tract,479
Kavre,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),7717
Kavre,2066/67,Sinusitis,2110
Kavre,2066/67,Tonsilitis,11029
Kavre,2066/67,Pharyngities/ Sore throat,3994
Kavre,2066/67,Foreign body in respiratory tract,152
Lalitpur,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),0
Lalitpur,2066/67,Sinusitis,0
Lalitpur,2066/67,Tonsilitis,0
Lalitpur,2066/67,Pharyngities/ Sore throat,0
Lalitpur,2066/67,Foreign body in respiratory tract,0
Mahottari,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),14116
Mahottari,2066/67,Sinusitis,2664
Mahottari,2066/67,Tonsilitis,4211
Mahottari,2066/67,Pharyngities/ Sore throat,1819
Mahottari,2066/67,Foreign body in respiratory tract,358
Makawanpur,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),3723
Makawanpur,2066/67,Sinusitis,972
Makawanpur,2066/67,Tonsilitis,4238
Makawanpur,2066/67,Pharyngities/ Sore throat,1760
Makawanpur,2066/67,Foreign body in respiratory tract,89
Nuwakot,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),3579
Nuwakot,2066/67,Sinusitis,1492
Nuwakot,2066/67,Tonsilitis,3628
Nuwakot,2066/67,Pharyngities/ Sore throat,1655
Nuwakot,2066/67,Foreign body in respiratory tract,85
Parsa,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),0
Parsa,2066/67,Sinusitis,0
Parsa,2066/67,Tonsilitis,0
Parsa,2066/67,Pharyngities/ Sore throat,0
Parsa,2066/67,Foreign body in respiratory tract,0
Ramechhap,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),3699
Ramechhap,2066/67,Sinusitis,1074
Ramechhap,2066/67,Tonsilitis,5760
Ramechhap,2066/67,Pharyngities/ Sore throat,2428
Ramechhap,2066/67,Foreign body in respiratory tract,61
Rasuwa,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),939
Rasuwa,2066/67,Sinusitis,276
Rasuwa,2066/67,Tonsilitis,1085
Rasuwa,2066/67,Pharyngities/ Sore throat,369
Rasuwa,2066/67,Foreign body in respiratory tract,14
Rautahat,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),11531
Rautahat,2066/67,Sinusitis,1964
Rautahat,2066/67,Tonsilitis,2480
Rautahat,2066/67,Pharyngities/ Sore throat,1578
Rautahat,2066/67,Foreign body in respiratory tract,224
Sarlahi,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),16537
Sarlahi,2066/67,Sinusitis,2868
Sarlahi,2066/67,Tonsilitis,5120
Sarlahi,2066/67,Pharyngities/ Sore throat,2639
Sarlahi,2066/67,Foreign body in respiratory tract,218
Sindhuli,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),2744
Sindhuli,2066/67,Sinusitis,1256
Sindhuli,2066/67,Tonsilitis,3520
Sindhuli,2066/67,Pharyngities/ Sore throat,1444
Sindhuli,2066/67,Foreign body in respiratory tract,178
Sindhupalchowk,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),4249
Sindhupalchowk,2066/67,Sinusitis,2315
Sindhupalchowk,2066/67,Tonsilitis,5543
Sindhupalchowk,2066/67,Pharyngities/ Sore throat,5011
Sindhupalchowk,2066/67,Foreign body in respiratory tract,117
Arghakhanchi,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),3764
Arghakhanchi,2066/67,Sinusitis,2270
Arghakhanchi,2066/67,Tonsilitis,3874
Arghakhanchi,2066/67,Pharyngities/ Sore throat,1715
Arghakhanchi,2066/67,Foreign body in respiratory tract,178
Baglung,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),3982
Baglung,2066/67,Sinusitis,2694
Baglung,2066/67,Tonsilitis,5562
Baglung,2066/67,Pharyngities/ Sore throat,2934
Baglung,2066/67,Foreign body in respiratory tract,304
Gorkha,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),6121
Gorkha,2066/67,Sinusitis,3419
Gorkha,2066/67,Tonsilitis,8011
Gorkha,2066/67,Pharyngities/ Sore throat,3481
Gorkha,2066/67,Foreign body in respiratory tract,408
Gulmi,2066/67,Acute/ Chronic Suppurative Otitis Media (ASOM),6280
Gulmi,2066/67,Sinusitis,4226
