district,Zone,Geographical Region,region,vdc_name,vdc_code,coverage_population,target,rcs_count,Region
Pyuthan,Rapti,Hill,Mid-Western,Arkha,52001,2220,1918,,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Badikot,52002,2354,2202,,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Bangesal,52003,2521,2317,2.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Baraula,52004,1716,1775,1.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Barjiwang,52005,1116,1030,,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Belwaspur,52006,2157,2270,2.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Bhingri,52007,2365,2123,1.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Bijayanagar,52008,1706,1653,1.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Bijubar,52009,2523,2709,1.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Bijuli,52010,1598,1723,2.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Chuja,52011,2221,2389,2.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Dakhanwadi,52012,2455,2568,1.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Damri,52013,1826,1834,3.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Dangwang,52014,1858,1987,1.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Dharampani,52015,1323,1390,3.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Dharmawati,52016,2312,2112,1.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Dhobaghat(Udayapurkot),52017,1336,1179,1.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Dhuwang,52018,1595,1653,1.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Dungegadi,52019,1924,1691,1.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Gothiwang,52020,2239,2118,3.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Hansapur,52021,1786,1636,1.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Jumrikanda,52022,1854,1627,2.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Khaira,52023,1925,1982,1.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Khawang,52024,2447,2178,1.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Khung,52025,1282,1177,1.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Kochiwang,52026,1492,1363,1.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Ligha,52027,1217,1247,1.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Liwang,52028,2178,1831,1.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Lung,52029,1843,1747,,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Majhakot,52030,1358,1294,,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Maranthana,52031,2305,2506,2.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Markawang,52032,1458,1244,1.0,Mid-Western
Pyuthan,Rapti,Hill,Mid-Western,Narikot,52033,1561,1345,1.0,Mid-Western
