district,Zone,Geographical Region,region,vdc_name,vdc_code,coverage_population,target,rcs_count,Region
Gorkha,Gandaki,Hill,Western,Aanppipal ,36001,1499,1671,,Western
Gorkha,Gandaki,Hill,Western,Aaruarbang ,36002,1533,1628,1.0,Western
Gorkha,Gandaki,Hill,Western,Aaruchanuate ,36003,2200,1064,1.0,Western
Gorkha,Gandaki,Hill,Western,Aarupokhari ,36004,1616,1779,,Western
Gorkha,Gandaki,Hill,Western,Asrang ,36005,1233,1259,1.0,Western
Gorkha,Gandaki,Hill,Western,Baguwa ,36006,687,728,1.0,Western
Gorkha,Gandaki,Hill,Western,Bakrang ,36007,751,1233,1.0,Western
Gorkha,Gandaki,Hill,Western,Bhirkot ,36008,1833,2125,1.0,Western
Gorkha,Gandaki,Hill,Western,Bhumlichok ,36009,1289,1222,1.0,Western
Gorkha,Gandaki,Hill,Western,Bihi ,36010,269,275,,Western
Gorkha,Gandaki,Hill,Western,Borlang ,36011,1713,1747,1.0,Western
Gorkha,Gandaki,Hill,Western,Bunkot ,36012,1984,2421,1.0,Western
Gorkha,Gandaki,Hill,Western,Chhaikampar ,36013,363,390,,Western
Gorkha,Gandaki,Hill,Western,Chhoprak ,36014,1561,2216,,Western
Gorkha,Gandaki,Hill,Western,Chumchet ,36015,322,331,,Western
Gorkha,Gandaki,Hill,Western,Chyngli ,36016,1873,2118,2.0,Western
Gorkha,Gandaki,Hill,Western,Darbhung ,36017,1391,1234,1.0,Western
Gorkha,Gandaki,Hill,Western,Deurali ,36018,1718,1860,,Western
Gorkha,Gandaki,Hill,Western,Dhawa ,36019,1168,1311,3.0,Western
Gorkha,Gandaki,Hill,Western,Dhuwakot ,36020,1324,1516,,Western
Gorkha,Gandaki,Hill,Western,Finam ,36021,1017,1114,1.0,Western
Gorkha,Gandaki,Hill,Western,Fujel ,36022,1602,1758,,Western
Gorkha,Gandaki,Hill,Western,Gaikhur ,36023,1458,1647,2.0,Western
Gorkha,Gandaki,Hill,Western,Gakhu ,36024,1009,1052,1.0,Western
Gorkha,Gandaki,Hill,Western,Ghairung ,36025,1333,1510,1.0,Western
Gorkha,Gandaki,Hill,Western,Ghyachok ,36026,685,729,1.0,Western
Gorkha,Gandaki,Hill,Western,Ghyalchok ,36027,2450,2001,1.0,Western
Gorkha,Gandaki,Hill,Western,Gumda ,36028,762,803,,Western
Gorkha,Gandaki,Hill,Western,Hanspur ,36029,1294,1431,,Western
Gorkha,Gandaki,Hill,Western,Harmhi ,36030,1240,1356,1.0,Western
Gorkha,Gandaki,Hill,Western,Jaubari ,36031,1045,1154,,Western
Gorkha,Gandaki,Hill,Western,Kashigaun ,36032,568,581,1.0,Western
Gorkha,Gandaki,Hill,Western,Kerabari ,36033,1023,952,,Western
Gorkha,Gandaki,Hill,Western,Kerauja ,36034,819,1020,,Western
Gorkha,Gandaki,Hill,Western,Kharibot ,36035,913,951,1.0,Western
Gorkha,Gandaki,Hill,Western,Khoplang ,36036,1890,1930,1.0,Western
Gorkha,Gandaki,Hill,Western,Laprak ,36037,745,701,,Western
Gorkha,Gandaki,Hill,Western,Lapu ,36038,645,661,2.0,Western
Gorkha,Gandaki,Hill,Western,Lho ,36039,301,276,,Western
Gorkha,Gandaki,Hill,Western,Makaising ,36040,710,779,3.0,Western
Gorkha,Gandaki,Hill,Western,Manakamana ,36041,1731,2124,1.0,Western
Gorkha,Gandaki,Hill,Western,Manbu ,36042,2091,1998,1.0,Western
Gorkha,Gandaki,Hill,Western,Masel ,36043,1305,1427,1.0,Western
Gorkha,Gandaki,Hill,Western,Muchhok ,36044,1319,1360,1.0,Western
Gorkha,Gandaki,Hill,Western,Namjung ,36045,1029,1227,,Western
Gorkha,Gandaki,Hill,Western,Nareshwor ,36046,1329,1459,,Western
Gorkha,Gandaki,Hill,Western,Palumtar ,36047,2542,2684,1.0,Western
Gorkha,Gandaki,Hill,Western,Panchkhuwadeurali ,36048,720,787,1.0,Western
Gorkha,Gandaki,Hill,Western,Pandrung ,36049,789,980,1.0,Western
Gorkha,Gandaki,Hill,Western,Prithvinarayan Municipality ,36050,11575,8392,,Western
Gorkha,Gandaki,Hill,Western,Prok ,36051,224,239,,Western
Gorkha,Gandaki,Hill,Western,Samagaun ,36052,199,213,,Western
Gorkha,Gandaki,Hill,Western,Saurpani ,36053,2081,1955,1.0,Western
Gorkha,Gandaki,Hill,Western,Shreenathkot ,36054,1091,1255,1.0,Western
Gorkha,Gandaki,Hill,Western,Simjung ,36055,1232,1302,,Western
Gorkha,Gandaki,Hill,Western,Sirdibas ,36056,810,802,,Western
Gorkha,Gandaki,Hill,Western,Swara ,36057,1377,1267,2.0,Western
Gorkha,Gandaki,Hill,Western,Taklung ,36058,1569,1759,1.0,Western
Gorkha,Gandaki,Hill,Western,Takukot ,36059,1326,1456,1.0,Western
Gorkha,Gandaki,Hill,Western,Takumajhalakuribot ,36060,805,889,1.0,Western
Gorkha,Gandaki,Hill,Western,Tandrang ,36061,1454,1594,1.0,Western
Gorkha,Gandaki,Hill,Western,Tanglichok ,36062,1084,1182,1.0,Western
Gorkha,Gandaki,Hill,Western,Taple ,36063,1423,1616,1.0,Western
Gorkha,Gandaki,Hill,Western,Thalajung ,36064,1018,1123,1.0,Western
Gorkha,Gandaki,Hill,Western,Thumi ,36065,1624,1449,,Western
Gorkha,Gandaki,Hill,Western,Uhya ,36066,711,646,,Western
Gorkha,Gandaki,Hill,Western,Warpak ,36067,1671,1569,,Western
Lamjung,Gandaki,Hill,Western,Archalbot ,37001,561,638,,Western
Lamjung,Gandaki,Hill,Western,Bahundanda ,37002,751,807,,Western
Lamjung,Gandaki,Hill,Western,Bajhakhet ,37003,977,1194,,Western
Lamjung,Gandaki,Hill,Western,Balungpani ,37004,845,917,,Western
Lamjung,Gandaki,Hill,Western,Bangre ,37005,650,683,,Western
Lamjung,Gandaki,Hill,Western,Bansar ,37006,791,851,,Western
Lamjung,Gandaki,Hill,Western,Besishahar ,37007,6519,2865,,Western
Lamjung,Gandaki,Hill,Western,Bhalayakharka ,37008,728,921,1.0,Western
Lamjung,Gandaki,Hill,Western,Bharte ,37009,994,1167,2.0,Western
Lamjung,Gandaki,Hill,Western,Bhoje ,37010,795,863,,Western
Lamjung,Gandaki,Hill,Western,Bhorletar ,37011,1411,1147,,Western
Lamjung,Gandaki,Hill,Western,Bhoteoodar ,37012,3415,1967,,Western
Lamjung,Gandaki,Hill,Western,Bhujung ,37013,516,544,,Western
Lamjung,Gandaki,Hill,Western,Bhulbhule ,37014,866,1093,,Western
Lamjung,Gandaki,Hill,Western,Bichaur ,37015,748,809,,Western
Lamjung,Gandaki,Hill,Western,Chakratirtha ,37016,1571,1584,,Western
Lamjung,Gandaki,Hill,Western,Chandisthan ,37017,625,642,,Western
Lamjung,Gandaki,Hill,Western,Chandreshwor ,37018,746,784,,Western
Lamjung,Gandaki,Hill,Western,Chiti ,37019,1897,1870,,Western
Lamjung,Gandaki,Hill,Western,Dhamilikuwa ,37020,1427,1449,1.0,Western
Lamjung,Gandaki,Hill,Western,Dhodeni ,37021,771,995,1.0,Western
Lamjung,Gandaki,Hill,Western,Dhuseni ,37022,451,514,1.0,Western
Lamjung,Gandaki,Hill,Western,Dudhpokhari ,37023,715,755,,Western
Lamjung,Gandaki,Hill,Western,Duradanda ,37024,678,742,1.0,Western
Lamjung,Gandaki,Hill,Western,Faleni ,37025,521,561,,Western
Lamjung,Gandaki,Hill,Western,Gauda ,37026,939,1148,,Western
Lamjung,Gandaki,Hill,Western,Gaunshahar ,37027,2376,2274,1.0,Western
Lamjung,Gandaki,Hill,Western,Ghanpokhara ,37028,1113,1126,,Western
Lamjung,Gandaki,Hill,Western,Ghermu ,37029,551,655,,Western
Lamjung,Gandaki,Hill,Western,Gilunng ,37030,521,629,,Western
Lamjung,Gandaki,Hill,Western,Hiletaksar ,37031,624,683,,Western
Lamjung,Gandaki,Hill,Western,Ilampokhari ,37032,878,1166,,Western
