Year AD,Year BS,District,zone,belt,region,Communicable and infectious disease,Number of people,Zone,Belt,Region
2009/010,2066/67,Bhojpur,Kosi,Hill,Eastern,ARI /Lower respiratory tract infection,13490,Kosi,Hill,Eastern
2009/010,2066/67,Bhojpur,Kosi,Hill,Eastern,Upper respiratory Tract infection,5992,Kosi,Hill,Eastern
2009/010,2066/67,Bhojpur,Kosi,Hill,Eastern,Pneumonia,6910,Kosi,Hill,Eastern
2009/010,2066/67,Bhojpur,Kosi,Hill,Eastern,Server Pneumonia,242,Kosi,Hill,Eastern
2009/010,2066/67,Bhojpur,Kosi,Hill,Eastern,Bronchitis,3191,Kosi,Hill,Eastern
2009/010,2066/67,Bhojpur,Kosi,Hill,Eastern,Asthma,3118,Kosi,Hill,Eastern
2009/010,2066/67,Bhojpur,Kosi,Hill,Eastern,Urinary Tract infection,2594,Kosi,Hill,Eastern
2009/010,2066/67,Bhojpur,Kosi,Hill,Eastern,Viral Influenza,1790,Kosi,Hill,Eastern
2009/010,2066/67,Bhojpur,Kosi,Hill,Eastern,Reproductive Tract Infection male,74,Kosi,Hill,Eastern
2009/010,2066/67,Bhojpur,Kosi,Hill,Eastern,Reproductive tract infection female,229,Kosi,Hill,Eastern
2009/010,2066/67,Dhankuta,Kosi,Hill,Eastern,ARI /Lower respiratory tract infection,7157,Kosi,Hill,Eastern
2009/010,2066/67,Dhankuta,Kosi,Hill,Eastern,Upper respiratory Tract infection,4019,Kosi,Hill,Eastern
2009/010,2066/67,Dhankuta,Kosi,Hill,Eastern,Pneumonia,5056,Kosi,Hill,Eastern
2009/010,2066/67,Dhankuta,Kosi,Hill,Eastern,Server Pneumonia,110,Kosi,Hill,Eastern
2009/010,2066/67,Dhankuta,Kosi,Hill,Eastern,Bronchitis,2625,Kosi,Hill,Eastern
2009/010,2066/67,Dhankuta,Kosi,Hill,Eastern,Asthma,1493,Kosi,Hill,Eastern
2009/010,2066/67,Dhankuta,Kosi,Hill,Eastern,Urinary Tract infection,1380,Kosi,Hill,Eastern
2009/010,2066/67,Dhankuta,Kosi,Hill,Eastern,Viral Influenza,1273,Kosi,Hill,Eastern
2009/010,2066/67,Dhankuta,Kosi,Hill,Eastern,Reproductive Tract Infection male,6,Kosi,Hill,Eastern
2009/010,2066/67,Dhankuta,Kosi,Hill,Eastern,Reproductive tract infection female,63,Kosi,Hill,Eastern
2009/010,2066/67,Ilam,Mechi,Hill,Eastern,ARI /Lower respiratory tract infection,8802,Mechi,Hill,Eastern
2009/010,2066/67,Ilam,Mechi,Hill,Eastern,Upper respiratory Tract infection,7682,Mechi,Hill,Eastern
2009/010,2066/67,Ilam,Mechi,Hill,Eastern,Pneumonia,5394,Mechi,Hill,Eastern
2009/010,2066/67,Ilam,Mechi,Hill,Eastern,Server Pneumonia,291,Mechi,Hill,Eastern
2009/010,2066/67,Ilam,Mechi,Hill,Eastern,Bronchitis,1515,Mechi,Hill,Eastern
2009/010,2066/67,Ilam,Mechi,Hill,Eastern,Asthma,1579,Mechi,Hill,Eastern
2009/010,2066/67,Ilam,Mechi,Hill,Eastern,Urinary Tract infection,1745,Mechi,Hill,Eastern
2009/010,2066/67,Ilam,Mechi,Hill,Eastern,Viral Influenza,3744,Mechi,Hill,Eastern
2009/010,2066/67,Ilam,Mechi,Hill,Eastern,Reproductive Tract Infection male,84,Mechi,Hill,Eastern
2009/010,2066/67,Ilam,Mechi,Hill,Eastern,Reproductive tract infection female,164,Mechi,Hill,Eastern
