Year BS,Year AD,District,zone,belt,region,Deficiencies,No of people,Zone,Belt,Region
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Anemia,2205,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Avitaminoses and other nutrideficency,2198,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Dehydration,3878,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Diabetic myelitis,180,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,"Goiter,Cretinism",50,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Malnutrition,1473,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Night blindness,376,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Obesity,186,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Polyneuritis,769,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Anemia,1540,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Avitaminoses and other nutrideficency,1558,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Dehydration,2179,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Diabetic myelitis,176,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,"Goiter,Cretinism",43,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Malnutrition,1494,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Night blindness,203,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Obesity,57,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Polyneuritis,858,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Anemia,1449,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Avitaminoses and other nutrideficency,1912,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Dehydration,1794,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Diabetic myelitis,211,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,"Goiter,Cretinism",42,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Malnutrition,973,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Night blindness,135,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Obesity,7,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Polyneuritis,804,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Anemia,1284,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Avitaminoses and other nutrideficency,2222,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Dehydration,1183,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Diabetic myelitis,404,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,"Goiter,Cretinism",20,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Malnutrition,1171,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Night blindness,128,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Obesity,6,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Polyneuritis,899,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Anemia,236,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Avitaminoses and other nutrideficency,480,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Dehydration,187,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Diabetic myelitis,133,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,"Goiter,Cretinism",20,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Malnutrition,81,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Night blindness,18,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Obesity,13,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Polyneuritis,158,Seti,Hill,Far-Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Anemia,1297,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Avitaminoses and other nutrideficency,1465,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Dehydration,788,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Diabetic myelitis,52,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,"Goiter,Cretinism",7,Lumbini,Hill,Western
