District,Year,Nutritional deficines,Number of people
Bhojpur,2066/67,Malnutrition,236
Bhojpur,2066/67,Avitaminoses and othernnutrideficency,1666
Bhojpur,2066/67,Polyneuritis,287
Bhojpur,2066/67,Anaemia,926
Bhojpur,2066/67,"Goitre,Cretinism",3
Bhojpur,2066/67,Diabetic mellitis,45
Bhojpur,2066/67,Obesity,3
Bhojpur,2066/67,Dehydration,805
Bhojpur,2066/67,Night blindness,47
Dhankuta,2066/67,Malnutrition,34
Dhankuta,2066/67,Avitaminoses and othernnutrideficency,979
Dhankuta,2066/67,Polyneuritis,194
Dhankuta,2066/67,Anaemia,250
Dhankuta,2066/67,"Goitre,Cretinism",3
Dhankuta,2066/67,Diabetic mellitis,1
Dhankuta,2066/67,Obesity,3
Dhankuta,2066/67,Dehydration,472
Dhankuta,2066/67,Night blindness,17
Ilam,2066/67,Malnutrition,180
Ilam,2066/67,Avitaminoses and othernnutrideficency,543
Ilam,2066/67,Polyneuritis,357
Ilam,2066/67,Anaemia,824
Ilam,2066/67,"Goitre,Cretinism",7
Ilam,2066/67,Diabetic mellitis,355
Ilam,2066/67,Obesity,5
Ilam,2066/67,Dehydration,595
Ilam,2066/67,Night blindness,56
Jhapa,2066/67,Malnutrition,724
Jhapa,2066/67,Avitaminoses and othernnutrideficency,2214
Jhapa,2066/67,Polyneuritis,1940
Jhapa,2066/67,Anaemia,2588
Jhapa,2066/67,"Goitre,Cretinism",96
Jhapa,2066/67,Diabetic mellitis,684
Jhapa,2066/67,Obesity,14
Jhapa,2066/67,Dehydration,1711
Jhapa,2066/67,Night blindness,359
Khotang,2066/67,Malnutrition,344
Khotang,2066/67,Avitaminoses and othernnutrideficency,1701
Khotang,2066/67,Polyneuritis,161
Khotang,2066/67,Anaemia,1038
Khotang,2066/67,"Goitre,Cretinism",32
Khotang,2066/67,Diabetic mellitis,29
Khotang,2066/67,Obesity,75
Khotang,2066/67,Dehydration,1082
Khotang,2066/67,Night blindness,120
Morang,2066/67,Malnutrition,873
Morang,2066/67,Avitaminoses and othernnutrideficency,4635
Morang,2066/67,Polyneuritis,2115
Morang,2066/67,Anaemia,2861
Morang,2066/67,"Goitre,Cretinism",305
Morang,2066/67,Diabetic mellitis,3542
Morang,2066/67,Obesity,160
Morang,2066/67,Dehydration,2844
Morang,2066/67,Night blindness,430
Okhaldhunga,2066/67,Malnutrition,316
Okhaldhunga,2066/67,Avitaminoses and othernnutrideficency,1399
Okhaldhunga,2066/67,Polyneuritis,95
Okhaldhunga,2066/67,Anaemia,577
Okhaldhunga,2066/67,"Goitre,Cretinism",16
Okhaldhunga,2066/67,Diabetic mellitis,239
Okhaldhunga,2066/67,Obesity,24
Okhaldhunga,2066/67,Dehydration,1246
Okhaldhunga,2066/67,Night blindness,176
Panchthar,2066/67,Malnutrition,69
Panchthar,2066/67,Avitaminoses and othernnutrideficency,712
Panchthar,2066/67,Polyneuritis,235
Panchthar,2066/67,Anaemia,734
Panchthar,2066/67,"Goitre,Cretinism",50
Panchthar,2066/67,Diabetic mellitis,69
Panchthar,2066/67,Obesity,42
Panchthar,2066/67,Dehydration,891
Panchthar,2066/67,Night blindness,53
Sankhuwasabha,2066/67,Malnutrition,55
Sankhuwasabha,2066/67,Avitaminoses and othernnutrideficency,658
Sankhuwasabha,2066/67,Polyneuritis,231
Sankhuwasabha,2066/67,Anaemia,379
Sankhuwasabha,2066/67,"Goitre,Cretinism",19
Sankhuwasabha,2066/67,Diabetic mellitis,201
Sankhuwasabha,2066/67,Obesity,0
Sankhuwasabha,2066/67,Dehydration,761
Sankhuwasabha,2066/67,Night blindness,35
Saptari,2066/67,Malnutrition,942
Saptari,2066/67,Avitaminoses and othernnutrideficency,5944
Saptari,2066/67,Polyneuritis,1074
Saptari,2066/67,Anaemia,5734
Saptari,2066/67,"Goitre,Cretinism",38
Saptari,2066/67,Diabetic mellitis,105
Saptari,2066/67,Obesity,32
Saptari,2066/67,Dehydration,5269
Saptari,2066/67,Night blindness,1343
Siraha,2066/67,Malnutrition,1668
Siraha,2066/67,Avitaminoses and othernnutrideficency,10046
Siraha,2066/67,Polyneuritis,1502
Siraha,2066/67,Anaemia,5720
Siraha,2066/67,"Goitre,Cretinism",14
