Year AD,Year BS,District,zone,belt,region,Type of disease,Number of patient,Zone,Belt,Region
2011/012,2068/69,Taplejung,Mechi,Mountain,Eastern,Typhoid (Enteric Fever),3221,Mechi,Mountain,Eastern
2011/012,2068/69,Taplejung,Mechi,Mountain,Eastern,Acute gastro enteritis,2415,Mechi,Mountain,Eastern
2011/012,2068/69,Taplejung,Mechi,Mountain,Eastern,Ameobic Dysentry,3412,Mechi,Mountain,Eastern
2011/012,2068/69,Taplejung,Mechi,Mountain,Eastern,Baccilary Dysentry,1414,Mechi,Mountain,Eastern
2011/012,2068/69,Taplejung,Mechi,Mountain,Eastern,"Presumed non infectious
diarrhoea",2664,Mechi,Mountain,Eastern
2011/012,2068/69,Taplejung,Mechi,Mountain,Eastern,Cholera,117,Mechi,Mountain,Eastern
2011/012,2068/69,Taplejung,Mechi,Mountain,Eastern,Intestinal Worms,10658,Mechi,Mountain,Eastern
2011/012,2068/69,Taplejung,Mechi,Mountain,Eastern,"Jaundice and Infective
Hepatitis",916,Mechi,Mountain,Eastern
2011/012,2068/69,Panchthar,Mechi,Hill,Eastern,Typhoid (Enteric Fever),1895,Mechi,Hill,Eastern
2011/012,2068/69,Panchthar,Mechi,Hill,Eastern,Acute gastro enteritis,490,Mechi,Hill,Eastern
2011/012,2068/69,Panchthar,Mechi,Hill,Eastern,Ameobic Dysentry,2990,Mechi,Hill,Eastern
2011/012,2068/69,Panchthar,Mechi,Hill,Eastern,Baccilary Dysentry,72079,Mechi,Hill,Eastern
2011/012,2068/69,Panchthar,Mechi,Hill,Eastern,"Presumed non infectious
diarrhoea",3893,Mechi,Hill,Eastern
2011/012,2068/69,Panchthar,Mechi,Hill,Eastern,Cholera,0,Mechi,Hill,Eastern
2011/012,2068/69,Panchthar,Mechi,Hill,Eastern,Intestinal Worms,6409,Mechi,Hill,Eastern
2011/012,2068/69,Panchthar,Mechi,Hill,Eastern,"Jaundice and Infective
Hepatitis",391,Mechi,Hill,Eastern
2011/012,2068/69,Ilam,Mechi,Hill,Eastern,Typhoid (Enteric Fever),2007,Mechi,Hill,Eastern
