Year BS,Year AD,District,zone,belt,region,Gynecological problems,No of people,Zone,Belt,Region
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Breast lumps / Breast Abscess,236,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Disfunctional uterine bleeding,529,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Leukerrhoea (Veginal discharge syndrom,2398,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Mastitis (Ingorged breast),92,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Menstrual disorder,1993,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Pelvic Inflamatory Disease (PID),2622,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Prolapsed uterus,1006,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Breast lumps / Breast Abscess,196,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Disfunctional uterine bleeding,572,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Leukerrhoea (Veginal discharge syndrom,646,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Mastitis (Ingorged breast),106,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Menstrual disorder,689,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Pelvic Inflamatory Disease (PID),972,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Prolapsed uterus,221,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Breast lumps / Breast Abscess,157,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Disfunctional uterine bleeding,540,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Leukerrhoea (Veginal discharge syndrom,642,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Mastitis (Ingorged breast),81,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Menstrual disorder,540,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Pelvic Inflamatory Disease (PID),1048,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Prolapsed uterus,171,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Breast lumps / Breast Abscess,182,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Disfunctional uterine bleeding,627,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Leukerrhoea (Veginal discharge syndrom,788,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Mastitis (Ingorged breast),117,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Menstrual disorder,483,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Pelvic Inflamatory Disease (PID),2054,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Prolapsed uterus,182,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Breast lumps / Breast Abscess,190,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Disfunctional uterine bleeding,712,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Leukerrhoea (Veginal discharge syndrom,788,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Mastitis (Ingorged breast),91,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Menstrual disorder,508,Seti,Hill,Far-Western
