Year BS,Year AD,District,zone,belt,region,Mental problem,No of People,Zone,Belt,Region
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Alcoholism,71,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Anxiety (Neurosis,223,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,"Conversive disorder
(Hysteria)",35,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Depression,271,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Epilesy,67,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Mental retardation,15,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Psychosis,47,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Alcoholism,32,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Anxiety (Neurosis,257,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,"Conversive disorder
(Hysteria)",60,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Depression,346,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Epilesy,161,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Mental retardation,16,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Psychosis,48,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Alcoholism,9,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Anxiety (Neurosis,311,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,"Conversive disorder
(Hysteria)",39,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Depression,381,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Epilesy,108,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Mental retardation,5,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Psychosis,36,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Alcoholism,55,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Anxiety (Neurosis,586,Seti,Hill,Far-Western
