Year BS,Year AD,District,zone,belt,region,Oral Problem,No of People,Zone,Belt,Region
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Dental Carries/ Toothache,4644,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,"Oral ulcer,mucosa and other related disease",1399,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Other disorder of teeth,262,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Periodontal diseases (gum diseases),556,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Dental Carries/ Toothache,4584,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,"Oral ulcer,mucosa and other related disease",959,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Other disorder of teeth,249,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Periodontal diseases (gum diseases),364,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Dental Carries/ Toothache,4868,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,"Oral ulcer,mucosa and other related disease",976,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Other disorder of teeth,205,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Periodontal diseases (gum diseases),242,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Dental Carries/ Toothache,4719,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,"Oral ulcer,mucosa and other related disease",872,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Other disorder of teeth,177,Seti,Hill,Far-Western
2069/70,2012/13,Achham,Seti,Hill,Far-Western,Periodontal diseases (gum diseases),382,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Dental Carries/ Toothache,5102,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,"Oral ulcer,mucosa and other related disease",1024,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Other disorder of teeth,211,Seti,Hill,Far-Western
2070/71,2013/14,Achham,Seti,Hill,Far-Western,Periodontal diseases (gum diseases),378,Seti,Hill,Far-Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Dental Carries/ Toothache,3593,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,"Oral ulcer,mucosa and other related disease",959,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Other disorder of teeth,359,Lumbini,Hill,Western
2066/67,2009/10,Arghakhanchi,Lumbini,Hill,Western,Periodontal diseases (gum diseases),666,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Dental Carries/ Toothache,3515,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,"Oral ulcer,mucosa and other related disease",1011,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Other disorder of teeth,577,Lumbini,Hill,Western
2067/68,2010/11,Arghakhanchi,Lumbini,Hill,Western,Periodontal diseases (gum diseases),700,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Dental Carries/ Toothache,3625,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,"Oral ulcer,mucosa and other related disease",836,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Other disorder of teeth,266,Lumbini,Hill,Western
2068/69,2011/12,Arghakhanchi,Lumbini,Hill,Western,Periodontal diseases (gum diseases),554,Lumbini,Hill,Western
