Year BS,Year AD,District,zone,belt,region,Skin diseases,No of people,Zone,Belt,Region
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Abscess,4933,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,"Eczema/
Dermatatis",4168,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,"Fungal
Infection",4483,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,"Impegtigo/
Boils/
Furunculosis",5516,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Leukoderma,181,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Lymphadenitis,145,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Psoriasis,120,Seti,Hill,Far-Western
2066/67,2009/10,Achham,Seti,Hill,Far-Western,Scabies,4395,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Abscess,5314,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,"Eczema/
Dermatatis",3693,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,"Fungal
Infection",4269,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,"Impegtigo/
Boils/
Furunculosis",5420,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Leukoderma,150,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Lymphadenitis,130,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Psoriasis,72,Seti,Hill,Far-Western
2067/68,2010/11,Achham,Seti,Hill,Far-Western,Scabies,4426,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,Abscess,5445,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,"Eczema/
Dermatatis",4058,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,"Fungal
Infection",4981,Seti,Hill,Far-Western
2068/69,2011/12,Achham,Seti,Hill,Far-Western,"Impegtigo/
Boils/
Furunculosis",6317,Seti,Hill,Far-Western
