Trafic Category ,Observed Value ,Value
High Traffic Area,Area,"Kalanki, Kathmandu "
High Traffic Area,Day  Observed (dBA),74
High Traffic Area,Night Observed (dBA),70
High Traffic Area,Area,"Shahidgate, Kathmandu  "
High Traffic Area,Day  Observed (dBA),67
High Traffic Area,Night Observed (dBA),69
High Traffic Area,Area,"Putalisadak, Kathmandu "
High Traffic Area,Day  Observed (dBA),75
High Traffic Area,Night Observed (dBA),69
High Traffic Area,Area,"Maitighar, Kathmandu "
High Traffic Area,Day  Observed (dBA),71
High Traffic Area,Night Observed (dBA),70
High Traffic Area,Area,"TU Gate, Kirtipur, Kathmandu "
High Traffic Area,Day  Observed (dBA),58
High Traffic Area,Night Observed (dBA),58
High Traffic Area,Area,"Lagankhel, Lalitpur "
High Traffic Area,Day  Observed (dBA),70
High Traffic Area,Night Observed (dBA),70
High Traffic Area,Area,"Satdobato, Lalitput "
High Traffic Area,Day  Observed (dBA),70
High Traffic Area,Night Observed (dBA),71
High Traffic Area,Area,"Kupandol,  Lalitpur  "
High Traffic Area,Day  Observed (dBA),77
High Traffic Area,Night Observed (dBA),75
High Traffic Area,Area,"Suryabinayak, Bhaktapur "
High Traffic Area,Day  Observed (dBA),71
High Traffic Area,Night Observed (dBA),81
High Traffic Area,Area,"Thimi Bus Stop, Bhaktapur "
High Traffic Area,Day  Observed (dBA),65
High Traffic Area,Night Observed (dBA),53
High Traffic Area,Area,"Ramananda Chowk, Janakpur "
High Traffic Area,Day  Observed (dBA),68
High Traffic Area,Night Observed (dBA),62
Commercial Cum Residence Area,Area,"Asan Chowk , Kathmandu "
Commercial Cum Residence Area,Day  Observed (dBA),74
Commercial Cum Residence Area,Night Observed (dBA),67
Commercial Cum Residence Area,Area,"Naya Bazar, Kirtipu, Kathmandu "
Commercial Cum Residence Area,Day  Observed (dBA),64
Commercial Cum Residence Area,Night Observed (dBA),62
Commercial Cum Residence Area,Area,"Manbhawan, Lalitpur  "
Commercial Cum Residence Area,Day  Observed (dBA),71
Commercial Cum Residence Area,Night Observed (dBA),67
Commercial Cum Residence Area,Area,"Bhanu Chowk, Janakpur "
Commercial Cum Residence Area,Day  Observed (dBA),70
Commercial Cum Residence Area,Night Observed (dBA),67
