District Name,Zone,Ecological Belt,Development Region,Year (B.S),Year (A.D),Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,ARI Incidence  per 1000,,1128.5
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,399.2
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,2.64
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,35.37
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.23
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% Treated with Antibiotic,,59.5
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,ARI Case Fatality,,0.04
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of ARI Cases at,HF,22.68
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,26.89
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,% of ARI Cases at,FCHV,50.42
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,ARI Incidence  per 1000,,1033.99
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,277.4
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,3.87
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,26.83
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.37
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% Treated with Antibiotic,,34.44
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,ARI Case Fatality,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,HF,29.79
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,12.21
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,FCHV,58
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,ARI Incidence  per 1000,,918.11
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,290.71
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,2.16
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,31.66
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.23
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% Treated with Antibiotic,,40.8
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,ARI Case Fatality,,0.01
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,HF,22.25
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,16.22
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,FCHV,61.53
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,ARI Incidence  per 1000,,1055.08
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,310.57
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,3.66
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,29.44
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.35
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% Treated with Antibiotic,,37.64
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,ARI Case Fatality,,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% of ARI Cases at,HF,22.3
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,12.73
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,% of ARI Cases at,FCHV,64.98
Morang,Kosi,Terai,Eastern,2068/69,2011/12,ARI Incidence  per 1000,,895.8
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,266.77
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,1.33
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,29.78
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.15
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% Treated with Antibiotic,,40.31
Morang,Kosi,Terai,Eastern,2068/69,2011/12,ARI Case Fatality,,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% of ARI Cases at,HF,29.79
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,11.59
Morang,Kosi,Terai,Eastern,2068/69,2011/12,% of ARI Cases at,FCHV,58.62
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,ARI Incidence  per 1000,,969.27
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,349.08
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,2.96
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,36.02
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.31
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% Treated with Antibiotic,,50.54
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,ARI Case Fatality,,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% of ARI Cases at,HF,37.73
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,10.46
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,% of ARI Cases at,FCHV,51.81
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,ARI Incidence  per 1000,,1316
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,400.96
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,2.78
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,30.47
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.21
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,% Treated with Antibiotic,,41.92
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,ARI Case Fatality,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,HF,33.92
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,11.08
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,FCHV,55.01
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,ARI Incidence  per 1000,,1064.19
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,288.08
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,6.18
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,27.07
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.58
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,% Treated with Antibiotic,,34.3
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,ARI Case Fatality,,0
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,HF,34.97
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,12.68
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,% of ARI Cases at,FCHV,52.35
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,ARI Incidence  per 1000,,782.83
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Incidence of Pneumonia (Mild and Severe) per 1000,,280.45
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Incidence of Severe Pneumonia per 1000,,4.89
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,% of Pneumonia (Mild and Severe) among new ARI cases,,35.83
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,% of Severe Pneumonia among new ARI cases,,0.63
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,% Treated with Antibiotic,,49.01
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,ARI Case Fatality,,0.05
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,% of ARI Cases at,HF,37.94
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,% of ARI Cases at,VHW/MCHW,10.89
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,% of ARI Cases at,FCHV,51.17
