District,Zone,Geographical Region,Development Region,Year BS,Year AD,Delivery type,Number of delivery
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Spontaneous delivery,1165
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Vaccum delivery,9
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Forecep delivery,3
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,C/S Delivery,9
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Spontaneous delivery,1605
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Vaccum delivery,59
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Forecep delivery,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,C/S Delivery,113
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Spontaneous delivery,1574
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Vaccum delivery,65
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Forecep delivery,16
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,C/S Delivery,185
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Spontaneous delivery,6104
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Vaccum delivery,333
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Forecep delivery,254
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,C/S Delivery,3910
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Spontaneous delivery,10001
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Vaccum delivery,1190
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Forecep delivery,108
Morang,Kosi,Terai,Eastern,2068/69,2011/12,C/S Delivery,4004
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Spontaneous delivery,12957
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Vaccum delivery,265
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Forecep delivery,9
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,C/S Delivery,2997
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Spontaneous delivery,1087
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Vaccum delivery,16
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Forecep delivery,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,C/S Delivery,8
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Spontaneous delivery,485
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Vaccum delivery,5
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,Forecep delivery,0
Terhathum,Kosi,Hill,Eastern,2068/69,2011/12,C/S Delivery,7
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Spontaneous delivery,1179
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Vaccum delivery,111
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Forecep delivery,0
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,C/S Delivery,19
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Spontaneous delivery,931
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Vaccum delivery,3
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Forecep delivery,1
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,C/S Delivery,2
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Spontaneous delivery,1038
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Vaccum delivery,7
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Forecep delivery,1
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,C/S Delivery,16
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Spontaneous delivery,1163
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Vaccum delivery,28
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Forecep delivery,27
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,C/S Delivery,81
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Spontaneous delivery,1770
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Vaccum delivery,29
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Forecep delivery,2
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,C/S Delivery,30
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Spontaneous delivery,2898
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Vaccum delivery,61
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Forecep delivery,7
Udayapur,Sagarmatha,Hill,Eastern,2068/69,2011/12,C/S Delivery,5
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Spontaneous delivery,6911
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Vaccum delivery,14
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Forecep delivery,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,C/S Delivery,419
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Spontaneous delivery,9085
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Vaccum delivery,407
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Forecep delivery,33
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,C/S Delivery,480
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,Spontaneous delivery,104
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,Vaccum delivery,447
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,Forecep delivery,0
Dhanusa,Janakpur,Terai,Central,2068/69,2011/12,C/S Delivery,1643
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Spontaneous delivery,3878
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Vaccum delivery,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Forecep delivery,125
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,C/S Delivery,0
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Spontaneous delivery,7315
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Vaccum delivery,42
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Forecep delivery,1
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,C/S Delivery,0
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Spontaneous delivery,2102
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Vaccum delivery,11
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Forecep delivery,0
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,C/S Delivery,0
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Spontaneous delivery,1761
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Vaccum delivery,4
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Forecep delivery,0
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,C/S Delivery,1
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Spontaneous delivery,1631
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Vaccum delivery,18
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,Forecep delivery,0
Dolakha,Janakpur,Mountain,Central,2068/69,2011/12,C/S Delivery,41
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,Spontaneous delivery,1697
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,Vaccum delivery,52
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,Forecep delivery,0
Sindhupalchok,Bagmati,Mountain,Central,2068/69,2011/12,C/S Delivery,1
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Spontaneous delivery,4366
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Vaccum delivery,36
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Forecep delivery,14
Kavre,Bagmati,Hill,Central,2068/69,2011/12,C/S Delivery,772
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Spontaneous delivery,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Vaccum delivery,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Forecep delivery,0
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,C/S Delivery,4141
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Spontaneous delivery,361
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Vaccum delivery,7
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,Forecep delivery,0
Bhaktapur,Bagmati,Hill,Central,2068/69,2011/12,C/S Delivery,6
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Spontaneous delivery,19742
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Vaccum delivery,199
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,Forecep delivery,20
Kathmandu,Bagmati,Hill,Central,2068/69,2011/12,C/S Delivery,7446
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Spontaneous delivery,1186
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Vaccum delivery,61
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,Forecep delivery,3
Nuwakot,Bagmati,Hill,Central,2068/69,2011/12,C/S Delivery,128
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Spontaneous delivery,247
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Vaccum delivery,0
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,Forecep delivery,0
Rasuwa,Bagmati,Mountain,Central,2068/69,2011/12,C/S Delivery,0
Dhading,Bagmati,Hill,Central,2068/69,2011/12,Spontaneous delivery,3234
Dhading,Bagmati,Hill,Central,2068/69,2011/12,Vaccum delivery,3
Dhading,Bagmati,Hill,Central,2068/69,2011/12,Forecep delivery,0
Dhading,Bagmati,Hill,Central,2068/69,2011/12,C/S Delivery,41
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,Spontaneous delivery,2786
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,Vaccum delivery,16
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,Forecep delivery,9
Makwanpur,Narayani,Hill,Central,2068/69,2011/12,C/S Delivery,72
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Spontaneous delivery,4549
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Vaccum delivery,174
Rautahat,Narayani,Terai,Central,2068/69,2011/12,Forecep delivery,9
Rautahat,Narayani,Terai,Central,2068/69,2011/12,C/S Delivery,41
Bara,Narayani,Terai,Central,2068/69,2011/12,Spontaneous delivery,7847
Bara,Narayani,Terai,Central,2068/69,2011/12,Vaccum delivery,39
Bara,Narayani,Terai,Central,2068/69,2011/12,Forecep delivery,0
Bara,Narayani,Terai,Central,2068/69,2011/12,C/S Delivery,69
Parsa,Narayani,Terai,Central,2068/69,2011/12,Spontaneous delivery,0
Parsa,Narayani,Terai,Central,2068/69,2011/12,Vaccum delivery,0
Parsa,Narayani,Terai,Central,2068/69,2011/12,Forecep delivery,0
Parsa,Narayani,Terai,Central,2068/69,2011/12,C/S Delivery,0
Chitawan,Narayani,Terai,Central,2068/69,2011/12,Spontaneous delivery,7872
Chitawan,Narayani,Terai,Central,2068/69,2011/12,Vaccum delivery,545
Chitawan,Narayani,Terai,Central,2068/69,2011/12,Forecep delivery,293
Chitawan,Narayani,Terai,Central,2068/69,2011/12,C/S Delivery,3794
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Spontaneous delivery,1902
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Vaccum delivery,11
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,Forecep delivery,10
Gorkha,Gandaki,Hill,Western,2068/69,2011/12,C/S Delivery,95
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Spontaneous delivery,1742
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Vaccum delivery,41
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,Forecep delivery,11
Lamjung,Gandaki,Hill,Western,2068/69,2011/12,C/S Delivery,107
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Spontaneous delivery,1715
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Vaccum delivery,12
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,Forecep delivery,1
Tanahu,Gandaki,Hill,Western,2068/69,2011/12,C/S Delivery,2
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Spontaneous delivery,2097
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Vaccum delivery,23
Syangja,Gandaki,Hill,Western,2068/69,2011/12,Forecep delivery,12
Syangja,Gandaki,Hill,Western,2068/69,2011/12,C/S Delivery,11
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Spontaneous delivery,10006
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Vaccum delivery,218
Kaski,Gandaki,Hill,Western,2068/69,2011/12,Forecep delivery,96
Kaski,Gandaki,Hill,Western,2068/69,2011/12,C/S Delivery,2656
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Spontaneous delivery,15
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Vaccum delivery,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,Forecep delivery,0
Manang,Gandaki,Mountain,Western,2068/69,2011/12,C/S Delivery,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Spontaneous delivery,95
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Vaccum delivery,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,Forecep delivery,0
Mustang,Dhawalagiri,Mountain,Western,2068/69,2011/12,C/S Delivery,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Spontaneous delivery,1057
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Vaccum delivery,3
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,Forecep delivery,0
Myagdi,Dhawalagiri,Hill,Western,2068/69,2011/12,C/S Delivery,1
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Spontaneous delivery,1450
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Vaccum delivery,28
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,Forecep delivery,0
Parbat,Dhawalagiri,Hill,Western,2068/69,2011/12,C/S Delivery,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Spontaneous delivery,3258
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Vaccum delivery,56
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,Forecep delivery,0
Baglung,Dhawalagiri,Hill,Western,2068/69,2011/12,C/S Delivery,65
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Spontaneous delivery,3174
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Vaccum delivery,33
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,Forecep delivery,4
Gulmi,Lumbini,Hill,Western,2068/69,2011/12,C/S Delivery,63
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Spontaneous delivery,3234
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Vaccum delivery,110
Palpa,Lumbini,Hill,Western,2068/69,2011/12,Forecep delivery,62
Palpa,Lumbini,Hill,Western,2068/69,2011/12,C/S Delivery,590
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Spontaneous delivery,2963
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Vaccum delivery,381
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,Forecep delivery,29
Nawalparasi,Lumbini,Terai,Western,2068/69,2011/12,C/S Delivery,25
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Spontaneous delivery,0
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Vaccum delivery,0
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,Forecep delivery,0
Rupandehi,Lumbini,Terai,Western,2068/69,2011/12,C/S Delivery,3260
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,Spontaneous delivery,4467
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,Vaccum delivery,16
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,Forecep delivery,2
Kapilbastu,Lumbini,Terai,Western,2068/69,2011/12,C/S Delivery,2
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Spontaneous delivery,1252
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Vaccum delivery,25
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,Forecep delivery,19
Arghakhanchi,Lumbini,Hill,Western,2068/69,2011/12,C/S Delivery,13
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,Spontaneous delivery,1875
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,Vaccum delivery,2
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,Forecep delivery,0
Pyuthan,Rapti,Hill,Mid-Western,2068/69,2011/12,C/S Delivery,0
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,Spontaneous delivery,1741
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,Vaccum delivery,13
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,Forecep delivery,1
Rolpa,Rapti,Hill,Mid-Western,2068/69,2011/12,C/S Delivery,0
