District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Value
Achham,Seti,Hill,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Measles,11
Achham,Seti,Hill,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Diptheria,0
Achham,Seti,Hill,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Whooping Cough,16
Achham,Seti,Hill,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Neonatal Tetanus,1
Achham,Seti,Hill,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Tetanus,0
Achham,Seti,Hill,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Tuberculosis,62
Achham,Seti,Hill,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Acute Flacid Paralysis(AFP),6
Achham,Seti,Hill,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Rubella,0
Achham,Seti,Hill,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Mumps,187
Achham,Seti,Hill,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Chicken Pox,314
Achham,Seti,Hill,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Hepatitis B,8
Arghakhanchi,Lumbini,Hill,Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Measles,4
Arghakhanchi,Lumbini,Hill,Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Diptheria,0
Arghakhanchi,Lumbini,Hill,Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Whooping Cough,0
Arghakhanchi,Lumbini,Hill,Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Neonatal Tetanus,0
Arghakhanchi,Lumbini,Hill,Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Tetanus,0
Arghakhanchi,Lumbini,Hill,Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Tuberculosis,47
Arghakhanchi,Lumbini,Hill,Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Acute Flacid Paralysis(AFP),0
Arghakhanchi,Lumbini,Hill,Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Rubella,3
Arghakhanchi,Lumbini,Hill,Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Mumps,519
Arghakhanchi,Lumbini,Hill,Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Chicken Pox,121
Arghakhanchi,Lumbini,Hill,Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Hepatitis B,3
Baglung,Dhawalagiri,Hill,Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Measles,1
Baglung,Dhawalagiri,Hill,Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Diptheria,0
Baglung,Dhawalagiri,Hill,Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Whooping Cough,0
Baglung,Dhawalagiri,Hill,Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Neonatal Tetanus,3
Baglung,Dhawalagiri,Hill,Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Tetanus,4
Baglung,Dhawalagiri,Hill,Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Tuberculosis,40
Baglung,Dhawalagiri,Hill,Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Acute Flacid Paralysis(AFP),0
Baglung,Dhawalagiri,Hill,Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Rubella,44
Baglung,Dhawalagiri,Hill,Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Mumps,486
Baglung,Dhawalagiri,Hill,Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Chicken Pox,87
Baglung,Dhawalagiri,Hill,Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Hepatitis B,5
Baitadi,Mahakali,Hill,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Measles,148
Baitadi,Mahakali,Hill,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Diptheria,1
Baitadi,Mahakali,Hill,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Whooping Cough,1
Baitadi,Mahakali,Hill,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Neonatal Tetanus,0
Baitadi,Mahakali,Hill,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Tetanus,6
Baitadi,Mahakali,Hill,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Tuberculosis,141
Baitadi,Mahakali,Hill,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Acute Flacid Paralysis(AFP),2
Baitadi,Mahakali,Hill,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Rubella,33
Baitadi,Mahakali,Hill,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Mumps,183
Baitadi,Mahakali,Hill,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Chicken Pox,135
Baitadi,Mahakali,Hill,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Hepatitis B,1
Bajhang,Seti,Mountain,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Measles,2
Bajhang,Seti,Mountain,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Diptheria,0
Bajhang,Seti,Mountain,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Whooping Cough,4
Bajhang,Seti,Mountain,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Neonatal Tetanus,0
Bajhang,Seti,Mountain,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Tetanus,1
Bajhang,Seti,Mountain,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Tuberculosis,90
Bajhang,Seti,Mountain,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Acute Flacid Paralysis(AFP),0
Bajhang,Seti,Mountain,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Rubella,1
Bajhang,Seti,Mountain,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Mumps,138
Bajhang,Seti,Mountain,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Chicken Pox,134
Bajhang,Seti,Mountain,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Hepatitis B,49
Bajura,Seti,Mountain,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Measles,0
Bajura,Seti,Mountain,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Diptheria,0
Bajura,Seti,Mountain,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Whooping Cough,23
Bajura,Seti,Mountain,Far-Western,2068-69,2011-2012,Communicable & Immunizable Diseases,Neonatal Tetanus,0
