District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,HP/SHP,>60 Yrs,21247
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,HP/SHP,<60 Yrs,87185
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,HP/SHP,Refer,1421
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PHC,>60 Yrs,2542
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PHC,<60 Yrs,3313
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Hospital,OPD,22540
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Hospital,Emergency,2757
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Hospital,Indoor,2762
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Hospital,Refer,89
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PHC,OPD,957
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PHC,Emergency,1
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PHC,Indoor,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PHC,Refer,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,HP/SHP,OPD,108432
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Total,OPD,131929
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Total,Emergency,2758
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Total,Indoor,2762
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Total,Refer,1510
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Total,Total,138959
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,HP/SHP,>60 Yrs,8870
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,HP/SHP,<60 Yrs,116218
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,HP/SHP,Refer,1035
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PHC,>60 Yrs,690
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PHC,<60 Yrs,10047
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,OPD,677
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,Emergency,53
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,Indoor,4
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,Refer,20
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PHC,OPD,8083
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PHC,Emergency,1642
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PHC,Indoor,88
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PHC,Refer,43
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,HP/SHP,OPD,125088
