District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,69
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Hospital,Poor,2396
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Hospital,Disable,252
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Hospital,Senior Citizen,41
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Hospital,FCHV,4
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PHC,,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,2
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,Poor,2
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,Disable,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,Senior Citizen,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,FCHV,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PHC,,88
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,Poor,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,Disable,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,Senior Citizen,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,FCHV,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PHC,,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Hospital,Poor,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Hospital,Disable,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Hospital,Senior Citizen,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Hospital,FCHV,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PHC,,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,14
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Hospital,Poor,7
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Hospital,Disable,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Hospital,Senior Citizen,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Hospital,FCHV,70
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PHC,,614
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Hospital,Poor,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Hospital,Disable,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Hospital,Senior Citizen,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Hospital,FCHV,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PHC,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Hospital,Poor,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Hospital,Disable,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Hospital,Senior Citizen,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Hospital,FCHV,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PHC,,129
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,586
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Hospital,Poor,2
