District Name,Zone,Ecological Belt,Development Region,Year (BS),Year (AD),Indicator,Sub-Indicator,Value
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,71
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Hospital,Poor,2656
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Hospital,Disable,0
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Hospital,Senior Citizen,29
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,Hospital,FCHV,1
Taplejung,Mechi,Mountain,Eastern,2068/69,2011/12,PHC,,1
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,Poor,3
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,Disable,0
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,Senior Citizen,6
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,FCHV,44
Panchthar,Mechi,Hill,Eastern,2068/69,2011/12,PHC,,1642
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,Poor,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,Disable,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,Senior Citizen,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,Hospital,FCHV,0
Ilam,Mechi,Hill,Eastern,2068/69,2011/12,PHC,,0
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,59
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Hospital,Poor,462
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Hospital,Disable,5
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Hospital,Senior Citizen,145
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,Hospital,FCHV,5
Jhapa,Mechi,Terai,Eastern,2068/69,2011/12,PHC,,316
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,192
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Hospital,Poor,616
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Hospital,Disable,0
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Hospital,Senior Citizen,416
Morang,Kosi,Terai,Eastern,2068/69,2011/12,Hospital,FCHV,27
Morang,Kosi,Terai,Eastern,2068/69,2011/12,PHC,,4577
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Hospital,Poor,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Hospital,Disable,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Hospital,Senior Citizen,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,Hospital,FCHV,0
Sunsari,Kosi,Terai,Eastern,2068/69,2011/12,PHC,,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Hospital,Poor,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Hospital,Disable,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Hospital,Senior Citizen,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,Hospital,FCHV,0
Dhankuta,Kosi,Hill,Eastern,2068/69,2011/12,PHC,,1396
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,283
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Hospital,Poor,8
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Hospital,Disable,7
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Hospital,Senior Citizen,204
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,Hospital,FCHV,19
Teharthum,Kosi,Hill,Eastern,2068/69,2011/12,PHC,,143
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,65
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Hospital,Poor,2
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Hospital,Disable,1
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Hospital,Senior Citizen,328
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,Hospital,FCHV,1
Sankhuwasabha,Kosi,Mountain,Eastern,2068/69,2011/12,PHC,,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,1582
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Hospital,Poor,1
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Hospital,Disable,0
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Hospital,Senior Citizen,262
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,Hospital,FCHV,1
Bhojpur,Kosi,Hill,Eastern,2068/69,2011/12,PHC,,1327
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Hospital,Poor,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Hospital,Disable,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Hospital,Senior Citizen,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,Hospital,FCHV,0
Solukhumbu,Sagarmatha,Mountain,Eastern,2068/69,2011/12,PHC,,313
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,7
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Hospital,Poor,2
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Hospital,Disable,1
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Hospital,Senior Citizen,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,Hospital,FCHV,0
Okhaldhunga,Sagarmatha,Hill,Eastern,2068/69,2011/12,PHC,,0
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,86
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Hospital,Poor,50
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Hospital,Disable,13
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Hospital,Senior Citizen,120
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,Hospital,FCHV,11
Khotang,Sagarmatha,Hill,Eastern,2068/69,2011/12,PHC,,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,148
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Hospital,Poor,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Hospital,Disable,15
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Hospital,Senior Citizen,101
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,Hospital,FCHV,0
Udaypur,Sagarmatha,Hill,Eastern,2068/69,2011/12,PHC,,294
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,3
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Hospital,Poor,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Hospital,Disable,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Hospital,Senior Citizen,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,Hospital,FCHV,0
Saptari,Sagarmatha,Terai,Eastern,2068/69,2011/12,PHC,,412
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Hospital,Ultrapoor Destitute,8692
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Hospital,Poor,56
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Hospital,Disable,17
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Hospital,Senior Citizen,162
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,Hospital,FCHV,1
Siraha,Sagarmatha,Terai,Eastern,2068/69,2011/12,PHC,,366
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Hospital,Ultrapoor Destitute,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Hospital,Poor,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Hospital,Disable,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Hospital,Senior Citizen,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,Hospital,FCHV,0
Dhanusha,Janakpur,Terai,Central,2068/69,2011/12,PHC,,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Hospital,Ultrapoor Destitute,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Hospital,Poor,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Hospital,Disable,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Hospital,Senior Citizen,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,Hospital,FCHV,0
Mahottari,Janakpur,Terai,Central,2068/69,2011/12,PHC,,8294
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Hospital,Ultrapoor Destitute,814
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Hospital,Poor,815
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Hospital,Disable,64
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Hospital,Senior Citizen,315
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,Hospital,FCHV,48
Sarlahi,Janakpur,Terai,Central,2068/69,2011/12,PHC,,2141
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Hospital,Ultrapoor Destitute,95
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Hospital,Poor,72
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Hospital,Disable,2
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Hospital,Senior Citizen,19
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,Hospital,FCHV,3
Sindhuli,Janakpur,Hill,Central,2068/69,2011/12,PHC,,474
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Hospital,Ultrapoor Destitute,710
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Hospital,Poor,0
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Hospital,Disable,11
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Hospital,Senior Citizen,180
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,Hospital,FCHV,12
Ramechhap,Janakpur,Hill,Central,2068/69,2011/12,PHC,,1066
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,Hospital,Ultrapoor Destitute,0
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,Hospital,Poor,0
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,Hospital,Disable,0
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,Hospital,Senior Citizen,0
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,Hospital,FCHV,0
Dolkha,Janakpur,Mountain,Central,2068/69,2011/12,PHC,,0
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,Hospital,Ultrapoor Destitute,362
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,Hospital,Poor,232
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,Hospital,Disable,25
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,Hospital,Senior Citizen,518
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,Hospital,FCHV,31
Sindhupalchowk,Bagmati,Mountain,Central,2068/69,2011/12,PHC,,3262
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Hospital,Ultrapoor Destitute,0
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Hospital,Poor,0
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Hospital,Disable,0
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Hospital,Senior Citizen,0
Kavre,Bagmati,Hill,Central,2068/69,2011/12,Hospital,FCHV,0
Kavre,Bagmati,Hill,Central,2068/69,2011/12,PHC,,499
Lalitpur,Bagmati,Hill,Central,2068/69,2011/12,Hospital,Ultrapoor Destitute,1179
