Year BS,Year AD,District,zone,belt,region,Gender,Number of users,Zone,Belt,Region
2063,2006,Kathmandu,Bagmati,Hill,Central,Male,15580,Bagmati,Hill,Central
2063,2006,Kathmandu,Bagmati,Hill,Central,Female,1878,Bagmati,Hill,Central
2063,2006,Sunsari,Kosi,Terai,Eastern,Male,2854,Kosi,Terai,Eastern
2063,2006,Sunsari,Kosi,Terai,Eastern,Female,332,Kosi,Terai,Eastern
2063,2006,Kaski,Gandaki,Hill,Western,Male,4794,Gandaki,Hill,Western
2063,2006,Kaski,Gandaki,Hill,Western,Female,318,Gandaki,Hill,Western
2063,2006,Morang,Kosi,Terai,Eastern,Male,1266,Kosi,Terai,Eastern
2063,2006,Morang,Kosi,Terai,Eastern,Female,50,Kosi,Terai,Eastern
2063,2006,Jhapa,Mechi,Terai,Eastern,Male,3378,Mechi,Terai,Eastern
2063,2006,Jhapa,Mechi,Terai,Eastern,Female,145,Mechi,Terai,Eastern
2063,2006,Rupandehi,Lumbini,Terai,Western,Male,2454,Lumbini,Terai,Western
2063,2006,Rupandehi,Lumbini,Terai,Western,Female,133,Lumbini,Terai,Western
2063,2006,Chitawan,Narayani,Terai,Central,Male,1880,Narayani,Terai,Central
2063,2006,Chitawan,Narayani,Terai,Central,Female,191,Narayani,Terai,Central
2063,2006,Banke,Bheri,Terai,Mid-Western,Male,0,Bheri,Terai,Mid-Western
2063,2006,Banke,Bheri,Terai,Mid-Western,Female,0,Bheri,Terai,Mid-Western
2063,2006,Parsa,Narayani,Terai,Central,Male,1212,Narayani,Terai,Central
2063,2006,Parsa,Narayani,Terai,Central,Female,89,Narayani,Terai,Central
2063,2006,Makwanpur,Narayani,Hill,Central,Male,462,Narayani,Hill,Central
2063,2006,Makwanpur,Narayani,Hill,Central,Female,19,Narayani,Hill,Central
2063,2006,Others,,,,Male,9074,,,
2063,2006,Others,,,,Female,200,,,
2069,2012,Kathmandu,Bagmati,Hill,Central,Male,33513,Bagmati,Hill,Central
2069,2012,Kathmandu,Bagmati,Hill,Central,Female,3485,Bagmati,Hill,Central
2069,2012,Sunsari,Kosi,Terai,Eastern,Male,6956,Kosi,Terai,Eastern
2069,2012,Sunsari,Kosi,Terai,Eastern,Female,451,Kosi,Terai,Eastern
2069,2012,Kaski,Gandaki,Hill,Western,Male,6414,Gandaki,Hill,Western
2069,2012,Kaski,Gandaki,Hill,Western,Female,503,Gandaki,Hill,Western
2069,2012,Morang,Kosi,Terai,Eastern,Male,6228,Kosi,Terai,Eastern
2069,2012,Morang,Kosi,Terai,Eastern,Female,187,Kosi,Terai,Eastern
2069,2012,Jhapa,Mechi,Terai,Eastern,Male,5764,Mechi,Terai,Eastern
2069,2012,Jhapa,Mechi,Terai,Eastern,Female,244,Mechi,Terai,Eastern
2069,2012,Rupandehi,Lumbini,Terai,Western,Male,5750,Lumbini,Terai,Western
2069,2012,Rupandehi,Lumbini,Terai,Western,Female,247,Lumbini,Terai,Western
2069,2012,Chitawan,Narayani,Terai,Central,Male,4151,Narayani,Terai,Central
2069,2012,Chitawan,Narayani,Terai,Central,Female,364,Narayani,Terai,Central
2069,2012,Banke,Bheri,Terai,Mid-Western,Male,3876,Bheri,Terai,Mid-Western
2069,2012,Banke,Bheri,Terai,Mid-Western,Female,174,Bheri,Terai,Mid-Western
2069,2012,Parsa,Narayani,Terai,Central,Male,1993,Narayani,Terai,Central
2069,2012,Parsa,Narayani,Terai,Central,Female,137,Narayani,Terai,Central
2069,2012,Makwanpur,Narayani,Hill,Central,Male,0,Narayani,Hill,Central
2069,2012,Makwanpur,Narayani,Hill,Central,Female,0,Narayani,Hill,Central
2069,2012,Others,,,,Male,10559,,,
2069,2012,Others,,,,Female,538,,,
