Year,District,Gender,Number of users
2063,Kathmandu valley,Male,15580
2063,Kathmandu valley,Female,1878
2063,Sunsari,Male,2854
2063,Sunsari,Female,332
2063,Kaski,Male,4794
2063,Kaski,Female,318
2063,Morang,Male,1266
2063,Morang,Female,50
2063,Jhapa,Male,3378
2063,Jhapa,Female,145
2063,Rupandehi,Male,2454
2063,Rupandehi,Female,133
2063,Chitwan,Male,1880
2063,Chitwan,Female,191
2063,Banke,Male,0
2063,Banke,Female,0
2063,Parsa,Male,1212
2063,Parsa,Female,89
2063,Makawanpur,Male,462
2063,Makawanpur,Female,19
2063,Others,Male,9074
2063,Others,Female,200
2069,Kathmandu valley,Male,33513
2069,Kathmandu valley,Female,3485
2069,Sunsari,Male,6956
2069,Sunsari,Female,451
2069,Kaski,Male,6414
2069,Kaski,Female,503
2069,Morang,Male,6228
2069,Morang,Female,187
2069,Jhapa,Male,5764
2069,Jhapa,Female,244
2069,Rupandehi,Male,5750
2069,Rupandehi,Female,247
2069,Chitwan,Male,4151
2069,Chitwan,Female,364
2069,Banke,Male,3876
2069,Banke,Female,174
2069,Parsa,Male,1993
2069,Parsa,Female,137
2069,Makawanpur,Male,0
2069,Makawanpur,Female,0
2069,Others,Male,10559
2069,Others,Female,538
